District Name,District Code,Total # of Classes,Average Class Size,Number of Students,African American %,Asian %,Hispanic %,White %,Native American %,"Native Hawaiian, Pacific Islander %","Multi-Race, Non-Hispanic %"
Rochester,2500000,367,16.8,493,0.2,0,2.6,92.9,0,0,4.3
Rockland,2510000,"1,446",14.4,"2,211",6.3,1.3,17.6,70.2,0,0,4.6
Rockport,2520000,459,14.7,770,0.7,1.8,3.6,90.4,0,0.1,3.4
Rowe,2530000,21,16.1,63,0,0,4.8,81,0,0,14.3
Roxbury Preparatory Charter (District),4840000,335,29.9,"1,589",56.2,0.6,40.4,1.3,0.2,0.1,1.2
Sabis International Charter (District),4410000,446,27,"1,565",28.4,3.7,45.2,17.2,0,0,5.4
Salem,2580000,"2,245",13.5,"3,772",6.6,2.6,43.9,42.4,0,0,4.5
Salem Academy Charter (District),4850000,250,19,491,11.2,5.9,43.8,37.1,0,0,2
Sandwich,2610000,"1,367",15.6,"2,351",1.2,2.3,3.4,90.8,0.6,0.2,1.4
Saugus,2620000,"1,099",17,"2,425",5.4,5.5,22.8,62.5,0.8,0.4,2.6
Savoy,2630000,61,5.7,45,2.2,0,2.2,95.6,0,0,0
Scituate,2640000,"1,470",18.2,"2,879",2.6,0.7,2.1,92.3,0.1,0,2.2
Seekonk,2650000,863,15.7,"2,014",2.1,3.6,6,84.4,0,0,3.9
Sharon,2660000,"1,529",19,"3,520",5.1,30,5.9,52.6,0.1,0.1,6.2
Shawsheen Valley Regional Vocational Technical,8710000,717,16.3,"1,302",0.9,0.8,5.8,90.5,0.4,0,1.6
Sherborn,2690000,217,15.7,391,3.1,8.4,4.6,77.5,0,0,6.4
Shrewsbury,2710000,"2,551",18.2,"6,046",3.4,33.2,9.3,49.2,0.5,0,4.4
Shutesbury,2720000,55,14.8,116,1.7,0.9,10.3,82.8,0.9,0,3.5
Silver Lake,7600000,814,18.9,"1,729",1.3,1,2.6,93.6,0.4,0,1.2
Sizer School: A North Central Charter Essential (District),4740000,234,13,370,7,1.4,25.4,63,0.5,0,2.7
Somerset,2730000,939,18.4,"1,623",0.9,1.7,4.9,89.2,0.3,0,3
Somerset Berkley Regional School District,7630000,448,18,"1,007",1.1,0.5,4.4,92.4,0.2,0.1,1.4
Somerville,2740000,"2,366",12.3,"4,624",8.9,6.2,41.1,39.2,0.1,0.2,4.4
South Hadley,2780000,697,17.4,"1,788",1.8,2,16,77.4,0.1,0,2.8
South Middlesex Regional Vocational Technical,8290000,761,12.6,815,4.8,1.4,41.1,47.7,2,0,3.1
South Shore Charter Public (District),4880000,534,15.3,"1,013",35.7,5.5,6.3,45.7,0.4,0,6.3
South Shore Regional Vocational Technical,8730000,247,15,637,1.7,1.1,4.6,91.2,0.3,0,1.1
Southampton,2750000,173,15.1,460,0.2,1.5,7.2,87.6,0,0,3.5
Southborough,2760000,501,14.9,"1,243",1.7,20,5.7,67.4,0.2,0,5.1
Southbridge,2770000,895,15.7,"1,886",1.8,1.3,62.5,32.1,0.2,0.2,2
Southeastern Regional Vocational Technical,8720000,"1,408",8.2,"1,527",35.7,1.7,14,42.9,0,0,5.7
Southern Berkshire,7650000,470,12.1,655,1.4,0.2,8.9,84.4,0.5,0,4.7
Southern Worcester County Regional Vocational Technical,8760000,993,13.5,"1,168",0.9,0.7,11.4,85,0.1,0,1.9
Southwick-Tolland-Granville Regional School District,7660000,774,14.4,"1,403",1.8,1,5.4,89.3,0.3,0,2.3
Spencer-E Brookfield,7670000,469,15.5,"1,353",2.7,1.3,16.3,75.5,0.2,0,3.9
Springfield,2810000,"21,372",11.5,"24,098",18.6,2.1,68,9,0.1,0,2.2
Springfield Preparatory Charter School (District),35100000,87,32.5,374,17.4,2.4,69,9.4,0,0,1.9
Stoneham,2840000,"1,483",13.4,"2,288",2.2,5.8,10,77.8,0.3,0,3.9
Stoughton,2850000,"1,941",16,"3,436",25,6.1,14.7,48,0.2,0.3,5.8
Sturbridge,2870000,295,17.7,809,1,1.5,7.3,84.8,0.3,0,5.2
Sturgis Charter Public (District),4890000,453,14.1,853,2.5,2.9,4.9,86.5,0.4,0.1,2.7
Sudbury,2880000,"1,918",15.2,"2,547",2.9,9.8,5.5,73.8,0,0.2,7.8
Sunderland,2890000,153,13.3,190,4.7,6.3,11.6,69,0,0,8.4
Sutton,2900000,463,17.4,"1,258",1.1,1.4,4,89.7,0,0.1,3.7
Swampscott,2910000,"1,208",16.8,"2,134",3.7,2.7,12.1,78.1,0.2,0,3.1
Swansea,2920000,"1,786",8.9,"2,013",0.9,1.2,2.7,93.5,0.2,0,1.4
TEC Connections Academy Commonwealth Virtual School District,39020000,592,45.8,"2,661",7.8,2.6,18.9,63.4,0.2,0.3,6.8
Tantasqua,7700000,"1,186",14.8,"1,776",1.2,1.1,6.5,87.3,0.1,0.1,3.8
Taunton,2930000,"3,299",19.4,"7,861",19.8,1.1,13.6,59.3,0.3,0.2,5.7
Tewksbury,2950000,"1,487",17.9,"3,221",4,4.1,6.6,83.3,0.1,0,1.9
Tisbury,2960000,205,13.8,292,6.5,0.7,36.6,49.3,2.1,0,4.8
Topsfield,2980000,204,15.1,585,0.2,1.5,4.6,90.4,0.9,0,2.4
Tri-County Regional Vocational Technical,8780000,569,16.6,946,1,0.9,7.8,85.4,0.1,0.1,4.8
Triton,7730000,"1,124",16.9,"2,198",1.6,2.1,3.9,90.1,0.1,0.1,2
Truro,3000000,61,15.4,113,8,0,6.2,67.3,0,0,18.6
Tyngsborough,3010000,966,17.6,"1,604",4.7,9,7.2,75.2,0.2,0,3.7
UP Academy Charter School of Boston (District),4800000,138,22.1,364,44.5,3.3,48.4,2.5,0.3,0.6,0.6
UP Academy Charter School of Dorchester (District),35050000,138,31.9,722,54.9,0.3,40.9,1.4,0.1,0.7,1.8
Up-Island Regional,7740000,147,14.1,413,1.7,1,8.5,77,3.9,0,8
Upper Cape Cod Regional Vocational Technical,8790000,346,14.1,708,3.3,1.1,4.1,83.5,1,0.1,6.9
Uxbridge,3040000,859,16,"1,598",1.3,1.4,6,88.4,0.6,0.1,2.3
Veritas Preparatory Charter School (District),4980000,75,27,405,20.5,1.7,70.1,4,0.7,0.3,2.7
Wachusett,7750000,"3,032",18,"6,656",2.7,3.2,6.4,85.2,0.1,0,2.5
Wakefield,3050000,"1,476",16.1,"3,331",2.8,3.7,7.9,82.2,0.2,0.2,3.1
Wales,3060000,41,16.2,129,1.6,0,1.6,93.8,0.8,0,2.3
Walpole,3070000,"1,502",15.3,"3,659",3.5,6.8,6.5,79.6,0.3,0.1,3.2
Waltham,3080000,"3,761",13.5,"5,549",9.3,5.1,43.1,40.1,0.1,0,2.4
Ware,3090000,409,18.9,"1,168",1.6,0.4,8.8,85,0.2,0.3,3.7
Wareham,3100000,"1,319",13.5,"2,052",7.7,0.9,8.7,68.4,1.4,0.1,12.9
Watertown,3140000,"1,827",12.5,"2,552",4.6,7.4,19.3,62.9,0.4,0,5.4
Wayland,3150000,"1,372",16.3,"2,718",5.1,15.2,4.9,68.2,0,0.1,6.5
Webster,3160000,823,17.2,"1,679",6.1,1.7,33.2,52.5,0.2,0.1,6.4
Wellesley,3170000,"2,523",14.8,"4,442",3.7,15.3,5.6,68,0,0,7.4
Wellfleet,3180000,88,11.7,99,1,0,4,79.8,0,0,15.2
West Boylston,3220000,617,13.9,895,3.7,1.9,11.5,78.1,0.1,0.2,4.5
West Bridgewater,3230000,870,18.7,"1,414",6.7,1.1,5.9,81.1,0.1,0.1,5
West Springfield,3320000,"2,374",10.7,"3,917",3.6,8.9,21.7,62.2,0.1,0.1,3.5
Westborough,3210000,"1,998",15.8,"3,845",2.2,35.4,8.2,50.8,0.1,0.1,3.2
Westfield,3250000,"2,697",16,"4,927",2.4,3.1,17.8,73.2,0.1,0,3.4
Westford,3260000,"3,064",12.6,"4,759",1.5,29.4,2.5,62.4,0.1,0,4.1
Westhampton,3270000,65,12.7,110,2.7,0,5.5,89.1,0,0,2.7
Weston,3300000,"1,040",14.2,"1,905",6.6,17.5,6.5,63.7,0.1,0.1,5.6
Westport,3310000,846,15.2,"1,379",0.6,0.4,4.1,90.9,0.2,0,3.8
Westwood,3350000,"1,799",13,"2,970",2.1,12,4.9,76,0,0,4.9
Weymouth,3360000,"2,754",17.4,"5,698",7.3,7,12.5,68.2,0.2,0.1,4.7
Whately,3370000,87,14.3,116,0.9,0,3.5,94,0,0,1.7
Whitman-Hanson,7800000,"1,394",17.5,"3,611",3.2,1.4,6,85.8,0.4,0.1,3.1
Whittier Regional Vocational Technical,8850000,742,12.6,"1,236",2.9,1.5,25.4,66.2,0.5,0,3.5
Williamsburg,3400000,69,12.5,117,3.4,0,5.1,89.7,0,0,1.7
Wilmington,3420000,"1,859",14.9,"2,846",1.4,5.8,4.7,84.1,0.1,0,3.9
Winchendon,3430000,405,17.8,"1,191",2.1,1.9,7,85.2,0.1,0.3,3.5
Winchester,3440000,"3,451",12.8,"4,493",1.2,19,3.4,69.9,0.2,0,6.3
Winthrop,3460000,661,20.6,"1,847",1.4,0.7,16,80.5,0.1,0.1,1.4
Woburn,3470000,"2,985",13.8,"4,332",7.5,7.1,12.4,68.4,0.8,0.2,3.5
Worcester,3480000,"11,791",14.1,"20,660",17.3,6.2,42.9,29,0.2,0,4.5
Worthington,3490000,60,6,58,0,0,5.2,91.4,1.7,0,1.7
Wrentham,3500000,404,18.4,893,1.8,3,5.4,84.8,0.3,0.2,4.5
State Totals,0,"5,02,941",15.5,"9,12,474",9.4,7.2,22.4,56.5,0.2,0.1,4.1
