District Name,District Code,Total # of Classes,Average Class Size,Number of Students,African American %,Asian %,Hispanic %,White %,Native American %,"Native Hawaiian, Pacific Islander %","Multi-Race, Non-Hispanic %"
Dudley-Charlton Reg,6580000,"1,629",17.1,"3,474",1.7,1,9.7,84.3,0.2,0.1,3.1
Duxbury,820000,"1,444",19,"2,810",0.5,1.3,2.6,91.7,0.1,0,3.8
East Bridgewater,830000,"1,107",19,"2,126",4.5,0.8,3.7,87.5,0.5,0.1,3
East Longmeadow,870000,"1,288",17.4,"2,426",3.5,5.9,9.8,77.4,0,0,3.4
Eastham,850000,190,10.2,194,8.3,2.1,5.7,76.3,0,0,7.7
Easthampton,860000,521,20.2,"1,453",1.4,3.2,14,77.1,0.3,0.1,3.9
Easton,880000,"1,257",18,"3,454",7.3,3.4,6.9,78.1,0.4,0.1,3.9
Edgartown,890000,353,13.4,393,3.3,0.5,20.9,68.2,2.5,0,4.6
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District),4520000,212,19.9,401,37.7,1.3,55.6,2.7,0.3,0,2.5
Erving,910000,36,12.4,113,0,0,6.2,84.1,0,0,9.7
Essex North Shore Agricultural and Technical School District,8170000,"1,150",16.9,"1,566",1.6,1.7,13.2,79.3,0.3,0.1,3.9
Everett,930000,"3,499",20,"7,204",14.9,5.5,60.2,17.6,0.3,0.1,1.5
Excel Academy Charter (District),4100000,366,24.3,"1,398",6,0.9,79.5,11.8,0.7,0.4,0.6
Fairhaven,940000,"1,085",8.2,"1,713",2.6,1.9,5.6,85.6,0.8,0,3.6
Fall River,950000,"5,358",14.3,"10,333",9.5,3.5,30,48,0.1,0.1,8.9
Falmouth,960000,"1,717",14.8,"3,019",5.1,1.8,7.6,78,0.9,0,6.6
Farmington River Reg,6620000,76,13.8,118,0,0,4.2,95.8,0,0,0
Fitchburg,970000,"2,455",18.6,"5,193",6.3,4.3,55.9,25.8,0,0,7.7
Florida,980000,89,9.2,86,2.3,0,0,97.7,0,0,0
Four Rivers Charter Public (District),4130000,187,17.2,215,0.9,1.4,7.4,83.3,0.5,0,6.5
Foxborough,990000,"1,332",16.7,"2,426",6.7,4.5,6.9,78.1,0.4,0.1,3.3
Foxborough Regional Charter (District),4460000,687,20.2,"1,687",51.7,9.7,6.1,27.2,0.1,0.2,5
Framingham,1000000,"6,754",12.4,"8,862",6.9,4.4,37.9,46.3,0.1,0.1,4.5
Francis W. Parker Charter Essential (District),4780000,252,16.6,391,1.8,2.6,4.1,87.2,0,0,4.4
Franklin,1010000,"2,707",15.4,"4,847",2.1,6.1,4.9,84.1,0.1,0.6,2
Franklin County Regional Vocational Technical,8180000,250,13,543,0.7,0,6.8,89,0.2,0.7,2.6
Freetown-Lakeville,6650000,"1,005",17,"2,603",2.1,0.7,2.3,92.4,0.1,0,2.5
Frontier,6700000,529,12,649,2.5,2.9,6.6,83.8,0,0.2,4
Gardner,1030000,700,16.7,"2,148",2.9,2.3,24.6,62.3,0.1,0,7.7
Gateway,6720000,555,12.6,758,0.5,0.3,6.1,91.3,0.3,0.1,1.5
Georgetown,1050000,623,14.9,"1,223",0.8,1,2.4,93.7,0,0.2,2
Gill-Montague,6740000,519,13.5,845,1.5,0.4,15.2,76,0.1,0.2,6.6
Global Learning Charter Public (District),4960000,347,16.9,503,10.7,1.4,46.7,35.8,0.6,0,4.8
