District Name,District Code,Churn/Intake Enroll,% Churn,% Intake,Stability Enroll,% Stability
Tewksbury,2950000,"3,304",6.5,3.9,"3,194",96.8
Tisbury,2960000,318,19.2,11.3,290,88.6
Topsfield,2980000,604,5.8,3,591,96.3
Tri-County Regional Vocational Technical,8780000,957,2.5,0.2,955,97.7
Triton,7730000,"2,270",7.6,4.6,"2,191",95.8
Truro,3000000,116,5.2,2.6,113,97.3
Tyngsborough,3010000,"1,622",5.5,2.8,"1,585",96.7
UP Academy Charter School of Boston (District),4800000,364,16.8,13.2,354,85.6
UP Academy Charter School of Dorchester (District),35050000,720,13.3,8.5,709,88
Up-Island Regional,7740000,433,12.7,9.7,398,95.2
Upper Cape Cod Regional Vocational Technical,8790000,726,3.2,1.1,721,97.5
Uxbridge,3040000,"1,701",8.2,4,"1,659",94.1
Veritas Preparatory Charter School (District),4980000,420,3.6,0,420,96.4
Wachusett,7750000,"6,832",6.4,3.6,"6,636",96.6
Wakefield,3050000,"3,357",2.7,1.6,"3,310",98.8
Wales,3060000,131,13,11.5,124,91.9
Walpole,3070000,"3,742",4.5,2.7,"3,659",97.9
Waltham,3080000,"5,819",11.6,6.5,"5,500",94.2
Ware,3090000,"1,210",12.4,7.7,"1,142",92.8
Wareham,3100000,"2,108",12,7.7,"1,993",93.2
Watertown,3140000,"2,613",10.4,6.3,"2,524",93.1
Wayland,3150000,"2,735",3.1,1.6,"2,701",99.1
Webster,3160000,"1,790",14.9,7.5,"1,689",90.2
Wellesley,3170000,"4,520",4.3,2.5,"4,430",97.9
Wellfleet,3180000,106,8.5,2.8,103,94.2
West Boylston,3220000,926,7,3.8,895,96.2
West Bridgewater,3230000,"1,425",5.1,3.2,"1,380",98
West Springfield,3320000,"4,082",9.6,4.8,"3,929",94.3
Westborough,3210000,"4,002",10,6,"3,826",94.2
Westfield,3250000,"5,089",7.6,3.9,"4,945",95.6
Westford,3260000,"4,854",4.8,3.1,"4,728",97.8
Westhampton,3270000,111,6.3,6.3,104,100
Weston,3300000,"1,939",3.9,2,"1,910",98.1
Westport,3310000,"1,409",5.7,3.1,"1,368",97.1
Westwood,3350000,"2,999",3.1,1.6,"2,955",98.5
Weymouth,3360000,"5,843",11,6.3,"5,632",92.6
Whately,3370000,119,3.4,0.8,118,97.5
Whitman-Hanson,7800000,"3,696",7.2,4.8,"3,586",95.8
Whittier Regional Vocational Technical,8850000,"1,257",2.7,0.8,"1,250",97.8
Williamsburg,3400000,122,6.6,3.3,119,95.8
Wilmington,3420000,"2,925",5.1,2.1,"2,871",96.8
Winchendon,3430000,"1,259",12.2,6.4,"1,189",93.3
Winchester,3440000,"4,572",4.4,2,"4,500",97.6
Winthrop,3460000,"1,903",6.5,2.8,"1,866",95.3
Woburn,3470000,"4,483",10.1,5.2,"4,286",94.6
Worcester,3480000,"25,111",10.1,5.7,"24,076",94.5
Worthington,3490000,64,7.8,1.6,63,93.7
Wrentham,3500000,906,7.8,6.7,867,96.3
