District Name,District Code,# Grade 11 and 12 Students,# Students Completing Advanced,% Students Completing Advanced,% ELA,% Math,% Science and Technology,% Computer Science,% History and Social Sciences,% Arts,% All Other Subjects,Ch 74 Secondary Cooperative Program
West Springfield,3320000,580,317,54.7,25.5,33.8,30.3,0.9,22.6,3.4,2.8,0
Westborough,3210000,610,392,64.3,7,59.3,24.1,4.9,20.5,3.8,6.9,0
Westfield,3250000,834,410,49.2,25.8,37.4,9.8,1.2,19.8,1,4.2,0
Westford,3260000,831,603,72.6,12.2,65.7,24.7,4.6,30.2,5.1,10.2,0
Weston,3300000,320,184,57.5,0,57.2,28.1,4.7,40,0,3.4,0
Westport,3310000,154,106,68.8,18.2,53.9,15.6,7.8,18.2,5.8,0,0
Westwood,3350000,499,370,74.1,20.8,67.9,26.1,5,54.5,2.8,5.4,0
Weymouth,3360000,878,555,63.2,9.2,60.5,15.6,3.5,19.9,1.4,1.6,0
Whitman-Hanson,7800000,573,363,63.4,29,55.7,19.4,0,26.7,0,5.1,0
Whittier Regional Vocational Technical,8850000,564,563,99.8,12.2,99.6,0,0,12.1,0,45.6,36
Wilmington,3420000,398,262,65.8,15.8,63.6,16.3,4.8,12.6,0,0,0
Winchendon,3430000,153,26,17,7.2,15.7,0,0,7.2,0,0,0
Winchester,3440000,714,686,96.1,9.9,95,64.1,10.5,27.9,0,10.8,0
Winthrop,3460000,283,250,88.3,48.4,72.4,27.9,5.3,20.8,0,0,0
Woburn,3470000,661,414,62.6,8.8,51.1,28.7,5,27.2,2,7.3,0
Worcester,3480000,"3,425","1,599",46.7,11.6,35.5,13.5,3.7,12.6,1.8,3.4,0
State Totals,0,"1,41,305","92,290",65.3,16.6,54.7,21.2,3.5,21.1,1.8,8,2.2
