District Name,District Code,General Education (#),Special Education (#),Career Vocational Technical (#),English Language Learner (#),FTE Count
Lunenburg,1620000,103.7,5,0,0,108.7
Lynn,1630000,787.6,245.7,32.4,86.4,1152.1
Lynnfield,1640000,139.6,18,0,1,158.6
MATCH Charter Public School (District),4690000,84.5,21,0,8,113.5
Ma Academy for Math and Science,4680000,6,0,0,0,6
Malden,1650000,313.1,125.6,0,34.9,473.5
Manchester Essex Regional,6980000,129.6,0,0,0,129.6
Mansfield,1670000,239.7,53.7,0,2.6,296
Map Academy Charter School (District),35170000,12.2,6.8,0,0,19
Marblehead,1680000,223.7,28.6,0,4.4,256.7
Marblehead Community Charter Public (District),4640000,16.5,4.8,0,0,21.3
Marion,1690000,25.7,7,0,0,32.7
Marlborough,1700000,309.1,55.7,0,31.3,396.1
Marshfield,1710000,274.3,51.8,3.8,3.5,333.4
Martha's Vineyard,7000000,70.9,1.6,1.2,0.8,74.6
Martha's Vineyard Charter (District),4660000,18.5,0,0,0,18.5
Martin Luther King Jr. Charter School of Excellence (District),4920000,36.5,1,0,3,40.5
Masconomet,7050000,128.5,0.1,0,0,128.6
Mashpee,1720000,142,0.2,0,1.2,143.3
Mattapoisett,1730000,31.8,6,0,0,37.8
Maynard,1740000,93.4,11.5,0,2,106.9
Medfield,1750000,188.1,10.5,0,2,200.6
Medford,1760000,311.4,37.8,24.6,10,383.8
Medway,1770000,152.6,13.5,0,3.2,169.3
Melrose,1780000,233.5,39.6,0,6,279.1
Mendon-Upton,7100000,141.7,12.8,0,2,156.5
Methuen,1810000,400.8,74.6,1,13.6,490
Middleborough,1820000,193,34.4,0,0,227.4
Middleton,1840000,54.2,12.6,0,1,67.8
Milford,1850000,254.2,53.7,9.1,21.1,338.1
Millbury,1860000,112.6,18.8,0,3,134.4
Millis,1870000,86.9,11,0,0,97.9
Milton,1890000,267.4,49.7,0,0.4,317.5
Minuteman Regional Vocational Technical,8300000,34.1,7.7,34,0.7,76.5
Mohawk Trail,7170000,69.4,0,0,0,69.4
Monomoy Regional School District,7120000,164.6,0,0,3,167.5
Monson,1910000,70.6,8.8,0.3,0,79.7
Montachusett Regional Vocational Technical,8320000,42.8,6.4,55,0.8,105
Mount Greylock,7150000,102.1,8.5,0,1,111.6
Mystic Valley Regional Charter (District),4700000,102.7,0,0,1,103.7
Nahant,1960000,10.4,1,0,0,11.4
Nantucket,1970000,121.8,22.5,0,10,154.3
Narragansett,7200000,83.3,15.7,0,0,98.9
Nashoba,7250000,231.7,31.6,0,2,265.4
Nashoba Valley Regional Vocational Technical,8520000,24.1,7.9,32.1,0.1,64.2
Natick,1980000,429,2.6,0,5.2,436.8
Nauset,6600000,122.8,9.2,0,0.8,132.8
Needham,1990000,389.6,26.6,0,5.2,421.4
Neighborhood House Charter (District),4440000,74.4,0,0,0,74.4
New Bedford,2010000,735.8,184.9,0,70.5,991.2
New Heights Charter School of Brockton (District),35130000,47.2,3,0,1,51.2
New Salem-Wendell,7280000,7.5,5,0,0,12.5
Newburyport,2040000,147.8,39.9,0,3,190.7
Newton,2070000,822.3,229.6,7,32.1,1091
Norfolk,2080000,59.4,20.8,0,0,80.2
Norfolk County Agricultural,9150000,29.4,1.9,24.8,0,56.1
North Adams,2090000,108,13.5,0,0,121.5
North Andover,2110000,309.8,12.8,0,0,322.6
North Attleborough,2120000,275,15,0,1.7,291.7
North Brookfield,2150000,41.1,0,0,0.2,41.2
North Middlesex,7350000,192,47.6,0,3,242.6
North Reading,2170000,178.6,27.4,4.2,0.9,211.1
Northampton,2100000,159.7,67.9,0,6.7,234.3
Northampton-Smith Vocational Agricultural,4060000,22.6,4.4,30,0,57
Northboro-Southboro,7300000,112,1.3,0,0,113.3
Northborough,2130000,123.6,14.4,0,0,138
Northbridge,2140000,133.1,26.3,0,4,163.4
Northeast Metropolitan Regional Vocational Technical,8530000,55.7,1.2,58.7,0.6,116.3
Northern Berkshire Regional Vocational Technical,8510000,20.7,0,21.8,0,42.5
Norton,2180000,164.6,17.7,1.5,1,184.8
Norwell,2190000,140.1,19.7,0,1,160.8
Norwood,2200000,239.3,46.9,0,13.4,299.6
Oak Bluffs,2210000,37.9,7,0,2,46.9
Old Colony Regional Vocational Technical,8550000,20,4,36,0,60
Old Rochester,7400000,78.6,12,0,0,90.6
Old Sturbridge Academy Charter Public School (District),35150000,16,3,0,1,20
Orange,2230000,39.8,0,0,0,39.8
Orleans,2240000,18.9,1.2,0,0,20
Oxford,2260000,105.4,9.9,0,1,116.3
Palmer,2270000,87.2,21.3,0.5,2,111
Pathfinder Regional Vocational Technical,8600000,30.7,0,37.8,0,68.5
Paulo Freire Social Justice Charter School (District),35010000,21.2,0,0,0,21.2
Peabody,2290000,358.5,45.4,8,16.4,428.2
Pelham,2300000,9,3,0,0.2,12.2
Pembroke,2310000,167.4,15.5,0,3,186
Pentucket,7450000,137.9,41.1,1.2,1,181.2
Petersham,2340000,13,0,0,0,13
Phoenix Academy Public Charter High School Lawrence (District),35180000,10,0,0,0,10
Phoenix Academy Public Charter High School Springfield (District),35080000,7.6,0,0,0,7.6
Phoenix Charter Academy (District),4930000,13.7,0,0,0,13.7
Pioneer Charter School of Science (District),4940000,64.8,5.3,0,2.3,72.4
Pioneer Charter School of Science II (PCSS-II) (District),35060000,30.3,4.6,0,1,35.9
Pioneer Valley,7500000,57.6,3,0,0,60.6
Pioneer Valley Chinese Immersion Charter (District),4970000,65,4,0,1.7,70.6
Pioneer Valley Performing Arts Charter Public (District),4790000,38.1,3.2,0,0,41.3
Pittsfield,2360000,385.2,64.5,24.4,12,486.1
Plainville,2380000,44.2,0,0,0,44.2
Plymouth,2390000,488.5,116.6,27.6,1,633.7
Plympton,2400000,16.3,3,0,0,19.3
Prospect Hill Academy Charter (District),4870000,94.6,12.5,0,1.9,109
Provincetown,2420000,16.2,1,0,1,18.2
Quabbin,7530000,138.8,2,0,0,140.8
Quaboag Regional,7780000,95.8,0,0,0,95.8
Quincy,2430000,564.3,108.2,22.2,42.5,737.2
Ralph C Mahar,7550000,57.6,0,0,0,57.6
Randolph,2440000,160.4,47,0,5.1,212.4
Reading,2460000,250.8,63.6,0,1.6,316
Revere,2480000,442.2,83.5,0,35.4,561.1
Richmond,2490000,19.3,0,0,0,19.3
Rising Tide Charter Public (District),4830000,52.2,8,0,0,60.2
River Valley Charter (District),4820000,24.7,0,0,0,24.7
Rochester,2500000,36.1,5,0,0,41.1
Rockland,2510000,168.3,5.7,0,1.3,175.2
Rockport,2520000,89,0.3,0,0,89.2
Rowe,2530000,8.3,0,0,0,8.3
Roxbury Preparatory Charter (District),4840000,86.3,0,0,0,86.3
Sabis International Charter (District),4410000,74,11.3,0,0,85.3
Salem,2580000,289.6,22.4,8.6,2.9,323.6
Salem Academy Charter (District),4850000,36.1,6.8,0,1.5,44.4
Sandwich,2610000,200.5,7.6,0,1,209.1
Saugus,2620000,151.3,20,3,0,174.3
Savoy,2630000,5.6,0,0,0,5.6
Scituate,2640000,223.7,17.4,0,0,241.1
Seekonk,2650000,136.2,25.6,0,4,165.8
Sharon,2660000,244.8,0,0,0,244.8
Shawsheen Valley Regional Vocational Technical,8710000,48.9,10.7,65,0,124.6
Sherborn,2690000,29.5,4,0,0,33.5
Shrewsbury,2710000,364.1,31,0,5.7,400.8
Shutesbury,2720000,12.6,3,0,0,15.6
Silver Lake,7600000,102.3,14.8,16,0.5,133.6
Sizer School: A North Central Charter Essential (District),4740000,33.7,5.1,0,0,38.7
Somerset,2730000,100.1,22,0,2,124.1
Somerset Berkley Regional School District,7630000,67,10.2,0,0,77.2
Somerville,2740000,273.9,68.8,17.9,63.5,424.1
South Hadley,2780000,136,3,2,1,142
South Middlesex Regional Vocational Technical,8290000,34.1,12,37,0,83.1
South Shore Charter Public (District),4880000,81.3,17,0,3,101.3
South Shore Regional Vocational Technical,8730000,28.5,0,30.7,1,60.2
Southampton,2750000,31.1,7,0,0.3,38.4
Southborough,2760000,103.4,4,0,0,107.3
Southbridge,2770000,126.4,19,0,11.4,156.8
Southeastern Regional Vocational Technical,8720000,50.5,11,52.8,1,115.3
Southern Berkshire,7650000,60,13.4,0,0.3,73.7
Southern Worcester County Regional Vocational Technical,8760000,46.7,7.5,56,0,110.2
Southwick-Tolland-Granville Regional School District,7660000,111.1,11.6,0,2,124.7
Spencer-E Brookfield,7670000,85.1,18.4,0.9,0.1,104.4
Springfield,2810000,1490,476.6,36.6,93.5,2096.7
Springfield Preparatory Charter School (District),35100000,30.4,0,0,1,31.4
Stoneham,2840000,171.4,31.5,0,4.4,207.3
Stoughton,2850000,257.3,39.4,0,3.3,300.1
Sturbridge,2870000,57.7,14.5,0,0,72.2
Sturgis Charter Public (District),4890000,91.8,0,0,0,91.8
Sudbury,2880000,155.9,41.7,0,3.3,200.9
Sunderland,2890000,18.1,4,0,1,23.1
Sutton,2900000,81.5,11.1,0,0,92.6
Swampscott,2910000,149.7,28.5,0,7.5,185.7
Swansea,2920000,141,18.7,1,1,161.8
TEC Connections Academy Commonwealth Virtual School District,39020000,69.3,17.6,0,0,86.9
Tantasqua,7700000,114.9,1,15.4,0,131.3
Taunton,2930000,444.1,58.4,15.7,13,531.2
Tewksbury,2950000,209.3,38.5,0,4.9,252.6
Tisbury,2960000,34.2,4.6,0,1,39.8
Topsfield,2980000,45,10.7,0,0,55.7
Tri-County Regional Vocational Technical,8780000,34.4,10,39.8,0,84.2
Triton,7730000,158.5,34,0,2,194.5
Truro,3000000,14.2,0,0,0,14.2
Tyngsborough,3010000,104.3,17.9,0,1.9,124.2
UP Academy Charter School of Boston (District),4800000,22.4,9.9,0,3,35.3
UP Academy Charter School of Dorchester (District),35050000,38.2,5,0,2.5,45.7
Up-Island Regional,7740000,46,4,0,0,50
Upper Cape Cod Regional Vocational Technical,8790000,30.7,0,41,0,71.7
Uxbridge,3040000,111.4,21.7,0,2,135.1
