District Name,District Code,Total # of Teachers (FTE),% of Teachers Licensed,Student / Teacher Ratio,Percent of Experienced Teachers,Percent of Teachers without Waiver or Provisional License,Percent Teaching In-Field
Community Day Charter Public School - R. Kingman Webster (District),4310000,44.5,75.3,   8.9 to 1,40.4,91,
Concord,670000,176.4,100,  11.3 to 1,89.6,97.1,
Concord-Carlisle,6400000,107.4,100,  12.3 to 1,90.1,98.1,
Conservatory Lab Charter (District),4390000,29.5,81.4,  15.2 to 1,56.8,94.1,
Conway,680000,13.9,100,  10.5 to 1,85.6,100,
Danvers,710000,275.3,100,  11.7 to 1,85.8,95.8,
Dartmouth,720000,272.3,99.6,  12.5 to 1,90.4,95.5,
Dedham,730000,228.6,100,  11.2 to 1,91.8,96.1,
Deerfield,740000,33.9,97.1,   9.6 to 1,88.2,94.1,
Dennis-Yarmouth,6450000,278.3,99.3,  10.0 to 1,88,95,
Dighton-Rehoboth,6500000,217,99.5,  11.8 to 1,87.8,96.6,
Douglas,770000,98.5,98.5,  12.0 to 1,85,89.7,
Dover,780000,41,100,  11.9 to 1,90.2,90.7,
Dover-Sherborn,6550000,100.2,99,  11.6 to 1,93.6,96,
Dracut,790000,228.2,100,  15.9 to 1,81.3,93.5,
Dudley Street Neighborhood Charter School (District),4070000,19.5,89.7,  14.7 to 1,69.2,100,
Dudley-Charlton Reg,6580000,273.1,100,  12.6 to 1,91,96.1,
Duxbury,820000,217.7,100,  12.9 to 1,87.6,98.3,
East Bridgewater,830000,164.9,98.8,  12.8 to 1,78.3,95.8,
East Longmeadow,870000,203.4,100,  12.3 to 1,92.6,99.5,
Eastham,850000,18.3,100,  10.5 to 1,86.3,100,
Easthampton,860000,122.2,99.7,  11.6 to 1,89.9,95.1,
Easton,880000,258.2,100,  13.2 to 1,91.5,98.3,
Edgartown,890000,44.6,95.4,   8.9 to 1,76.9,95.5,
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District),4520000,34.2,100,  11.6 to 1,82.5,88.9,
Erving,910000,18.7,100,   7.1 to 1,84,94.7,
Essex North Shore Agricultural and Technical School District,8170000,142.7,94.4,  11.6 to 1,79.1,77.4,
Everett,930000,550.1,99.8,  12.4 to 1,79.5,92.1,
Excel Academy Charter (District),4100000,127.2,72,  10.7 to 1,45.8,89,
Fairhaven,940000,147,99.8,  12.6 to 1,87,96.3,
Fall River,950000,764.3,98.1,  13.4 to 1,73.3,88.1,
Falmouth,960000,288.7,99.6,  10.5 to 1,85.7,94.2,
Farmington River Reg,6620000,13.8,100,   8.4 to 1,88.4,100,
Fitchburg,970000,385.5,99.5,  13.5 to 1,81.6,91.4,
Florida,980000,9.7,89.6,  10.8 to 1,89.6,87,
Four Rivers Charter Public (District),4130000,20.9,76.4,  10.4 to 1,85.9,95.2,
Foxborough,990000,199.2,99,  12.3 to 1,92.4,99,
Foxborough Regional Charter (District),4460000,136.1,92.5,  12.4 to 1,60.1,81.1,
Framingham,1000000,734,95.8,  12.0 to 1,76.9,93.8,
Francis W. Parker Charter Essential (District),4780000,45.5,59.4,   8.5 to 1,58.3,97.8,
Franklin,1010000,398.6,98.6,  12.0 to 1,84.4,96,
Franklin County Regional Vocational Technical,8180000,59.4,88.6,   9.8 to 1,80,85.5,
Freetown-Lakeville,6650000,203.9,100,  13.5 to 1,87.3,95.1,
Frontier,6700000,52.3,98.1,  11.7 to 1,84.6,92.4,
Gardner,1030000,183.4,99.7,  12.3 to 1,82.3,90.8,
Gateway,6720000,81.5,98.8,   9.0 to 1,88.7,95.1,
Georgetown,1050000,101,100,  12.6 to 1,92.1,95,
Gill-Montague,6740000,85.5,99.9,   9.9 to 1,88.7,90.6,
Global Learning Charter Public (District),4960000,44.6,100,  11.3 to 1,79.8,84.3,
Gloucester,1070000,261.5,99.6,  10.8 to 1,80.4,91.3,
Gosnold,1090000,0,0,N/A,,,
Grafton,1100000,246.3,99.6,  12.7 to 1,88.6,96.8,
Granby,1110000,60,100,  11.6 to 1,84.6,91.3,
Greater Commonwealth Virtual District,39010000,66.6,98.5,  15.5 to 1,80.3,91.4,
Greater Fall River Regional Vocational Technical,8210000,128.8,97.3,  11.0 to 1,90.7,84.5,
Greater Lawrence Regional Vocational Technical,8230000,147.4,96.1,  11.2 to 1,83.3,78.6,
Greater Lowell Regional Vocational Technical,8280000,200.4,99,  11.5 to 1,84.1,84.1,
Greater New Bedford Regional Vocational Technical,8250000,195.1,97.9,  10.8 to 1,93.3,91.3,
Greenfield,1140000,141,99.3,  11.4 to 1,73.8,93.6,
Groton-Dunstable,6730000,190.1,100,  12.2 to 1,87.1,96.3,
Hadley,1170000,49.2,100,  10.3 to 1,85.7,87.8,
Halifax,1180000,38,100,  14.8 to 1,92.1,100,
Hamilton-Wenham,6750000,149.9,100,  11.2 to 1,85,97.6,
Hampden Charter School of Science East (District),4990000,42.8,77.4,  12.9 to 1,74,72,
Hampden Charter School of Science West (District),35160000,31.5,75.2,  11.7 to 1,54.6,64.4,
Hampden-Wilbraham,6800000,213.8,100,  13.5 to 1,90,98.6,
Hampshire,6830000,75.2,100,   9.1 to 1,91.4,96.9,
Hancock,1210000,7.4,94.6,   7.7 to 1,83.8,86.5,
Hanover,1220000,195.3,99.2,  13.3 to 1,90.6,96.7,
Harvard,1250000,88.5,98.9,  11.6 to 1,87.6,96.6,
Hatfield,1270000,41.8,100,   9.4 to 1,90.2,92.8,
Haverhill,1280000,630.6,99.2,  12.3 to 1,78.9,93.3,
Hawlemont,6850000,9.4,89.3,  13.1 to 1,78.7,90.4,
Helen Y. Davis Leadership Academy Charter Public (District),4190000,20.2,49.5,   6.8 to 1,29.7,90.1,
Hill View Montessori Charter Public (District),4550000,23,69.6,  13.3 to 1,56.5,91.3,
Hilltown Cooperative Charter Public (District),4500000,21.1,84.5,  10.3 to 1,69.2,100,
Hingham,1310000,319.7,99.4,  12.1 to 1,91.3,96.9,
Holbrook,1330000,93.7,100,  13.7 to 1,89.3,94.7,
Holland,1350000,16.5,100,  13.7 to 1,91.5,100,
Holliston,1360000,217.1,99.1,  12.9 to 1,84.9,96,
Holyoke,1370000,447,93,  11.4 to 1,56.2,90.8,
Holyoke Community Charter (District),4530000,43.5,70.1,  15.0 to 1,58.6,83.9,
Hoosac Valley Regional,6030000,87.5,95.4,  11.5 to 1,82.9,95.4,
Hopedale,1380000,93.7,100,  11.9 to 1,79,93.6,
Hopkinton,1390000,286.9,100,  14.0 to 1,86.6,95.7,
Hudson,1410000,229,97.4,  10.2 to 1,88.6,98.3,
Hull,1420000,78.2,100,  10.3 to 1,90.8,96.2,
Innovation Academy Charter (District),4350000,67.3,88.3,  11.5 to 1,73.2,83,
Ipswich,1440000,157,98.7,  10.4 to 1,87.8,96.8,
KIPP Academy Boston Charter School (District),4630000,48.5,63.9,  12.4 to 1,35.1,85.6,
KIPP Academy Lynn Charter (District),4290000,110.2,59.8,  14.6 to 1,37.6,89.8,
King Philip,6900000,135.1,97.8,  13.9 to 1,81.6,95.6,
Kingston,1450000,68.6,100,  15.3 to 1,95.6,100,
Lawrence,1490000,"1,123.80",97.4,  11.4 to 1,72.1,87.2,
Lawrence Family Development Charter (District),4540000,58,100,  13.7 to 1,55.2,94.8,
Learning First Charter Public School (District),4860000,39.7,95,  16.9 to 1,62.2,81.5,
Lee,1500000,72.5,100,   9.1 to 1,94.5,91.7,
Leicester,1510000,100.1,100,  13.9 to 1,93,98,
Lenox,1520000,79.1,100,   9.1 to 1,94.8,98.5,
Leominster,1530000,430.7,97.3,  13.7 to 1,83.5,93.6,
Leverett,1540000,14.9,100,   9.6 to 1,100,93.3,
Lexington,1550000,614.5,99.8,  11.0 to 1,88.1,96.8,
Libertas Academy Charter School (District),35140000,42.8,85.5,   7.8 to 1,9.8,90.7,
Lincoln,1570000,122.7,100,   8.7 to 1,85.7,96.7,
Lincoln-Sudbury,6950000,125.1,99.2,  12.1 to 1,92.2,95.4,
Littleton,1580000,119,100,  13.8 to 1,83.3,93.4,
Longmeadow,1590000,252.8,99.8,  11.0 to 1,90.5,97.6,
Lowell,1600000,"1,089.70",97.8,  12.8 to 1,86.1,91.3,
Lowell Community Charter Public (District),4560000,64,98.4,  12.8 to 1,73.4,85.9,
Lowell Middlesex Academy Charter (District),4580000,5,100,  14.8 to 1,100,60,
Ludlow,1610000,224.4,99.6,  10.2 to 1,92.4,97.3,
Lunenburg,1620000,111.3,98.2,  14.3 to 1,90.1,97.3,
Lynn,1630000,"1,200.10",99,  13.1 to 1,78.4,90.2,
Lynnfield,1640000,159.5,100,  13.6 to 1,86.5,98.5,
Ma Academy for Math and Science,4680000,6,100,  15.2 to 1,83.3,83.3,
Malden,1650000,491.6,99.8,  12.4 to 1,79.8,92,
Manchester Essex Regional,6980000,128.9,100,   9.7 to 1,90.8,95.2,
Mansfield,1670000,301.4,100,  11.4 to 1,89.1,98.7,
Map Academy Charter School (District),35170000,25.2,95,   8.8 to 1,35.7,64.3,
Marblehead,1680000,251.6,99.6,  10.3 to 1,88.7,94.8,
Marblehead Community Charter Public (District),4640000,21,95.2,  10.7 to 1,57.1,76.2,
Marion,1690000,34.8,100,  11.7 to 1,97.1,100,
Marlborough,1700000,390.4,100,  11.9 to 1,86.1,96.8,
Marshfield,1710000,335.4,100,  11.4 to 1,88,96.1,
Martha's Vineyard,7000000,76.6,97.4,   9.2 to 1,84.1,85.1,
Martha's Vineyard Charter (District),4660000,20.2,80.2,   8.2 to 1,70.3,79.4,
Martin Luther King Jr. Charter School of Excellence (District),4920000,39.3,92.4,   8.9 to 1,36.3,82.2,
Masconomet,7050000,128,99.2,  12.8 to 1,95.9,95.2,
Mashpee,1720000,133.5,100,  10.9 to 1,88.1,95.6,
Match Charter Public School (District),4690000,124.5,77.2,   9.8 to 1,39.8,89,
Mattapoisett,1730000,37.8,100,  11.5 to 1,92.1,100,
Maynard,1740000,109.8,97.3,  10.8 to 1,83.2,96.1,
Medfield,1750000,193.4,99.5,  13.1 to 1,92,96.9,
Medford,1760000,388.9,98.8,  10.3 to 1,83.3,92.6,
Medway,1770000,154.5,100,  13.6 to 1,87,96.1,
Melrose,1780000,267.2,99.3,  14.0 to 1,80.1,94.9,
Mendon-Upton,7100000,154,96.8,  13.9 to 1,90.4,98.7,
Methuen,1810000,531,99.6,  12.1 to 1,80.9,92.7,
Middleborough,1820000,219.6,100,  13.7 to 1,87.9,94.6,
Middleton,1840000,71.2,98.6,   9.9 to 1,88.7,98.6,
Milford,1850000,354.3,99.2,  12.2 to 1,86.7,96.4,
Millbury,1860000,128.9,100,  12.4 to 1,89,95.3,
Millis,1870000,97.6,98.4,  12.0 to 1,92,97.5,
Milton,1890000,319.3,99.2,  13.6 to 1,88.7,93.9,
Minuteman Regional Vocational Technical,8300000,76.8,98.7,   8.5 to 1,86.3,92.2,
Mohawk Trail,7170000,77.6,97.4,   9.8 to 1,82.3,95,
Monomoy Regional School District,7120000,167.1,99,  10.6 to 1,86.7,94.3,
Monson,1910000,82.1,100,  10.2 to 1,79,87.8,
Montachusett Regional Vocational Technical,8320000,113.5,99.1,  12.5 to 1,89.9,87.7,
Mount Greylock,7150000,110.9,99.8,  10.4 to 1,86,89.4,
Mystic Valley Regional Charter (District),4700000,99.6,57.4,  15.9 to 1,39.6,87,
