District Name,District Code,Total # of Teachers (FTE),% of Teachers Licensed,Student / Teacher Ratio,Percent of Experienced Teachers,Percent of Teachers without Waiver or Provisional License,Percent Teaching In-Field
Wachusett,7750000,467.3,99.8,  14.4 to 1,92.5,95.9,
Wakefield,3050000,273,100,  12.2 to 1,89.5,95.6,
Wales,3060000,9.3,89.2,  12.8 to 1,68.6,97.8,
Walpole,3070000,289.2,100,  12.7 to 1,89.2,98.4,
Waltham,3080000,552.8,99.5,   9.9 to 1,81.8,93.8,
Ware,3090000,87.9,99.8,  12.8 to 1,86.6,86.4,
Wareham,3100000,177,99.3,  11.5 to 1,86.8,92.8,
Watertown,3140000,271.4,98,   9.5 to 1,84.7,97.7,
Wayland,3150000,233.8,99.3,  11.6 to 1,92.9,96.4,
Webster,3160000,142.8,99.6,  11.9 to 1,84.7,92.2,
Wellesley,3170000,389.7,99.7,  11.0 to 1,90.3,97.5,
Wellfleet,3180000,12.4,100,   9.1 to 1,75.7,100,
West Boylston,3220000,79.7,100,  11.0 to 1,85.6,92.5,
West Bridgewater,3230000,91.8,100,  15.0 to 1,84.2,97.8,
West Springfield,3320000,344.3,99.8,  11.2 to 1,93.4,97.4,
Westborough,3210000,349.3,99.9,  11.0 to 1,87.6,94.5,
Westfield,3250000,415.6,98,  11.5 to 1,86,95.5,
Westford,3260000,368.4,99.3,  12.7 to 1,90.6,97.6,
Westhampton,3270000,16.4,100,   6.3 to 1,87.8,93.9,
Weston,3300000,167.3,98.6,  11.6 to 1,90.2,96.4,
Westport,3310000,115.3,100,  12.4 to 1,92.6,92.6,
Westwood,3350000,235.3,100,  12.3 to 1,84.1,94.9,
Weymouth,3360000,457.8,99.8,  12.1 to 1,86,95,
Whately,3370000,12.6,100,   9.6 to 1,92,100,
Whitman-Hanson,7800000,249.1,100,  14.3 to 1,83.9,96.2,
Whittier Regional Vocational Technical,8850000,114.7,98.3,  11.2 to 1,86.1,85.2,
Williamsburg,3400000,16.3,100,   8.5 to 1,80.3,93.8,
Wilmington,3420000,265.1,98.9,  10.6 to 1,85.4,96.7,
Winchendon,3430000,84.8,100,  14.2 to 1,85.6,88.3,
Winchester,3440000,355.9,100,  12.3 to 1,85.1,94.9,
Winthrop,3460000,154.9,100,  12.2 to 1,78,91,
Woburn,3470000,361.1,99.2,  11.9 to 1,84.6,97,
Worcester,3480000,"1,950.90",97.2,  12.2 to 1,79.9,91.8,
Worthington,3490000,6.4,100,  10.5 to 1,68.8,81.3,
Wrentham,3500000,81.5,100,  11.3 to 1,86,97.5,
State Totals,0,"76,328.80",97.8,  11.9 to 1,82.6,93.5,
