District Name,District Code,Tests Taken,Score=1,Score=2,Score=3,Score=4,Score=5,% Score 1-2,% Score 3-5
Walpole,3070000,405,12,39,131,138,85,12.6,87.4
Waltham,3080000,530,119,146,121,88,56,50,50
Ware,3090000,46,7,12,14,8,5,41.3,58.7
Wareham,3100000,132,63,38,21,10,0,76.5,23.5
Watertown,3140000,150,7,24,46,38,35,20.7,79.3
Wayland,3150000,434,5,28,86,146,169,7.6,92.4
Webster,3160000,113,48,33,16,10,6,71.7,28.3
Wellesley,3170000,837,59,89,182,264,243,17.7,82.3
West Boylston,3220000,96,15,24,27,16,14,40.6,59.4
West Bridgewater,3230000,177,30,71,46,27,3,57.1,42.9
West Springfield,3320000,442,77,138,132,71,24,48.6,51.4
Westborough,3210000,543,25,54,123,191,150,14.5,85.5
Westfield,3250000,217,47,79,60,27,4,58.1,41.9
Westford,3260000,817,11,50,154,262,340,7.5,92.5
Weston,3300000,548,47,91,132,130,148,25.2,74.8
Westport,3310000,113,42,26,30,14,1,60.2,39.8
Westwood,3350000,753,36,95,191,262,169,17.4,82.6
Weymouth,3360000,574,97,128,172,125,52,39.2,60.8
Whitman-Hanson,7800000,456,54,156,133,91,22,46.1,53.9
Whittier Regional Vocational Technical,8850000,25,12,8,4,1,0,80,20
Wilmington,3420000,456,70,99,137,95,55,37.1,62.9
Winchendon,3430000,30,5,12,9,3,1,56.7,43.3
Winchester,3440000,808,39,73,172,250,274,13.9,86.1
Winthrop,3460000,335,133,100,57,33,12,69.6,30.4
Woburn,3470000,344,36,104,89,71,44,40.7,59.3
Worcester,3480000,"2,060",957,467,346,192,98,69.1,30.9
State Totals,0,"94,879","16,372","20,723","23,162","20,378","14,244",39.1,60.9
