District Name,District Code,<26 yrs (# ),26-32 yrs (#),33-40 yrs (#),41-48 yrs (#),49-56 yrs (#),57-64 yrs (#),Over 64 yrs (#),FTE Count
Dover-Sherborn,6550000,7,25.6,31.9,32.7,41.3,25.5,8.2,172.3
Dracut,790000,25.6,60.3,66,79.6,83,70,13.3,397.8
Dudley Street Neighborhood Charter School (District),4070000,0.5,7.5,7,0.5,1.3,1.4,0,18.2
Dudley-Charlton Reg,6580000,14.2,53.7,63.9,119.7,113.6,69,7.1,441.2
Duxbury,820000,11.5,57,70.2,75.2,78.6,48.7,14.5,355.7
East Bridgewater,830000,26,51,52,61,52.5,29,3.4,274.9
East Longmeadow,870000,12,38.1,65.2,80.6,98.7,58.7,25.5,378.7
Eastham,850000,0,1.3,4.8,7.3,9.4,10.1,5.9,38.9
Easthampton,860000,2,22.5,50.3,53.9,49.9,28.6,13.6,220.7
Easton,880000,19,54.6,75.7,85.9,108.9,82.6,17.6,444.1
Edgartown,890000,2.2,10,8.6,17.9,26,20.2,2.6,87.5
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District),4520000,2.1,10.6,15.1,11.1,12,3.5,1,55.4
Erving,910000,0.2,4.7,5.7,14.3,10.9,4.1,5.9,45.7
Essex North Shore Agricultural and Technical School District,8170000,6,28.4,46,35.8,42.8,29.8,4,192.8
Everett,930000,23.5,168.6,213.1,151.9,111.7,78,28.8,775.6
Excel Academy Charter (District),4100000,49.7,94.5,61.9,8.6,3,2.8,2.8,223.4
Fairhaven,940000,9,24.7,60.1,63.8,50,26.6,7,241.2
Fall River,950000,147.5,289.8,318.3,276.1,264.8,143,37,"1,476.50"
Falmouth,960000,16.8,53.6,106.3,110.9,128.7,114.2,17.9,548.5
Farmington River Reg,6620000,0,1,5.6,7,6,8.2,0,27.8
Fitchburg,970000,30.1,110.3,104.2,151.3,151.1,98.2,22.5,667.6
Florida,980000,1,3.1,4.5,3.1,6.9,5.7,1,25.2
Four Rivers Charter Public (District),4130000,2,4.6,9.2,6.5,8.9,4.7,0,35.9
Foxborough,990000,13.5,45,72.9,80.5,77.9,64.9,12.4,367
