District Name,District Code,<26 yrs (# ),26-32 yrs (#),33-40 yrs (#),41-48 yrs (#),49-56 yrs (#),57-64 yrs (#),Over 64 yrs (#),FTE Count
Quincy,2430000,64.5,182.8,242.2,255.8,243.3,139.8,54.6,"1,182.80"
Ralph C Mahar,7550000,2.4,8.3,24.1,18.4,13.7,18.8,5.8,91.5
Randolph,2440000,15.1,68.8,82.9,81.6,73.5,52.1,14.7,388.7
Reading,2460000,23.5,80.8,114.6,109.8,120.4,72.7,11.2,533
Revere,2480000,62,175.3,229.5,164.4,111.5,93,15.5,851.2
Richmond,2490000,2,3.3,2.6,7.1,11,6.8,1.6,34.4
Rising Tide Charter Public (District),4830000,5,29.9,22,17.8,9.2,5.5,2,91.4
River Valley Charter (District),4820000,6,5,6.4,13.3,10.5,10.3,1,52.5
Rochester,2500000,0,6.2,12.1,14,18.1,14.2,4,68.5
Rockland,2510000,20.8,60.1,58.5,48.5,61.3,46.9,14.1,310.1
Rockport,2520000,5.1,18.5,20,30,56.7,19.7,6,156
Rowe,2530000,0,1.2,2.5,2.2,3.9,4.6,0.6,14.9
Roxbury Preparatory Charter (District),4840000,25.5,73.2,32.1,4,2,2,0,138.8
Sabis International Charter (District),4410000,7,23,41,26,27,20,12,156
Salem,2580000,38.3,130.6,126,131.6,149.5,100,45.3,721.3
Salem Academy Charter (District),4850000,10,21.3,19.8,14,4.8,2,1,72.9
Sandwich,2610000,12.8,44.2,40.7,71,95.2,83.5,17.7,365.1
Saugus,2620000,14.7,41.7,78.3,57.7,70.4,48.2,18.1,329
Savoy,2630000,0,2.4,4,2.8,3.5,3,0.8,16.5
Scituate,2640000,12.5,50,66.5,85.1,100.1,79.8,19.4,413.4
Seekonk,2650000,14,35,67,71.1,54,47,11,299.1
Sharon,2660000,17.7,72.2,86.3,98.9,102.6,60.7,16.4,454.7
Shawsheen Valley Regional Vocational Technical,8710000,3,22,37,40,41.5,41,3,187.5
Sherborn,2690000,5.1,7.3,11.1,16.5,12.6,14.6,0,67.2
Shrewsbury,2710000,37.6,150.3,155.5,172.7,173.5,120.8,25.1,835.6
Shutesbury,2720000,0.2,1.2,6.1,10.8,5.5,7.4,2.3,33.4
