District Name,District Code,Tests Takers,Tests Taken,One Test,Two Tests,Three Tests,Four Tests,Five or More Tests
Webster,3160000,68,113,36,22,7,3,0
Wellesley,3170000,405,837,173,101,81,33,17
West Boylston,3220000,78,96,60,18,0,0,0
West Bridgewater,3230000,108,177,59,30,18,1,0
West Springfield,3320000,232,442,99,67,55,11,0
Westborough,3210000,288,543,137,82,42,21,6
Westfield,3250000,139,217,81,41,14,3,0
Westford,3260000,406,817,174,112,75,33,12
Weston,3300000,281,548,136,84,21,21,19
Westport,3310000,71,113,39,23,8,1,0
Westwood,3350000,399,753,183,119,64,27,6
Weymouth,3360000,320,574,159,94,42,24,1
Whitman-Hanson,7800000,250,456,110,93,35,6,6
Whittier Regional Vocational Technical,8850000,25,25,25,0,0,0,0
Wilmington,3420000,237,456,99,85,33,15,5
Winchendon,3430000,17,30,5,11,1,0,0
Winchester,3440000,349,808,141,74,57,48,29
Winthrop,3460000,150,335,52,24,62,11,1
Woburn,3470000,205,344,124,41,26,11,3
Worcester,3480000,"1,322","2,060",818,321,137,41,5
State Totals,0,"51,911","94,879","25,586","14,802","7,676","2,805","1,042"
