DISTRICT,Org Code,PK-2 (# ),3-5 (# ),6-8 (# ),9-12 (# ),Multiple Grades (# ),All Grades (# ),FTE Count
Greater Lawrence Regional Vocational Technical,8230000,0,0,0,117.5,0,0,117.5
Greater Lowell Regional Vocational Technical,8280000,0,0,0,190.9,0,2.2,193.1
Greater New Bedford Regional Vocational Technical,8250000,0,0,0,170.7,0,0,170.7
Greenfield,1140000,33.9,29.7,28.4,22.5,26.1,0,140.6
Greenfield Commonwealth Virtual District,39010000,8.8,7.8,12.9,11.1,18.3,0,58.8
Groton-Dunstable,6730000,36,39.4,43.5,22.9,45.1,4.3,191.1
Hadley,1170000,9.3,6.4,10,13.6,4.7,0,44
Halifax,1180000,15.4,16.1,4.5,0,0,0,36
Hamilton-Wenham,6750000,25.2,23.2,30.9,41.3,0,15.2,135.8
Hampden Charter School of Science East (District),4990000,0,0,18.7,16.9,9.9,0,45.5
Hampden Charter School of Science West (District),35160000,0,0,14.2,10.4,7.4,0,32
Hampden-Wilbraham,6800000,51.7,48.2,48,73.7,0,0,221.7
Hampshire,6830000,0,0,24.6,36.7,11.2,0.1,72.6
Hancock,1210000,3.5,2.6,1.3,0,0,0,7.4
Hanover,1220000,41,32.6,43.6,58.3,14,9.2,198.7
Harvard,1250000,14.7,17.2,23.8,24.6,10.7,1.1,92
Hatfield,1270000,9.7,7.4,9.2,14,0,0,40.3
Haverhill,1280000,124.6,112,122.5,99.9,132.7,2.5,594.2
Hawlemont,6850000,4.9,4.2,1.3,0,0,0,10.3
Helen Y. Davis Leadership Academy Charter Public (District),4190000,0,0,15.5,0,1,2.5,19
Hill View Montessori Charter Public (District),4550000,4.9,9.5,5.6,0,0,4,24
Hilltown Cooperative Charter Public (District),4500000,2.5,3.6,9.4,0,4.5,0,20
Hingham,1310000,54.4,53.3,70.9,85.9,26.5,8.3,299.3
Holbrook,1330000,26.7,24.4,20.1,23.6,1,1,96.7
Holland,1350000,7.5,7.3,2.2,0,1,0,17.9
Holliston,1360000,43.7,48.5,50.8,12.5,5.9,47.2,208.6
Holyoke,1370000,105.5,94.9,92.7,101.7,12.4,0.1,407.3
Holyoke Community Charter (District),4530000,0,1.6,0,0,0,40.9,42.5
Hoosac Valley Regional,6030000,21.3,18.8,21,18.1,12.2,0,91.4
Hopedale,1380000,20.9,16.3,18,30.8,5,1.7,92.6
Hopkinton,1390000,66.6,57.2,68.6,86,0.1,0.2,278.6
Hudson,1410000,43.8,47.1,54.3,56.7,14,17,233
Hull,1420000,13.5,12,19.4,27.8,5.5,1.4,79.5
Innovation Academy Charter (District),4350000,0,7.1,25.4,32.8,0,0,65.3
Ipswich,1440000,30.3,29.5,37.2,46.5,9,1.6,154.1
KIPP Academy Boston Charter School (District),4630000,11.3,15.2,16.2,0,2,0,44.8
