District Name,District Code,K,1,2,3,4,5,6,7,8,9,10,11,ALL
Northampton-Smith Vocational Agricultural,4060000,,,,,,,,,,2.8,1.7,1.6,2.1
Northboro-Southboro,7300000,,,,,,,,,,2.2,6.8,1.3,3.3
Northborough,2130000,7.5,6.2,4.2,6.2,4.1,7.5,5,4.3,,,,,5.6
Northbridge,2140000,9.6,7.6,11.3,8.8,3.3,2.3,4.2,6.6,31.3,6.6,4.7,4.2,8.5
Northeast Metropolitan Regional Vocational Technical,8530000,,,,,,,,,,6,2.4,1,3.2
Northern Berkshire Regional Vocational Technical,8510000,,,,,,,,,,1.4,6.2,0,2.6
Norton,2180000,4.8,4.7,2.8,5.3,0.6,1.6,3.4,2,18.8,2.3,1.2,1.2,4.1
Norwell,2190000,3.6,3.3,4.9,2.6,6.3,4.3,4.2,4.9,6.1,3.8,3.1,0,3.9
Norwood,2200000,8,10.1,7.7,8.1,9,6.3,5.9,9.5,22.4,4.2,3.5,1.3,8.1
Oak Bluffs,2210000,5.6,12.5,13.3,8.3,7.3,6,7.7,2,,,,,7.6
Old Colony Regional Vocational Technical,8550000,,,,,,,,,,0.7,0,0.8,0.5
Old Rochester,7400000,,,,,,,,2.8,33.3,3.5,3.5,0,9.1
Old Sturbridge Academy Charter Public School (District),35150000,2.5,0,0,0,7.5,2.5,,,,,,,2.1
Orange,2230000,12.7,2.9,13.4,9.9,11.1,3.3,,,,,,,9
Orleans,2240000,21.7,18.2,14.3,10.5,5.3,,,,,,,,13.2
Oxford,2260000,11.7,6,9.4,8.5,7.6,3.3,10,6.8,28.1,8.8,5.2,1.1,9.4
Palmer,2270000,11,6.9,5.6,6.3,5.9,8.7,7.1,4.2,47.9,10.1,5.1,1.3,10.8
Pathfinder Regional Vocational Technical,8600000,,,,,,,,,,6.3,1.3,1.4,3.1
Paulo Freire Social Justice Charter School (District),35010000,,,,,,,,,,8.1,12.7,10.5,10.3
Peabody,2290000,9.3,5.4,8,8.8,7.2,6.8,3.8,5.4,23.6,3.4,2.3,0.8,7.4
Pelham,2300000,41.7,20,13.3,10,17.6,17.6,,,,,,,18.8
Pembroke,2310000,7.5,9,3.7,4.4,4.2,0.9,4,1.8,16.1,2.9,3.4,1.4,4.9
Pentucket,7450000,12.6,6.7,10.1,9,8.5,3.3,4.8,4.9,24.9,3.1,2.7,3,7.8
Petersham,2340000,14.3,4.5,0,10,16.7,5,,,,,,,9.2
Phoenix Academy Public Charter High School Lawrence (District),35180000,,,,,,,,,,2.5,0,,2.2
Phoenix Academy Public Charter High School Springfield (District),35080000,,,,,,,,,,6.3,0,10.3,6.3
Phoenix Charter Academy (District),4930000,,,,,,,,,,4,0,0,3.2
Pioneer Charter School of Science (District),4940000,1.8,0,1.6,0,4.6,3.1,4.7,3.4,13.6,5,6.8,1.9,3.8
Pioneer Charter School of Science II (PCSS-II) (District),35060000,,,,,,,,1.5,22.2,6.2,1.6,3.6,7.1
Pioneer Valley,7500000,18.9,16.7,24.2,20,13.5,20.6,16.3,3.3,43.1,13.5,4,7.5,17.9
Pioneer Valley Chinese Immersion Charter (District),4970000,4.5,4.4,6.8,20.5,2.3,4.3,20.3,0,27.5,8,2.4,0,8.9
Pioneer Valley Performing Arts Charter Public (District),4790000,,,,,,,,6.9,20.6,13.4,12.7,6.6,12.1
Pittsfield,2360000,9,5.7,3.8,7.1,7.2,18.9,6.5,5.6,4.3,3,3.2,2.8,6.5
Plainville,2380000,6.7,10.2,8.7,11.7,4.5,6.7,,,,,,,8.1
Plymouth,2390000,8.3,6.9,7,6.8,13.5,5.7,4.3,2.6,6.2,2.9,2.5,1.6,5.6
Plympton,2400000,10.3,13.8,12.1,0,2.6,9.5,,,,,,,8.1
Prospect Hill Academy Charter (District),4870000,6.2,4.9,6.7,5.5,5.7,11.2,5.3,8.5,15.2,5.4,6.9,1.4,7
Provincetown,2420000,22.2,0,10,18.2,18.8,0,11.8,9.1,,,,,11.3
Quabbin,7530000,14.1,11,9,7,7.9,11.7,4.6,5.7,24.9,8,4.9,1.9,9.5
Quaboag Regional,7780000,9,21.3,9.9,8.6,6.4,5.8,18.2,6,20,4.8,3.8,0,9.6
Quincy,2430000,8.4,6.6,4.7,6.1,4.1,6.3,4.3,2.6,6.3,3.8,1.9,1.1,4.7
Ralph C Mahar,7550000,,,,,,,,3.1,36.1,9.1,3.4,5.2,11.4
Randolph,2440000,8.9,8.2,7.5,5.8,12.4,15.4,7.9,6.7,37.7,7.6,8,3.8,10.9
Reading,2460000,5.7,8.3,4.4,5,6.7,7.8,4.4,3.4,13.2,2.3,1.7,0.9,5.4
Revere,2480000,7.6,8.2,6.4,7.8,5.8,6.2,4.8,4.6,19.6,7,5.2,5.1,7.4
Richmond,2490000,26.3,25,0,13.3,0,37.5,15.4,5.3,,,,,15
Rising Tide Charter Public (District),4830000,,,,,,5.9,4.4,6.5,49.4,20.8,1.4,0,13.2
River Valley Charter (District),4820000,2.9,3.1,9.4,3,9.4,15.2,5.9,6.3,,,,,6.9
Rochester,2500000,8.9,7.7,11.5,0,10.6,5.7,,,,,,,7.7
Rockland,2510000,9.9,9.5,6.2,6.1,8.8,3.6,5.6,2.6,19.5,4.6,1.4,2.9,6.8
Rockport,2520000,13,11.8,7.3,17.7,7.4,12.1,4.3,3,16,4.8,1.8,3,8.5
Rowe,2530000,0,,0,0,,38.5,,,,,,,11.1
Roxbury Preparatory Charter (District),4840000,,,,,,11.8,15,6.3,35.2,18.6,4.8,6.5,15.2
Sabis International Charter (District),4410000,1,4.4,2.7,7.6,3.1,14.3,6.2,6.9,21.2,8.4,2,2.9,7.1
Salem,2580000,10.5,7.6,12.1,6.2,6.7,24.4,6.5,5.1,30.7,4.5,2.3,6,10.5
Salem Academy Charter (District),4850000,,,,,,,0,2.9,19.4,5,0,0,4.7
Sandwich,2610000,13.4,6.9,12.7,13.1,8.4,8.1,3.4,2.3,38,5.9,3.1,1.3,10.2
Saugus,2620000,11.7,10.3,5.4,8.3,5.4,9.6,10,6.9,18.1,4.3,3.4,4,8.2
Savoy,2630000,85.7,,10,0,37.5,25,,,,,,,29.8
Scituate,2640000,8.1,4.3,8.5,3.9,3.8,3.7,5.2,4,9.4,0.5,1.9,0.4,4.5
Seekonk,2650000,8.9,6.7,7.4,2.4,3.3,2.7,3.4,2.2,22.9,3.5,1.2,0,5.4
Sharon,2660000,9.5,5.8,6,5.4,4.7,2.8,4.4,1.7,8,3.5,3.6,1.9,4.7
Shawsheen Valley Regional Vocational Technical,8710000,,,,,,,,,,0.3,1.5,0.3,0.7
Sherborn,2690000,10.9,5,11.3,5.5,3.4,,,,,,,,7.1
Shrewsbury,2710000,5.8,7.6,5.3,4.8,2.6,5.6,5.3,3.1,15.7,2.1,4,0.2,5.3
Shutesbury,2720000,5.6,0,42.9,21.1,0,0,,,,,,,11.5
Silver Lake,7600000,,,,,,,,3,5.3,3.5,2.6,2.2,3.3
Sizer School: A North Central Charter Essential (District),4740000,,,,,,,,7.1,32.4,3.3,7.7,1.9,11.7
Somerset,2730000,10.6,10.2,9.4,8.4,6.2,5.6,3.6,2.4,,,,,6.8
Somerset Berkley Regional School District,7630000,,,,,,,,,,3.6,4.3,0.8,2.9
Somerville,2740000,11.3,10.9,10,9.8,7.3,7.4,6.3,4.9,8.5,3.7,4.2,2.9,7.5
South Hadley,2780000,15.3,9.2,10.2,7.4,9,10.2,8.5,2.7,10.4,2.1,4.3,3.4,7.6
South Middlesex Regional Vocational Technical,8290000,,,,,,,,,,5.7,2.8,4.3,4.2
South Shore Charter Public (District),4880000,10.5,4.9,2.5,7.6,9.8,6.3,8.6,7.7,20.5,4.7,9.7,5.1,8.1
South Shore Regional Vocational Technical,8730000,,,,,,,,,,1.8,3,0,1.6
Southampton,2750000,6.8,11.1,8.6,3.9,10,10.5,,,,,,,8.3
Southborough,2760000,6.3,10.7,8,2.5,7.4,8.3,6.3,4.5,,,,,6.7
Southbridge,2770000,12.4,9.6,6.9,7.1,8.5,5.8,8.2,7.3,30.4,5.3,6.3,6.9,9.9
Southeastern Regional Vocational Technical,8720000,,,,,,,,,,3.1,2.2,0.5,2
Southern Berkshire,7650000,14.6,8.9,3,9.3,17.3,2.3,15,0,22,1.8,5.7,3.9,8.4
Southern Worcester County Regional Vocational Technical,8760000,,,,,,,,,,4.3,1.7,0.7,2.3
Southwick-Tolland-Granville Regional School District,7660000,10,12.4,10,11.9,5.3,4.7,4.9,1.6,9.6,2,2.5,3.9,6.4
Spencer-E Brookfield,7670000,9.9,7.1,6.6,6.1,6.5,3.7,13.3,4.3,32.3,6.3,1.5,3.3,9.3
Springfield,2810000,5.1,5.4,5.3,4.9,9.8,15.5,5.3,4.8,5.4,5,3.8,2.7,6.2
Springfield Preparatory Charter School (District),35100000,0,1.9,0,1.9,1.9,9.3,,,,,,,2.5
Stoneham,2840000,7.3,6.7,7.6,3.8,7,8.2,6.1,4,18.8,3.4,2.8,0.6,6.4
Stoughton,2850000,10.4,8.1,6.9,7.2,4.2,6.2,3.7,3.4,13.3,5.7,0.8,1.9,6.1
Sturbridge,2870000,6.4,6,7.1,1.7,4.3,8.5,,,,,,,5.6
Sturgis Charter Public (District),4890000,,,,,,,,,,6,1.8,0.5,2.9
Sudbury,2880000,6.4,6.1,4.5,4.3,8.1,7,5,4.6,,,,,5.7
Sunderland,2890000,15.4,13.8,3.7,10,8.1,29.4,,,,,,,12
Sutton,2900000,10.8,6.7,9.7,12.4,1.8,3.8,10.8,3.3,28.4,0,4.1,1.1,8
Swampscott,2910000,6.7,7.6,7.1,8.9,4.5,3.8,7.1,4.8,15.3,1.9,1.6,0.5,5.8
Swansea,2920000,6,6.8,7.2,6.6,2.8,2.3,4.5,3.2,21.7,6.9,0.8,1.5,6.3
TEC Connections Academy Commonwealth Virtual School District,39020000,11.1,7.5,21.2,10.4,11.4,8.6,18.2,15,38.5,21.3,18.7,20.4,20.6
Tantasqua,7700000,,,,,,,,5.5,5.6,1.3,1.7,0.7,2.9
Taunton,2930000,7.5,7.2,6.6,5.4,5.7,4.9,4.6,5.4,22.1,4.2,2.5,2.5,6.8
Tewksbury,2950000,8.1,8,4.6,6,8.4,3.2,4.6,3.9,34.8,2.1,1.3,0.5,7.6
Tisbury,2960000,9.1,8,8.3,6.9,17.6,4.3,18.2,6.1,,,,,10.5
Topsfield,2980000,8.9,12.3,4.7,4.5,4.9,3.3,,,,,,,6.3
Tri-County Regional Vocational Technical,8780000,,,,,,,,,,2.2,4.4,2.6,3.1
Triton,7730000,11.1,8,11,6.7,8.4,11.7,8.8,1.1,23,2.6,3.9,1.3,8.2
Truro,3000000,8.3,6.3,13.3,13.3,0,,,,,,,,7.9
Tyngsborough,3010000,8.7,7.8,5.2,2.7,16,5,4,1.7,22.2,0,1.6,0.9,6.3
UP Academy Charter School of Boston (District),4800000,,,,,,,18.9,10.7,,,,,14.7
UP Academy Charter School of Dorchester (District),35050000,10.2,11.9,7.5,8.3,8.1,9.7,17.3,7.4,,,,,10.2
Up-Island Regional,7740000,5.7,2.1,7.3,7.1,6.8,13.5,5.6,7.7,,,,,7
Upper Cape Cod Regional Vocational Technical,8790000,,,,,,,,,,7.3,2.2,0.6,3.3
Uxbridge,3040000,10.4,12,5.6,9.6,4.1,3.6,8,0.7,23.8,1.6,3,1.7,7.3
Veritas Preparatory Charter School (District),4980000,,,,,,3.5,3.5,1.3,,,,,2.9
Wachusett,7750000,12.6,9.2,9.5,9.7,4.7,5.7,8.6,4,22.5,2.9,3.8,3.5,8.2
Wakefield,3050000,8.8,7.7,4.2,4.8,2.3,2.6,3.8,1.9,27.7,4.6,4.3,0.8,6.1
Wales,3060000,6.3,7.7,14.3,0,4.3,11.8,,,,,,,7.3
Walpole,3070000,5.4,5.7,4.3,8.5,4.7,5.4,7.7,4.1,20.8,3.1,1.8,0.8,6.2
Waltham,3080000,8.2,5.9,8.2,6.7,7.1,8.8,4.3,5.4,9.6,5.7,5.5,4.5,6.7
Ware,3090000,12.5,8,8.3,10,7.7,5,8.4,3.5,23.9,1.4,4.6,0,8.3
Wareham,3100000,7.4,9.5,12,10.3,7.7,2.3,3.7,6,35.3,9.4,11.8,5.6,10.2
Watertown,3140000,13,12.2,11.9,9.1,3.6,9,6.8,2.9,14.7,8.9,5,1.1,8.4
Wayland,3150000,6.8,4.3,7.6,3.3,4.1,1.6,5.3,2.9,6.1,3.9,2.5,1.3,4.2
Webster,3160000,14.8,12.6,9.2,7.3,11.6,11,13.6,6.5,37.5,5.8,3.8,2,11.4
Wellesley,3170000,16.8,10.5,10.3,12.3,9.5,14.1,9.5,4.2,9.1,4.5,4,2.3,8.8
Wellfleet,3180000,21.1,0,13.3,0,6.7,,,,,,,,8.1
West Boylston,3220000,7.7,17.6,6.7,6.2,9.4,3.5,2.9,6.6,25.4,5.8,1.2,0,7.7
West Bridgewater,3230000,2.1,2.7,4.5,2.1,0,2.3,2.8,2.7,18.3,2.9,1.9,1,3.7
West Springfield,3320000,8.2,3.4,8.5,10,6.4,10.9,5.6,4.9,6.2,7.3,3.3,2.1,6.4
Westborough,3210000,7.1,5.4,7.8,8.2,4.9,4.8,7,4.2,10.9,4.1,4.7,1.9,5.9
Westfield,3250000,13.3,8.1,9,6.3,3.9,8.5,6,2.9,8.1,3.4,3.4,1.7,6.1
Westford,3260000,8.8,6.8,5.6,5.5,4.3,3.6,2.8,5.6,7.1,3,2.3,1.6,4.5
Westhampton,3270000,15.4,33.3,10,5,5.9,0,,,,,,,10.5
Weston,3300000,7.1,7.1,12.6,8.9,7.6,12.4,6.7,3.9,10.8,10.6,6.1,0.6,7.7
Westport,3310000,11.8,10.1,13.1,8.8,4.9,6.9,8.2,4.8,44.1,12.3,2.7,3.5,11.9
Westwood,3350000,2.3,1.9,2.3,2,4,1.3,5.9,4.8,6,3.1,1.2,0.4,2.9
Weymouth,3360000,7.2,6.9,6.4,7.6,7,6.8,5.7,6.5,7.3,3,2.9,2.1,5.7
Whately,3370000,6.3,0,7.1,21.1,8.3,0,,,,,,,7.7
Whitman-Hanson,7800000,8.2,6.5,8.7,5.2,5.1,5.8,3.9,2.5,27.2,3.5,3.8,2.1,6.9
Whittier Regional Vocational Technical,8850000,,,,,,,,,,3.4,2,0.7,2.2
Williamsburg,3400000,36.8,5,29.4,5.9,8,0,,,,,,,13.7
Wilmington,3420000,13,11.5,6.5,10.5,7.5,9.1,7.3,6.1,36.9,1,3.9,0,9.9
Winchendon,3430000,19.4,18.3,14.2,7.5,13,9.1,10.5,5.1,32.9,12.3,1.3,4.7,12.5
Winchester,3440000,8.5,7.2,6.3,5,4.9,6.8,6.5,3.7,10.4,4.5,3.8,1.1,5.7
Winthrop,3460000,3.8,7.7,6.2,6.5,4.4,5,3.6,3.8,19.9,7.1,4.9,6,6.6
Woburn,3470000,10.3,7.2,6.8,6.6,6.1,7.6,6.4,4.5,16.4,4.1,2.9,1.6,6.7
Worcester,3480000,9.6,6.4,5.5,5.5,6.1,4.9,9.1,4.9,5.4,4,3.4,1.8,5.6
Worthington,3490000,30,22.2,20,11.1,0,50,,,,,,,22.6
Wrentham,3500000,5.6,3.8,2.3,2.4,2.5,4.5,,,,,,,3.5
