District Name,District Code,K,1,2,3,4,5,6,7,8,9,10,11,ALL
Concord,670000,4.7,6.9,6.3,7.4,5.4,8.9,9.4,3,,,,,6.5
Concord-Carlisle,6400000,,,,,,,,,,2.9,4,1.9,2.9
Conservatory Lab Charter (District),4390000,9.3,3.7,7.4,3.7,8.9,16.7,20,9.1,,,,,9.2
Conway,680000,7.1,0,6.3,0,9.1,10.5,,,,,,,5.9
Danvers,710000,6.6,5.2,6.9,4.5,3.4,4.9,5.9,5.3,25.3,3.3,1.9,2.6,6.6
Dartmouth,720000,10,6.9,7.3,5.5,5.4,5.4,2.2,2.9,32.3,1.3,2.4,0.4,7.2
Dedham,730000,10.5,10.2,7.6,10.4,7.2,7.1,7.7,4.3,23.4,4,3.5,1.1,8.2
Deerfield,740000,3.9,17.4,3.6,4.4,5.1,9.8,,,,,,,7.3
Dennis-Yarmouth,6450000,8.2,9.7,6.9,8.8,5.3,19.3,4.4,6.6,32.4,7.3,5.7,4.1,10
Dighton-Rehoboth,6500000,13.4,9.9,9.7,6.3,9.3,6,8.1,5.1,40.7,1.1,2.7,0,10.2
Douglas,770000,12.2,12.1,10.1,6.3,4.1,6.5,4.8,5.8,33.3,0,2.2,2.2,8.9
Dover,780000,6.1,10,6.8,2.3,3.5,,,,,,,,5.7
Dover-Sherborn,6550000,,,,,,,2.7,3.1,8.5,6.6,1.8,1.8,4.1
Dracut,790000,9.3,7.8,5.9,6.5,8.5,5.4,3,6,35.3,5.3,1.3,1.7,8.2
Dudley Street Neighborhood Charter School (District),4070000,7.5,9.8,15,5.1,11.8,,,,,,,,9.8
Dudley-Charlton Reg,6580000,12.6,11.8,11.6,9.6,8.3,7.3,3.5,5.1,33.2,4.2,3.1,2.2,9.7
Duxbury,820000,6.6,8.9,5.5,6.8,2.3,3.1,5.1,4.7,5.6,1.7,3.9,1.6,4.5
East Bridgewater,830000,8.1,6.2,3.8,3.3,3,2.7,3.4,1.8,21.8,3.6,1.9,1.3,5.2
East Longmeadow,870000,7.8,8.6,5.8,10.4,4.3,4.9,5.7,3.7,7.6,2.7,2.9,1.8,5.4
Eastham,850000,15.2,4.2,7.4,0,3.7,,,,,,,,6.4
Easthampton,860000,7.4,6.8,7,4.3,6.9,13,11.2,0.9,16.2,4.9,5.1,3.6,7.2
Easton,880000,6.6,9.8,4.6,5.2,1.9,5.1,3.6,3,12.2,1.8,1.7,3.2,4.8
Edgartown,890000,4.5,4.3,7.7,12.2,10,16.7,19,2.5,,,,,10
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District),4520000,,,,,,,,,,6.9,2.1,2.2,3.8
Erving,910000,5.9,6.3,0,0,4.8,0,,,,,,,3.5
Essex North Shore Agricultural and Technical School District,8170000,,,,,,,,,,2.7,2.3,0.6,1.9
Everett,930000,6.9,7.8,3.8,8.9,6.1,4.6,5.5,5.5,6,3.7,4.2,2,5.5
Excel Academy Charter (District),4100000,,,,,,2.3,2.3,2.3,9.2,2.9,3,0.6,3.3
Fairhaven,940000,6.1,7.1,6.8,3.5,7.3,7.2,4.6,3.5,46,1.6,2.5,1.1,8.1
Fall River,950000,8.1,5.5,6.8,5.7,4.8,18,4.6,4.6,29.8,4.6,3.8,5.2,8.5
Falmouth,960000,7.9,8.8,6.4,7.3,8.8,10.1,11,4.9,30.3,5.1,3.4,1.6,9.1
Farmington River Reg,6620000,0,16.7,0,0,9.1,9.1,,,,,,,5.6
Fitchburg,970000,8,7.2,7.1,6,9,7.7,12.1,6.8,25.7,3.7,4.3,2,8.5
Florida,980000,0,11.1,,0,25,33.3,0,7.7,,,,,9
Four Rivers Charter Public (District),4130000,,,,,,,,10.5,13.2,5.3,13.2,3.6,9.4
Foxborough,990000,5.5,5.8,4.7,3.3,1.3,7.3,5.6,6,14.3,1.1,3,3.8,5.3
Foxborough Regional Charter (District),4460000,3.5,2.8,6,6.7,7.2,6.2,6.2,5.4,22.1,6.8,4.5,0,6.9
Framingham,1000000,7.6,5.7,7.3,7.4,5.7,22,6.6,4.1,26.1,6,6.1,2.1,9.1
Francis W. Parker Charter Essential (District),4780000,,,,,,,,2.7,5.9,5.4,4.6,0,3.8
Franklin,1010000,7.3,5.2,6.5,5.1,4.3,4.8,2.6,1.5,14.1,2.3,1.6,0.7,4.5
Franklin County Regional Vocational Technical,8180000,,,,,,,,,,2.8,2.9,0,2.1
Freetown-Lakeville,6650000,9.8,7.4,6.9,9.1,9.4,3.5,5.2,7.7,28.5,2.6,3.8,3.8,8.7
Frontier,6700000,,,,,,,,1.7,22.3,4.2,0,3.7,6.8
Gardner,1030000,12.3,16.9,11.9,16.9,11.2,8.5,9.3,4.8,20.8,5.2,0,1.5,10.4
Gateway,6720000,10.2,7.3,11,7.7,9.2,3.8,3,6.6,30.9,6.1,5.3,3.4,9
Georgetown,1050000,11.3,10.7,9.4,6.3,10.4,6.8,2.6,3.4,25.5,4.8,3.2,2.2,8.1
Gill-Montague,6740000,11.6,12.8,2.7,6.1,6.7,6.8,20.9,7.5,45.5,11.9,14,1.8,13.2
Global Learning Charter Public (District),4960000,,,,,,5.4,4.3,2.3,60.7,2.1,8.1,0,14.7
Gloucester,1070000,5.2,5.6,6.8,4.7,6.8,6.5,5.1,4.4,14.4,5.7,1.4,1.4,5.9
Gosnold,1090000,,,,,,,,,,,,,
Grafton,1100000,5.8,8.3,5.8,4.7,3.8,2.8,2.9,4,23.4,3.4,4.9,2.8,6.1
Granby,1110000,12.3,10.3,3.8,17.6,1.8,9.1,4,9.3,20.7,3.4,3.1,1.9,8.1
Greater Fall River Regional Vocational Technical,8210000,,,,,,,,,,3,1.4,0.3,1.6
Greater Lawrence Regional Vocational Technical,8230000,,,,,,,,,,1.4,0.5,0.8,0.9
Greater Lowell Regional Vocational Technical,8280000,,,,,,,,,,2,2.3,0.6,1.6
Greater New Bedford Regional Vocational Technical,8250000,,,,,,,,,,2.2,2.4,1.6,2.1
Greenfield,1140000,16.5,15.9,14.9,7.6,17.7,11,17.5,5.2,30,11.8,12.8,2.6,14.1
Greenfield Commonwealth Virtual District,39010000,28.6,26.1,6.9,9.5,0,8.1,13.9,14.7,20.7,21.4,17.8,8,15.4
Groton-Dunstable,6730000,8.7,5.4,7.6,4.7,5.6,4,5.3,3.8,18.7,3.5,0.5,1.6,5.9
Hadley,1170000,12.1,10.3,14.8,9.1,7.5,5.9,14.6,7.8,3.9,0,10,2.5,8
Halifax,1180000,9.2,6,0,4,4.9,2.4,,,,,,,4.2
Hamilton-Wenham,6750000,15.2,13.4,12.2,10.1,7.9,9.9,10.6,7.3,25,7.5,5.2,2.1,10.6
Hampden Charter School of Science East (District),4990000,,,,,,,4.5,4.4,22.6,8.9,13.8,3.5,9.7
Hampden Charter School of Science West (District),35160000,,,,,,,1.5,10.9,25.5,11.6,0,,10.5
Hampden-Wilbraham,6800000,7,5.8,7,10.9,7.3,7.4,8,3.2,4.9,3.1,2.2,1.7,5.5
Hampshire,6830000,,,,,,,,9.8,33.8,7.7,3.6,4,12.7
Hancock,1210000,18.2,16.7,,0,,,,,,,,,8.3
Hanover,1220000,2.5,2.5,1.8,1.9,3.1,1.4,2.2,2.3,20.4,1.7,2.1,1,3.8
Harvard,1250000,8.3,13.3,4,7.1,3.8,2.9,9.7,1.3,7.2,4.1,6.1,2,5.6
Hatfield,1270000,10.3,8.3,0,10,3.7,5.4,21.6,12.8,30,3.8,0,0,9.3
Haverhill,1280000,8.7,8.3,6.9,6,3.8,6.2,4.7,4,37,6,4.4,5.3,8.8
Hawlemont,6850000,35.3,13.3,29.4,17.9,16.7,11.1,,,,,,,20.4
Helen Y. Davis Leadership Academy Charter Public (District),4190000,,,,,,,15.5,10.1,,,,,12.7
Hill View Montessori Charter Public (District),4550000,11.1,2.9,8.3,5,5.7,14.7,5.9,3,,,,,7.1
Hilltown Cooperative Charter Public (District),4500000,0,5,0,4.5,0,4.5,9.4,6.3,,,,,4.2
Hingham,1310000,20.1,11.8,11.6,8.8,5.6,5.9,8.4,7.5,13.6,4.1,1.2,1.6,8.3
Holbrook,1330000,4.8,5.1,2.9,3.4,6.4,4.4,6.6,3.2,35.6,6.7,9,5.1,8.2
Holland,1350000,15,19.4,11.4,9.7,4,6.3,,,,,,,10.9
Holliston,1360000,4.6,5.8,3.8,4.3,3,4.4,1.8,3.4,18.7,1.5,3.7,0,4.6
Holyoke,1370000,8.5,9.7,8.6,6.5,10.8,8.5,5.5,5.6,9.7,4.6,5,2.6,7.1
Holyoke Community Charter (District),4530000,3.8,3.5,3.9,7,3.7,4.9,1.4,2.7,,,,,3.9
Hoosac Valley Regional,6030000,4.4,17.9,13,9.8,7.1,9.4,5.7,5.2,39.8,3.3,2.7,6.5,10.7
Hopedale,1380000,4.4,9.2,1.3,2.5,0,2.8,4.7,1.2,15.6,3.1,1.2,1.4,4
Hopkinton,1390000,5.6,4.7,2.7,3.6,2.7,1.4,2.8,1.9,7.5,2.8,3.1,1.9,3.3
Hudson,1410000,8.1,7.3,4.1,6.4,4.7,24.3,9,4.4,28.1,1.6,2.3,1.4,8.9
Hull,1420000,4.1,10.7,7.1,7.5,7,9.1,1.6,3.3,3.3,3.2,1.6,7.6,5.5
Innovation Academy Charter (District),4350000,,,,,,6,3,4,36,8.3,9.1,3.2,10
Ipswich,1440000,10.3,6.5,2.3,4.2,4,6.7,2.4,0.7,16.2,3.2,1.4,1.5,5
KIPP Academy Boston Charter School (District),4630000,10.9,9.2,4.5,6.7,4,4.2,13.8,3.4,,,,,7.1
KIPP Academy Lynn Charter (District),4290000,2.4,1.6,1.6,0.8,0.8,1.6,1.6,1.6,5.6,3.2,0,0,1.8
King Philip,6900000,,,,,,,,2.6,22.3,1.9,2.1,2.6,7
Kingston,1450000,10.9,7.1,4.6,8.2,6.5,1.3,,,,,,,6.5
Lawrence,1490000,6.2,5.8,5.9,6.3,7.5,5.2,4,3,36.5,4.2,3.5,2.7,7.8
Lawrence Family Development Charter (District),4540000,0,0,0,1.2,1.2,1.3,0,2.5,,,,,0.8
Learning First Charter Public School (District),4860000,4,4.1,2.7,1.3,5,4.1,9.5,0,,,,,3.9
Lee,1500000,11.5,2.1,8.5,8.3,6.3,10.2,5.4,3.8,13.6,3.2,1.7,3.3,6.5
Leicester,1510000,8.2,6.5,8.1,7.8,9.5,6.9,3.3,1.8,23.7,5,2.3,1,7.2
Lenox,1520000,6.8,13.5,4.3,13,7.8,8.5,9.4,3.2,13.9,5.9,2.9,3.2,7.6
