District Name,District Code,<26 yrs (# ),26-32 yrs (#),33-40 yrs (#),41-48 yrs (#),49-56 yrs (#),57-64 yrs (#),Over 64 yrs (#),FTE Count
Wales,03060000,       1.9,       3.0,       0.0,       8.0,       5.6,       4.1,       1.0,      23.5
Walpole,03070000,      34.8,      67.3,      77.0,     100.6,     137.8,      76.0,      10.4,     503.8
Waltham,03080000,      60.8,     190.7,     169.3,     167.1,     169.8,      95.5,      25.6,     878.7
Ware,03090000,       9.0,      19.8,      38.1,      28.8,      36.8,      31.0,       9.2,     172.7
Wareham,03100000,      10.5,      35.7,      45.5,      55.9,      95.3,      66.2,       9.4,     318.5
Watertown,03140000,      11.0,      97.7,     113.2,      72.3,      80.7,      63.8,      10.0,     448.6
Wayland,03150000,      24.9,      50.7,      76.7,     112.9,     116.0,      66.1,      14.3,     461.5
Webster,03160000,      11.0,      30.0,      53.0,      55.8,      61.7,      40.7,       2.6,     254.8
Wellesley,03170000,      48.7,     160.4,     169.7,     182.5,     175.1,     100.7,      26.3,     863.4
Wellfleet,03180000,       0.0,       4.5,       4.5,       3.1,       6.2,       8.8,       2.3,      29.4
West Boylston,03220000,       4.8,      20.1,      24.8,      36.8,      34.3,      16.9,       4.7,     142.4
West Bridgewater,03230000,       9.7,      19.8,      33.4,      45.6,      22.0,      19.7,       6.5,     156.6
West Springfield,03320000,      30.1,      86.7,     107.1,     115.1,     151.9,      94.4,      24.5,     609.7
Westborough,03210000,      24.2,      74.6,     105.0,     142.3,     150.2,      77.5,      14.1,     587.8
Westfield,03250000,      32.0,      69.0,     122.0,     154.5,     202.5,     118.7,      27.3,     726.0
Westford,03260000,      14.5,      49.2,     126.1,     151.6,     186.2,      92.3,      22.1,     641.9
Westhampton,03270000,       2.0,       2.6,       4.5,       6.7,       6.4,       3.6,       0.2,      26.0
Weston,03300000,      15.6,      46.2,      67.1,      86.5,      87.4,      54.6,      20.3,     377.5
Westport,03310000,       5.1,      19.0,      35.5,      55.1,      58.1,      39.4,      10.0,     222.1
Westwood,03350000,      33.5,      74.0,      95.9,     109.2,      94.0,      59.5,      12.8,     479.0
Weymouth,03360000,      31.2,     112.7,     132.7,     213.0,     183.8,     123.6,      24.0,     821.0
Whately,03370000,       2.0,       5.7,       2.8,       7.3,       6.7,       9.9,       0.0,      34.4
Whitman-Hanson,07800000,      26.4,      77.9,     104.4,      65.7,     106.4,      50.1,      13.1,     444.0
Whittier Regional Vocational Technical,08850000,       1.0,       9.6,      30.3,      24.7,      40.7,      24.9,       5.8,     137.0
Williamsburg,03400000,       2.0,       7.0,       7.6,       5.5,       3.1,       4.1,       0.2,      29.5
Wilmington,03420000,      19.5,      64.9,      97.0,     106.0,     102.6,      56.4,       8.0,     454.3
Winchendon,03430000,       6.0,      14.0,      22.5,      30.5,      43.0,      31.0,       8.0,     155.0
Winchester,03440000,      29.1,     100.7,     108.6,     111.4,     114.2,      91.6,      23.4,     579.1
Winthrop,03460000,      16.1,      66.8,      54.4,      32.0,      50.5,      32.2,       9.2,     261.2
Woburn,03470000,      19.7,      78.6,     130.8,     125.2,     150.0,     101.8,      22.6,     628.6
Worcester,03480000,     199.0,     555.4,     691.0,     701.6,     846.0,     532.8,     159.2,"   3,685.1"
Worthington,03490000,       3.6,       4.3,       0.5,       3.0,       4.1,       0.2,       0.2,      15.9
Wrentham,03500000,       7.0,      20.4,      28.1,      29.6,      42.3,      26.7,       2.0,     156.0
State Totals,00000000,"   7,180.9","  22,021.7","  26,969.9","  27,805.5","  28,666.4","  19,110.5","   4,594.8"," 136,349.7"
