District Name,District Code,Total # of Classes,Average Class Size,Number of Students,Female %,Male %,English Language Learner %,Students with Disabilities %,Economically Disadvantaged %
Global Learning Charter Public (District),4960000,347,16.9,503,51.3,48.7,9.7,11.1,59.4
Gloucester,1070000,"1,446",13.1,"2,691",47.8,52.1,7.9,25.5,41.5
Gosnold,1090000,10,2.8,6,50,50,0,0,0
Grafton,1100000,"1,948",16,"3,152",47.9,52,2,18.5,16
Granby,1110000,390,14.1,715,45,54.7,5.2,19.6,33
Greater Fall River Regional Vocational Technical,8210000,860,16,"1,439",44.7,55,1.7,10.2,41.1
Greater Lawrence Regional Vocational Technical,8230000,"1,787",13.7,"1,629",50.3,49.7,9.6,14.9,60
Greater Lowell Regional Vocational Technical,8280000,"1,444",17.9,"2,286",48.8,50.7,9.8,16.9,50
Greater New Bedford Regional Vocational Technical,8250000,"1,986",15.1,"2,106",47.7,52.3,4.2,10.3,42.2
Greenfield,1140000,722,16.3,"1,556",47.8,52.3,5.2,19.2,54.9
Greenfield Commonwealth Virtual District,39010000,340,18.6,"1,002",53.9,45.2,2.3,22.1,50
Groton-Dunstable,6730000,"1,099",16.8,"2,274",48.3,51.5,1.1,16.2,8
Hadley,1170000,399,16.2,507,45.8,54,4.1,14,23.5
Halifax,1180000,274,17.9,568,46.7,53.4,1.1,18.1,22.4
Hamilton-Wenham,6750000,"1,221",11.8,"1,683",51.6,48.4,0.8,17.4,7.7
Hampden Charter School of Science East (District),4990000,252,19,536,50.6,49.3,5.8,14,52.2
Hampden Charter School of Science West (District),35160000,162,17.4,327,46.8,53.2,7.7,17.7,52
Hampden-Wilbraham,6800000,"1,154",17.9,"2,892",49.5,50.5,1.2,16.7,20.5
Hampshire,6830000,576,11.2,684,56.3,43.4,1.9,21.6,17.8
Hancock,1210000,76,7,56,55.4,44.6,0,30.4,32.1
Hanover,1220000,"1,468",17.7,"2,641",48.4,51.6,1,19.8,9.6
Harvard,1250000,600,14.2,"1,008",50.2,49.7,0.9,10.8,6.5
Hatfield,1270000,293,12.1,394,47.2,52,0.3,27.2,16
Haverhill,1280000,"3,998",17.2,"7,848",47.8,52.1,10.1,22.7,55.3
Hawlemont,6850000,39,15.5,124,58.9,41.1,4,30.7,50.8
Helen Y. Davis Leadership Academy Charter Public (District),4190000,64,14.7,189,50.3,49.7,4.8,19.6,66.1
Hill View Montessori Charter Public (District),4550000,122,20.7,304,51.6,48.4,5.9,18.4,31.6
Hilltown Cooperative Charter Public (District),4500000,53,25.7,218,48.6,50.9,0,16.1,14.7
Hingham,1310000,"2,293",13.4,"3,941",49,50.9,0.4,14.7,6.6
Holbrook,1330000,695,15.3,"1,281",47.5,52.3,5.9,19.1,36.9
Holland,1350000,79,15.3,202,43.6,56.4,0,14.4,32.2
Holliston,1360000,"1,210",21.7,"2,776",47.7,52.2,2.2,16.8,9.1
Holyoke,1370000,"2,310",17.1,"5,095",47.3,52.7,19.7,28.3,80.7
Holyoke Community Charter (District),4530000,184,22.8,701,52.2,47.8,12.6,22.4,77.2
Hoosac Valley Regional,6030000,565,14.6,980,49.7,50.3,1.2,25.8,54.1
Hopedale,1380000,733,12.8,"1,094",47.9,52,4,18.8,18
Hopkinton,1390000,"2,249",19.7,"3,974",49.3,50.7,7.2,12.9,6.7
Hudson,1410000,"1,414",15.4,"2,432",51,48.9,13.5,18,30.8
Hull,1420000,525,10.1,812,46.3,53.6,1,19.2,33.5
Innovation Academy Charter (District),4350000,658,12.4,787,52.2,47.3,2.4,21.5,18.7
Ipswich,1440000,"1,017",15.1,"1,604",51,48.8,2.1,18.2,15.4
KIPP Academy Boston Charter School (District),4630000,127,31.9,620,47.4,52.6,16.9,15.7,72.4
KIPP Academy Lynn Charter (District),4290000,483,24.3,"1,611",50.3,49.7,12.2,11.4,57.9
King Philip,6900000,815,18,"1,943",48.9,51.1,0.2,15.4,11.1
Kingston,1450000,402,19.9,"1,028",48.6,51.4,2.7,18.4,21.1
Lawrence,1490000,"6,805",17.9,"13,204",47.5,52.3,35.4,19,79.5
Lawrence Family Development Charter (District),4540000,406,19.1,795,55.9,44.2,23.5,8.4,67.7
Learning First Charter Public School (District),4860000,234,24.7,666,52,48.1,26.3,14,71.2
Lee,1500000,686,8.2,673,48.6,51.3,4.5,16.1,38.5
Leicester,1510000,933,13.7,"1,387",46.4,53.4,4.3,18.7,31.4
Lenox,1520000,569,12.1,744,50.8,49.2,2.7,9.8,20
Leominster,1530000,"2,363",19.6,"5,969",49.2,50.7,13.1,22.9,48.3
Leverett,1540000,57,16.9,118,45.8,54.2,0,13.6,18.6
Lexington,1550000,"3,443",17.4,"6,945",49,50.9,8.2,13.9,6.7
Libertas Academy Charter School (District),35140000,80,18.7,262,50.8,49.2,33.6,24.4,83.2
Lincoln,1570000,275,21.6,"1,029",50.2,49.9,3.9,18.1,9.6
Lincoln-Sudbury,6950000,"1,138",17.8,"1,522",50.3,49.6,0.8,18.8,7.3
Littleton,1580000,807,17.6,"1,578",50.3,49.7,1.8,15,8.9
Longmeadow,1590000,"1,566",15.5,"2,765",48.3,51.7,0.6,18.9,10.6
Lowell,1600000,"8,901",18.1,"14,364",48,52,25,18.6,64.9
Lowell Community Charter Public (District),4560000,234,20.6,796,50.6,49.3,54.4,16.5,58.2
Lowell Middlesex Academy Charter (District),4580000,101,11.3,81,66.7,33.3,3.7,37,74.1
Ludlow,1610000,"1,596",11.3,"2,402",48.9,51,4.4,16,32.2
Lunenburg,1620000,890,17,"1,595",48,51.7,1.2,15.4,21.4
Lynn,1630000,"5,093",15.4,"12,825",47.1,52.7,31.4,17.9,65.6
Lynnfield,1640000,861,17.6,"2,179",50.1,49.8,2.4,18.1,9.6
MATCH Charter Public School (District),4690000,357,19.9,"1,220",51.6,48.4,18.3,23,69.8
Ma Academy for Math and Science,4680000,32,11,44,52.3,47.7,0,0,2.3
Malden,1650000,"2,778",18.6,"6,237",48.2,51.7,19.5,16.9,54.1
Manchester Essex Regional,6980000,671,14.8,"1,271",49,50.9,0.6,17.6,11.8
Mansfield,1670000,"1,525",15,"3,527",48.1,51.9,2.1,14.4,17.6
Map Academy Charter School (District),35170000,130,15.1,203,38.9,58.6,0,49.8,55.7
Marblehead,1680000,"1,603",16.2,"2,723",48.1,51.7,4.4,22.1,12.2
Marblehead Community Charter Public (District),4640000,89,18.2,211,44.6,55.5,8.1,26.5,17.5
Marion,1690000,313,9.4,403,47.4,52.6,0.3,19.9,25.3
Marlborough,1700000,"3,081",12.2,"4,901",47.1,52.9,25.4,16.7,48.9
Marshfield,1710000,"2,148",11.6,"3,817",48.1,51.9,1.3,18.6,15.6
Martha's Vineyard,7000000,423,12.8,677,47,53,11.2,20.5,34.3
Martha's Vineyard Charter (District),4660000,86,11.6,166,54.2,45.8,5.4,27.1,41.6
Martin Luther King Jr. Charter School of Excellence (District),4920000,108,20,360,48.6,51.4,27.2,14.7,77.5
Masconomet,7050000,940,15.8,"1,692",53.1,46.8,0.1,17.1,8.4
Mashpee,1720000,959,14.8,"1,525",48.8,51.2,4.7,15.3,36.1
Mattapoisett,1730000,402,10.5,412,48.5,51.5,0.5,17,18.9
Maynard,1740000,805,15.6,"1,189",48.7,51.1,4.5,18.3,20.9
Medfield,1750000,"1,475",17.5,"2,507",49.1,50.9,1.1,12.7,6.2
Medford,1760000,"2,194",13,"3,969",47.8,52.2,10.7,20.3,34.9
Medway,1770000,"1,215",15.9,"2,094",50,49.9,1.9,16,12.5
