District Name,District Code,Total # of Classes,Average Class Size,Number of Students,Female %,Male %,English Language Learner %,Students with Disabilities %,Economically Disadvantaged %
Plainville,2380000,124,19.2,632,47.2,52.9,4.4,21,23.1
Plymouth,2390000,"5,125",15.3,"7,102",47.4,52.6,3,20.3,28.2
Plympton,2400000,111,14.7,220,47.3,52.7,0.5,15,16.4
Prospect Hill Academy Charter (District),4870000,445,18.3,"1,105",49.7,50.3,14.3,15.9,52.6
Provincetown,2420000,52,11.3,147,55.1,44.9,19.1,17,44.2
Quabbin,7530000,"1,258",14.4,"2,116",49.2,50.6,0.5,19.6,31.3
Quaboag Regional,7780000,597,14.7,"1,128",48.8,51.1,1.6,20.2,41.8
Quincy,2430000,"6,287",12.7,"9,515",47.6,52.4,15.6,19.4,40.6
Ralph C Mahar,7550000,548,15.3,622,49.2,50.6,0.5,22.2,47.9
Randolph,2440000,"1,078",13.6,"2,696",46.4,53.6,16.6,20.9,55
Reading,2460000,"1,760",16.7,"3,980",47.5,52.4,1.3,18.5,9.3
Revere,2480000,"4,140",15.6,"7,294",49.3,50.7,24.1,15.8,58.4
Richmond,2490000,113,14.7,151,50.3,49.7,0,19.2,29.1
Rising Tide Charter Public (District),4830000,303,20,668,49.6,50,1.2,21.4,16.6
River Valley Charter (District),4820000,146,11.7,286,52.8,47.2,0,16.8,8
Rochester,2500000,367,16.8,493,47.9,52.1,0.4,21.7,20.3
Rockland,2510000,"1,446",14.4,"2,211",48.3,51.7,8.2,18.6,43.2
Rockport,2520000,459,14.7,770,47.7,52.3,0.7,22.9,22.7
Rowe,2530000,21,16.1,63,49.2,50.8,0,33.3,42.9
Roxbury Preparatory Charter (District),4840000,335,29.9,"1,589",47.1,52.9,14.1,15.7,70.3
Sabis International Charter (District),4410000,446,27,"1,565",50.8,49.2,10,15.9,47.9
Salem,2580000,"2,245",13.5,"3,772",48.6,51.4,14.1,20.9,56.4
Salem Academy Charter (District),4850000,250,19,491,51.1,48.5,3.3,19.6,40.9
Sandwich,2610000,"1,367",15.6,"2,351",50.6,49.3,1.5,20.5,20.3
Saugus,2620000,"1,099",17,"2,425",48,51.8,7.1,16.5,39.4
Savoy,2630000,61,5.7,45,42.2,57.8,0,22.2,44.4
Scituate,2640000,"1,470",18.2,"2,879",49.5,50.5,0.4,15.6,10.8
Seekonk,2650000,863,15.7,"2,014",49.6,50.3,2.5,18.9,16.1
Sharon,2660000,"1,529",19,"3,520",48.9,51,3.2,14.4,9.7
Shawsheen Valley Regional Vocational Technical,8710000,717,16.3,"1,302",39.2,60.8,0.1,27.9,16.9
Sherborn,2690000,217,15.7,391,51.4,48.6,3.3,15.6,6.9
Shrewsbury,2710000,"2,551",18.2,"6,046",50,50,2.9,14.1,14.5
Shutesbury,2720000,55,14.8,116,58.6,41.4,0,20.7,35.3
Silver Lake,7600000,814,18.9,"1,729",47.3,52.5,1.2,18.5,19
Sizer School: A North Central Charter Essential (District),4740000,234,13,370,44.1,55.7,3,27.3,43.5
Somerset,2730000,939,18.4,"1,623",48,51.9,1.1,18.2,27.5
Somerset Berkley Regional School District,7630000,448,18,"1,007",50.7,49.3,0.1,14.9,17.8
Somerville,2740000,"2,366",12.3,"4,624",47.4,52.3,18.5,19.9,46.2
South Hadley,2780000,697,17.4,"1,788",50.6,49.3,4.5,19,30.9
South Middlesex Regional Vocational Technical,8290000,761,12.6,815,41.7,57.6,17.9,39.5,50.2
South Shore Charter Public (District),4880000,534,15.3,"1,013",49,50.6,11.8,20,27.6
South Shore Regional Vocational Technical,8730000,247,15,637,32.7,67.4,0.8,26.2,24.2
Southampton,2750000,173,15.1,460,45.9,54.1,1.7,26.5,17.6
Southborough,2760000,501,14.9,"1,243",48,52,7.1,16.9,7.5
Southbridge,2770000,895,15.7,"1,886",48.2,51.8,19.8,21.6,77.7
Southeastern Regional Vocational Technical,8720000,"1,408",8.2,"1,527",52.3,47.6,3.6,13.8,38.8
Southern Berkshire,7650000,470,12.1,655,49.9,50.1,2.9,13.9,37.4
Southern Worcester County Regional Vocational Technical,8760000,993,13.5,"1,168",41.9,58.1,0.9,13.4,27.3
Southwick-Tolland-Granville Regional School District,7660000,774,14.4,"1,403",49.8,50.2,3.4,17.7,26.8
Spencer-E Brookfield,7670000,469,15.5,"1,353",46.3,53.7,4,21.2,44.4
Springfield,2810000,"21,372",11.5,"24,098",48.2,51.8,16.4,24.5,82.2
Springfield Preparatory Charter School (District),35100000,87,32.5,374,48.4,51.6,16,20.3,70.9
Stoneham,2840000,"1,483",13.4,"2,288",49.1,50.8,3.7,20.3,20
Stoughton,2850000,"1,941",16,"3,436",48,52,7.7,16.9,39.1
Sturbridge,2870000,295,17.7,809,45.7,54.3,3.7,16.7,18.5
Sturgis Charter Public (District),4890000,453,14.1,853,57.7,42.2,1.4,15.8,15.4
Sudbury,2880000,"1,918",15.2,"2,547",48.1,51.8,2.2,20.6,7
Sunderland,2890000,153,13.3,190,47.4,52.1,7.4,21.1,41.1
Sutton,2900000,463,17.4,"1,258",49.1,50.8,2.1,17.3,15.7
Swampscott,2910000,"1,208",16.8,"2,134",48.9,51.1,5.3,18.9,18.4
Swansea,2920000,"1,786",8.9,"2,013",48.8,51.2,0.4,11.8,23.3
