District Name,District Code,# Grade 11 and 12 Students,# Students Completing Advanced,% Students Completing Advanced,% ELA,% Math,% Science and Technology,% Science and Technology,% History and Social Sciences,% Arts,% All Other Subjects,Ch 74 Secondary Cooperative Program
Brookline,00460000,"       1,017",         922,  90.7,   0.0,  86.1,  57.0,   0.0,  18.7,   2.7,   4.2,   0.0
Burlington,00480000,         475,         298,  62.7,  14.7,  58.1,  17.9,  13.1,  20.2,   3.4,   1.9,   0.0
Cambridge,00490000,         940,         619,  65.9,  21.7,  51.8,  34.5,   9.6,  27.6,   2.2,   7.2,   0.2
Canton,00500000,         519,         393,  75.7,  42.8,  63.0,  18.3,   2.5,  35.1,   1.9,   2.1,   0.0
Cape Cod Regional Vocational Technical,08150000,         279,         264,  94.6,   5.4,   3.9,   0.0,   0.0,   5.7,   0.0,  93.5,  24.4
Carver,00520000,         180,         110,  61.1,   8.9,  58.3,  12.2,   0.0,   8.9,   0.0,   0.0,   0.0
Central Berkshire,06350000,         252,         168,  66.7,  19.0,  60.3,  17.5,   0.8,  15.5,   5.2,   3.6,   0.0
Chelmsford,00560000,         718,         633,  88.2,  20.5,  84.5,  21.2,   6.5,  25.2,   0.1,   9.7,   0.0
Chelsea,00570000,         621,         314,  50.6,  16.7,  42.4,   5.0,   0.0,  13.0,   0.0,  11.9,   0.0
Chicopee,00610000,"       1,078",         431,  40.0,  11.7,  35.0,   7.7,   0.9,  12.0,   0.0,   0.8,   0.3
City on a Hill Charter Public School Circuit Street (District),04370000,         144,          96,  66.7,  18.1,  66.7,   0.0,   0.0,  14.6,   0.0,   0.0,   0.0
Clinton,00640000,         227,         108,  47.6,  15.9,  40.5,  12.8,   0.4,   4.8,   0.0,   0.0,   0.0
Codman Academy Charter Public (District),04380000,          53,          38,  71.7,  39.6,  66.0,  41.5,  15.1,   0.0,   0.0,   0.0,   0.0
Cohasset,00650000,         229,         215,  93.9,  47.2,  79.0,  38.9,   0.4,  42.4,   0.4,   5.7,   0.0
Community Charter School of Cambridge (District),04360000,          79,          65,  82.3,  24.1,  68.4,  25.3,  38.0,  32.9,   0.0,   2.5,   0.0
Concord-Carlisle,06400000,         633,         533,  84.2,   4.6,  79.6,  27.6,   0.0,   0.5,   1.6,  13.0,   0.0
Danvers,00710000,         441,         374,  84.8,  17.0,  60.3,  49.7,   6.8,  38.8,   0.0,   7.9,   0.0
Dartmouth,00720000,         541,         369,  68.2,  26.6,  56.0,  16.8,   6.1,  22.2,   3.0,   1.7,   0.0
Dedham,00730000,         346,         231,  66.8,   9.0,  61.6,  12.4,   5.2,  24.9,   4.6,   5.5,   0.0
Dennis-Yarmouth,06450000,         331,         214,  64.7,  34.4,  55.9,  18.4,   2.1,  27.8,   3.0,   3.3,   0.0
Dighton-Rehoboth,06500000,         393,         255,  64.9,  25.7,  60.8,  14.5,   1.3,  22.6,   0.8,   2.3,   0.0
Douglas,00770000,         187,          96,  51.3,  13.9,  45.5,  21.9,   3.7,  16.6,   0.0,   0.0,   0.0
Dover-Sherborn,06550000,         334,         317,  94.9,  36.2,  94.3,  32.0,   4.5,  54.2,   2.4,   8.4,   0.0
Dracut,00790000,         461,         238,  51.6,  10.0,  41.6,  14.5,   0.0,  16.5,   0.0,   0.2,   0.0
Dudley-Charlton Reg,06580000,         524,         367,  70.0,  15.6,  49.6,  50.2,   6.5,   5.2,   0.0,   5.0,   0.0
Duxbury,00820000,         476,         379,  79.6,  19.3,  75.0,  19.7,   0.0,  38.7,   4.2,   8.0,   0.0
East Bridgewater,00830000,         314,         230,  73.2,  32.2,  66.6,  26.8,   0.0,   4.8,   2.2,   0.0,   0.0
East Longmeadow,00870000,         380,         264,  69.5,  22.9,  60.3,  17.1,   4.2,  11.1,   0.0,   3.4,   0.0
Easthampton,00860000,         219,         107,  48.9,  44.3,  19.2,   2.7,   0.0,  15.5,   0.5,   4.6,   0.5
Easton,00880000,         561,         381,  67.9,   8.2,  59.2,  25.5,   2.3,  35.5,   1.2,   1.8,   0.0
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District),04520000,         186,         141,  75.8,  39.2,  65.6,  11.8,   0.0,   0.0,   0.0,   0.0,   0.0
Essex North Shore Agricultural and Technical School District,08170000,         725,         529,  73.0,   7.4,  52.0,  22.3,   4.3,  30.3,   0.0,   0.0,  23.9
Everett,00930000,         931,         570,  61.2,  11.6,  53.8,   7.1,   4.0,   8.3,   0.0,   5.9,   0.0
Excel Academy Charter (District),04100000,         319,         293,  91.8,  58.9,  85.3,  41.1,   7.5,  37.0,   1.9,  25.1,   0.0
Fairhaven,00940000,         336,         216,  64.3,  28.6,  56.3,   8.0,   0.0,  22.6,   0.0,   0.0,   0.0
Fall River,00950000,"       1,143",         527,  46.1,  14.6,  35.7,  20.6,   0.0,   3.8,   0.0,   1.7,   0.0
Falmouth,00960000,         397,         249,  62.7,  17.1,  58.9,  14.6,   6.5,  27.2,   5.0,   8.1,   0.0
Fitchburg,00970000,         697,         286,  41.0,  22.7,  25.0,  18.4,   3.7,  17.1,   0.4,   9.0,   0.0
Four Rivers Charter Public (District),04130000,          67,          28,  41.8,   0.0,  38.8,   0.0,   3.0,   0.0,   0.0,   0.0,   0.0
Foxborough,00990000,         383,         257,  67.1,  21.7,  52.5,  13.1,   0.5,  39.2,   3.4,   3.4,   0.0
Foxborough Regional Charter (District),04460000,         147,         115,  78.2,  25.2,  50.3,  31.3,   1.4,  43.5,   7.5,   3.4,   0.0
Framingham,01000000,"       1,094",         821,  75.0,  17.5,  48.6,  28.1,   0.8,  26.0,   2.8,   9.7,   0.0
Francis W. Parker Charter Essential (District),04780000,         119,         100,  84.0,   0.8,  74.8,  47.1,   0.0,   4.2,   0.8,   0.0,   0.0
Franklin,01010000,         885,         666,  75.3,   7.8,  70.7,  30.6,   6.3,  40.1,   3.3,   4.1,   0.0
Franklin County Regional Vocational Technical,08180000,         238,          79,  33.2,   2.5,  33.2,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
Freetown-Lakeville,06650000,         367,         215,  58.6,  20.7,  47.4,  24.5,   0.8,  31.9,   0.8,   7.9,   0.0
Frontier,06700000,         206,         141,  68.4,  14.6,  58.7,  12.6,   4.9,  23.3,   0.0,   6.3,   0.0
Gardner,01030000,         326,         249,  76.4,  36.5,  65.0,  23.0,   5.2,  33.7,   6.1,  28.8,   0.0
Gateway,06720000,          93,          60,  64.5,  24.7,  44.1,  33.3,   0.0,   6.5,   0.0,   0.0,   0.0
Georgetown,01050000,         180,         119,  66.1,  10.6,  63.9,   8.9,   0.0,  18.9,   0.0,   0.0,   0.0
Gill-Montague,06740000,          94,          55,  58.5,  30.9,  53.2,  26.6,   2.1,  16.0,   7.4,  17.0,   0.0
Global Learning Charter Public (District),04960000,          58,          43,  74.1,  39.7,  63.8,  50.0,   0.0,  31.0,   0.0,   0.0,   0.0
Gloucester,01070000,         349,         121,  34.7,   8.6,  28.1,  14.6,   3.2,   6.0,   0.0,   0.0,   0.0
Grafton,01100000,         425,         306,  72.0,  30.4,  52.5,  20.2,   6.4,  20.7,   0.0,   0.9,   0.0
Granby,01110000,         118,          76,  64.4,  34.7,  48.3,  21.2,   5.1,  22.0,   0.0,   0.0,   0.0
Greater Fall River Regional Vocational Technical,08210000,         707,         409,  57.9,   2.0,  41.6,  14.7,   1.6,   2.4,   0.1,   2.8,  31.3
Greater Lawrence Regional Vocational Technical,08230000,         781,         440,  56.3,   3.3,  44.6,  25.0,   0.0,   3.5,   0.0,   0.0,  28.6
Greater Lowell Regional Vocational Technical,08280000,"       1,091",         851,  78.0,   5.5,  39.6,  10.7,   1.4,   0.0,   0.7,  57.9,  18.4
Greater New Bedford Regional Vocational Technical,08250000,"       1,015",         369,  36.4,   6.0,  29.8,   0.2,   0.0,   0.0,   0.0,   0.0,  13.2
Greenfield,01140000,         184,          95,  51.6,  31.0,  33.7,  26.1,   0.0,  25.0,   0.5,   0.0,   0.0
Greenfield Commonwealth Virtual District,39010000,         209,          82,  39.2,  20.1,  28.2,   4.8,   1.0,   9.6,   2.9,   5.7,   0.0
Groton-Dunstable,06730000,         379,         303,  79.9,  23.5,  70.7,  49.9,   0.0,   6.1,   1.3,   1.8,   0.0
Hadley,01170000,          79,          60,  75.9,  32.9,  67.1,  30.4,   1.3,  31.6,   1.3,   3.8,   0.0
Hamilton-Wenham,06750000,         271,         215,  79.3,   6.6,  77.5,  20.3,   0.0,  36.9,   0.0,  16.2,   0.0
Hampden Charter School of Science East (District),04990000,         111,          94,  84.7,  27.0,  77.5,   7.2,   4.5,  28.8,   0.0,  31.5,   0.0
Hampden Charter School of Science West (District),35160000,          27,          17,  63.0,  29.6,  37.0,  11.1,   3.7,  14.8,   0.0,  25.9,   0.0
Hampden-Wilbraham,06800000,         517,         371,  71.8,  15.9,  70.6,  11.2,   5.4,  14.5,   2.9,   3.3,   0.0
Hampshire,06830000,         232,         200,  86.2,   4.3,  53.4,  64.7,   6.0,  21.6,   1.3,  10.8,   0.0
Hanover,01220000,         400,         307,  76.8,  20.3,  73.3,  17.5,   0.0,  21.3,   4.3,   3.5,   0.0
Harvard,01250000,         188,         167,  88.8,   7.4,  84.0,  31.9,   2.1,  61.7,   0.0,  19.1,   0.0
Hatfield,01270000,          65,          53,  81.5,  26.2,  63.1,  38.5,   3.1,  24.6,   3.1,   0.0,   0.0
Haverhill,01280000,         902,         469,  52.0,  22.3,  38.9,  13.3,   3.3,  20.3,   1.1,   3.0,   0.0
Hingham,01310000,         639,         539,  84.4,  14.6,  83.6,  26.9,   0.2,   5.0,   2.5,  17.1,   0.0
Holbrook,01330000,         125,          76,  60.8,  16.0,  56.8,  20.0,   0.0,  11.2,   0.0,   4.8,   0.0
Holliston,01360000,         414,         316,  76.3,  22.0,  61.4,  36.2,   3.1,  43.5,   3.4,   8.7,   0.0
Holyoke,01370000,         829,         334,  40.3,  13.0,  22.7,   4.1,   0.0,  15.1,   0.1,  12.1,   0.0
Hoosac Valley Regional,06030000,         112,          60,  53.6,  37.5,  43.8,   7.1,   0.0,  15.2,   0.0,   0.0,   0.0
Hopedale,01380000,         156,         117,  75.0,  10.3,  68.6,  20.5,  10.3,  30.8,   0.0,   6.4,   0.0
Hopkinton,01390000,         617,         514,  83.3,  20.1,  69.2,  36.0,   9.4,  62.7,   7.0,   6.3,   0.0
Hudson,01410000,         312,         215,  68.9,  14.1,  48.1,  22.1,   0.0,  25.0,   1.3,   9.9,   0.0
Hull,01420000,         138,          92,  66.7,  21.7,  59.4,  26.8,   0.0,  39.9,   0.0,   7.2,   0.0
Innovation Academy Charter (District),04350000,         181,         111,  61.3,   0.0,  61.3,  20.4,   0.0,   0.0,   0.0,   0.0,   0.0
Ipswich,01440000,         281,         166,  59.1,  19.2,  50.2,  22.8,   5.7,  27.0,   0.0,   2.1,   0.0
KIPP Academy Lynn Charter (District),04290000,         235,         220,  93.6,  49.4,  70.2,  43.8,   0.0,  27.2,   6.0,   9.4,   0.0
King Philip,06900000,         620,         531,  85.6,  49.7,  79.8,  21.3,   6.6,  34.2,   4.2,  16.3,   0.0
Lawrence,01490000,"       1,608","       1,243",  77.3,   7.1,  44.3,  38.9,   7.8,  11.2,   1.4,   9.9,   2.5
Lee,01500000,         116,          89,  76.7,  41.4,  62.1,  29.3,   6.0,   6.0,   4.3,  14.7,   0.0
Leicester,01510000,         234,         153,  65.4,  16.7,  59.4,   6.4,   0.0,  12.4,   0.0,   0.0,   0.0
Lenox,01520000,         129,          78,  60.5,   1.6,  55.8,  34.9,   0.8,   0.0,   1.6,  13.2,   0.0
Leominster,01530000,         932,         375,  40.2,   7.9,  29.9,  10.5,   0.0,  12.8,   0.9,   5.3,   2.0
Lexington,01550000,"       1,111","       1,016",  91.4,   0.0,  86.1,  46.7,  10.7,  53.8,   5.0,   6.4,   0.0
Lincoln-Sudbury,06950000,         784,         640,  81.6,   0.0,  80.6,  10.6,   4.0,   0.1,   2.3,   0.0,   0.0
Littleton,01580000,         209,         158,  75.6,  19.1,  72.2,  22.0,   7.7,  31.1,   1.0,  12.9,   0.0
Longmeadow,01590000,         459,         321,  69.9,  19.2,  58.0,  48.8,   3.9,  19.0,   5.9,   8.7,   0.0
Lowell,01600000,"       1,577",         991,  62.8,   3.0,  37.2,  41.5,   0.0,  13.6,   0.0,   1.3,   0.0
Lowell Middlesex Academy Charter (District),04580000,          44,           0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
Ludlow,01610000,         413,         195,  47.2,  10.2,  34.6,  21.8,   0.0,  11.4,   0.0,   0.0,   0.0
Lunenburg,01620000,         239,         143,  59.8,  24.3,  44.8,  10.9,   0.8,  32.6,   3.8,   0.0,   0.0
Lynn,01630000,"       2,162",         773,  35.8,  12.0,  27.1,  10.6,   3.4,  16.5,   0.6,   3.7,   0.5
Lynnfield,01640000,         314,         282,  89.8,  27.4,  89.8,  15.3,   2.2,  46.5,   1.0,  14.3,   0.0
MATCH Charter Public School (District),04690000,         144,         127,  88.2,  25.7,  75.7,  16.0,  16.0,  50.0,   0.0,  13.2,   0.0
Ma Academy for Math and Science,04680000,          92,          92, 100.0,  52.2, 100.0,  37.0,  28.3,  40.2,   8.7,  20.7,   0.0
Malden,01650000,         842,         670,  79.6,  11.5,  73.3,  15.6,   2.1,  23.9,   2.7,   5.0,   0.0
Manchester Essex Regional,06980000,         252,         190,  75.4,  21.0,  56.7,  45.2,   0.0,  45.6,   0.0,  11.9,   0.0
Mansfield,01670000,         604,         428,  70.9,  18.5,  57.0,  16.1,  18.4,  28.3,   0.2,   9.4,   0.0
Map Academy Charter School (District),35170000,         112,           6,   5.4,   1.8,   3.6,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
Marblehead,01680000,         494,         368,  74.5,  11.1,  68.4,  12.6,  13.8,   0.8,   0.0,   4.3,   0.0
Marlborough,01700000,         510,         296,  58.0,  31.6,  44.1,  10.8,   0.0,  22.4,   1.6,   2.7,   0.0
Marshfield,01710000,         629,         409,  65.0,  13.8,  59.3,  21.5,   7.0,  25.4,   3.7,   3.7,   0.0
Martha's Vineyard,07000000,         316,         154,  48.7,  19.3,  45.9,  20.9,   1.6,  15.5,   0.6,   4.1,   0.0
Martha's Vineyard Charter (District),04660000,          22,          22, 100.0,   0.0, 100.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
Masconomet,07050000,         564,         415,  73.6,   9.2,  68.1,  29.6,   6.2,  32.1,   4.8,   7.6,   0.0
Mashpee,01720000,         226,         163,  72.1,  20.4,  66.8,  27.4,   0.0,  17.3,   1.8,   4.4,   0.0
Maynard,01740000,         165,         105,  63.6,  35.8,  60.6,  12.7,   5.5,   7.3,   1.2,   0.0,   0.0
Medfield,01750000,         388,         288,  74.2,  17.0,  45.6,  13.7,   0.0,  61.1,   4.9,   9.5,   0.0
Medford,01760000,         600,         344,  57.3,  17.3,  54.3,   3.3,   1.3,  16.0,   0.3,   0.2,   0.0
Medway,01770000,         329,         280,  85.1,  25.2,  81.5,  37.4,   0.6,  37.1,   0.0,   7.6,   0.0
Melrose,01780000,         472,         350,  74.2,  34.7,  58.1,  28.6,   4.9,  34.3,   0.0,  19.1,   0.0
Mendon-Upton,07100000,         327,         274,  83.8,  26.3,  65.1,  23.9,   5.8,  42.2,   4.3,   8.9,   0.0
Methuen,01810000,         979,         486,  49.6,  11.0,  42.8,  12.2,   0.0,  18.4,   0.4,   1.5,   0.0
Middleborough,01820000,         403,         256,  63.5,  11.7,  52.6,   7.9,   0.0,   9.4,   1.5,   6.2,   0.0
Milford,01850000,         582,         354,  60.8,  18.7,  50.9,  23.9,   4.1,  12.9,   0.9,   4.5,   0.0
Millbury,01860000,         214,         148,  69.2,  15.9,  54.7,  17.3,   6.1,   8.4,   0.0,   0.5,   0.0
Millis,01870000,         166,         140,  84.3,  16.9,  82.5,  17.5,   9.6,  30.7,   1.8,  19.9,   0.0
Milton,01890000,         552,         531,  96.2,  27.0,  95.8,  20.3,   4.0,  32.2,   4.3,  21.2,   0.0
Minuteman Regional Vocational Technical,08300000,         272,         140,  51.5,   8.5,  39.0,  29.8,   0.0,  11.8,   0.0,   0.0,   0.0
Mohawk Trail,07170000,          98,          66,  67.3,  22.4,  44.9,  27.6,   4.1,  29.6,   0.0,   0.0,   0.0
Monomoy Regional School District,07120000,         257,         169,  65.8,  23.7,  52.5,  23.3,   8.6,  18.7,   2.3,   3.9,   0.0
Monson,01910000,         129,          80,  62.0,  27.1,  48.1,   3.9,   0.0,   0.8,   1.6,   0.0,   0.0
Montachusett Regional Vocational Technical,08320000,         699,         330,  47.2,  14.6,  30.0,  15.9,   0.9,   0.0,   0.0,   0.0,  20.3
Mount Greylock,07150000,         158,         134,  84.8,  19.6,  70.9,  24.7,  10.8,  50.0,   0.0,  18.4,   0.0
Mystic Valley Regional Charter (District),04700000,         146,         142,  97.3,  68.5,  88.4,  87.7,   0.0,  84.2,   9.6,  58.2,   0.0
Nantucket,01970000,         251,         174,  69.3,  23.9,  61.0,   6.8,   3.6,  28.3,   0.0,   0.0,   0.0
Narragansett,07200000,         130,          84,  64.6,  16.9,  46.9,  28.5,   0.0,  34.6,   0.0,   0.0,   0.0
Nashoba,07250000,         484,         421,  87.0,   6.0,  84.1,  34.9,  13.6,  49.8,   0.4,   5.2,   0.0
Nashoba Valley Regional Vocational Technical,08520000,         356,         304,  85.4,  21.6,  65.2,  14.6,   0.0,   9.3,   0.0,  47.2,  25.8
Natick,01980000,         785,         576,  73.4,  12.2,  67.4,  18.9,   8.3,  42.0,   1.0,   5.5,   0.0
Nauset,06600000,         450,         303,  67.3,  16.9,  52.4,  37.3,   0.2,  43.3,   6.4,   6.9,   0.0
Needham,01990000,         867,         817,  94.2,  20.8,  93.4,  16.6,   0.0,  37.7,   4.2,   8.4,   0.0
Neighborhood House Charter (District),04440000,         117,          60,  51.3,  20.5,  46.2,   1.7,   0.0,   7.7,   0.9,   2.6,   0.0
New Bedford,02010000,"       1,234",         496,  40.2,  10.2,  27.1,  12.0,   1.2,   7.9,   0.1,   6.8,   0.0
New Heights Charter School of Brockton (District),35130000,         189,         165,  87.3,  76.7,  28.6,  54.0,   8.5,  71.4,   0.0,  60.3,   0.0
Newburyport,02040000,         382,         274,  71.7,  29.3,  58.4,  24.6,   0.8,  28.8,   1.8,   0.3,   0.0
Newton,02070000,"       2,008","       1,549",  77.1,   9.7,  72.5,  19.7,   0.0,  37.4,   1.6,   7.4,   0.0
Norfolk County Agricultural,09150000,         280,         142,  50.7,   7.5,  44.6,   0.0,   0.0,   0.0,   0.0,  12.1,   0.0
North Adams,02090000,         149,         106,  71.1,  48.3,  57.7,  28.2,   7.4,  30.2,   4.0,   4.7,   0.0
North Andover,02110000,         730,         499,  68.4,  10.8,  59.7,  19.6,   5.5,  30.4,   3.2,   9.6,   0.0
North Attleborough,02120000,         547,         373,  68.2,  14.1,  62.0,  16.1,   2.7,  29.3,   0.0,   7.7,   0.0
North Brookfield,02150000,          62,          18,  29.0,  22.6,   8.1,   3.2,   0.0,   8.1,   0.0,   0.0,   0.0
North Middlesex,07350000,         421,         361,  85.7,   4.5,  82.7,  34.7,   9.5,  13.1,   1.9,   6.7,   0.0
North Reading,02170000,         350,         256,  73.1,  14.0,  65.1,  31.1,   2.0,  22.0,   0.0,   0.0,   0.0
Northampton,02100000,         439,         350,  79.7,  46.7,  67.2,  49.4,   3.2,  36.7,   0.0,   7.3,   0.0
Northampton-Smith Vocational Agricultural,04060000,         241,         104,  43.2,   3.3,  25.7,  19.1,   0.0,   0.0,   0.0,   0.0,  10.0
Northboro-Southboro,07300000,         709,         506,  71.4,  23.1,  57.3,  24.1,   2.8,  40.3,   3.4,   9.0,   0.0
Northbridge,02140000,         264,         150,  56.8,  17.4,  47.7,  19.3,   0.4,  25.4,   1.1,   0.0,   0.0
Northeast Metropolitan Regional Vocational Technical,08530000,         625,         265,  42.4,   4.6,  33.3,   3.2,   1.3,   2.9,   0.0,   0.0,  13.9
Northern Berkshire Regional Vocational Technical,08510000,         233,         178,  76.4,   6.0,  57.9,  19.3,   7.7,   0.0,   0.0,   0.0,  12.9
Norton,02180000,         343,         166,  48.4,   0.0,  34.7,   8.7,   1.7,  19.0,   0.9,   5.0,   0.0
Norwell,02190000,         334,         301,  90.1,  15.9,  89.2,  12.6,   6.0,  49.4,  11.4,  17.7,   0.0
Norwood,02200000,         491,         328,  66.8,  16.7,  58.9,  27.5,   3.3,  22.2,   3.3,  12.2,   0.0
Old Colony Regional Vocational Technical,08550000,         258,         245,  95.0,  18.2,  54.7,   5.0,   6.2,   0.0,   0.0,  51.2,   7.4
Old Rochester,07400000,         387,         302,  78.0,  16.0,  72.6,  29.7,  15.2,  23.0,   3.1,   7.0,   0.0
Oxford,02260000,         190,         104,  54.7,  27.4,  34.7,  11.6,  19.5,  18.9,   1.6,   0.5,   0.0
Palmer,02270000,         142,          91,  64.1,  31.0,  50.0,  26.1,   0.7,  17.6,   0.7,   0.7,   0.0
Pathfinder Regional Vocational Technical,08600000,         285,         101,  35.4,  13.0,  26.0,   7.4,   2.8,   8.8,   0.0,   0.0,   0.0
Paulo Freire Social Justice Charter School (District),35010000,         122,          67,  54.9,  23.8,  44.3,   6.6,   0.0,   7.4,   0.0,   0.0,   0.0
Peabody,02290000,         713,         317,  44.5,   0.0,  30.3,   6.9,   0.0,  17.1,   1.4,   3.8,   0.0
Pembroke,02310000,         405,         301,  74.3,  13.6,  71.6,  15.3,   4.9,  32.1,   0.7,   4.7,   0.0
