District Name,District Code,4 Year Private College,4 Year Public College,2 Year Private College,2 Year Public College,Other Post Secondary,Apprenticeship,Work,Military,Other,Unknown,Total Count
Norwell,02190000,  55.2,  35.8,   0.0,   4.2,   0.6,   0.6,   2.4,   0.0,   0.0,   1.2,     165
Norwood,02200000,  35.0,  24.8,   0.4,  14.2,   8.1,   0.0,   2.0,   2.4,  13.0,   0.0,     246
Old Colony Regional Vocational Technical,08550000,   7.7,  20.8,   0.0,  17.7,   0.0,   0.0,  45.4,   3.8,   2.3,   2.3,     130
Old Rochester,07400000,  34.4,  43.5,   0.0,   8.6,   1.6,   0.0,   5.4,   1.1,   1.1,   4.3,     186
Oxford,02260000,  22.5,  34.8,   0.0,   7.9,   3.4,   0.0,   7.9,   4.5,   7.9,  11.2,      89
Palmer,02270000,  27.8,  24.1,   0.0,  17.7,   3.8,   0.0,  24.1,   1.3,   0.0,   1.3,      79
Pathfinder Regional Vocational Technical,08600000,   8.8,   9.6,   2.2,  16.2,   0.0,   1.5,  30.1,   3.7,  15.4,  12.5,     136
Paulo Freire Social Justice Charter School (District),35010000,  10.3,  17.2,   0.0,  48.3,   1.7,   0.0,  17.2,   1.7,   1.7,   1.7,      58
Peabody,02290000,  19.1,  44.4,   0.9,  14.6,   1.8,   1.2,  11.6,   1.5,   0.0,   4.9,     329
Pembroke,02310000,  18.0,  42.5,   0.0,   3.5,   0.0,   0.0,   0.0,   0.0,   0.0,  36.0,     200
Pentucket,07450000,  40.1,  27.6,   0.0,   9.4,   1.0,   0.0,   0.0,   0.0,   5.2,  16.7,     192
Phoenix Academy Public Charter High School Lawrence (District),35180000,   0.0,   0.0,   0.0,  25.0,   0.0,   0.0,  75.0,   0.0,   0.0,   0.0,       8
Phoenix Academy Public Charter High School Springfield (District),35080000,  18.2,  18.2,   0.0,  18.2,   9.1,   0.0,  27.3,   9.1,   0.0,   0.0,      11
Phoenix Charter Academy (District),04930000,   0.0,  75.0,   0.0,  12.5,   0.0,   0.0,  12.5,   0.0,   0.0,   0.0,       8
Pioneer Charter School of Science (District),04940000,  48.1,  34.6,   0.0,  15.4,   0.0,   0.0,   0.0,   1.9,   0.0,   0.0,      52
Pioneer Charter School of Science II (PCSS-II) (District),35060000,  34.0,  40.0,   0.0,  20.0,   2.0,   0.0,   0.0,   4.0,   0.0,   0.0,      50
Pioneer Valley,07500000,  15.7,  31.4,   0.0,  25.5,   5.9,   0.0,  13.7,   3.9,   3.9,   0.0,      51
Pioneer Valley Chinese Immersion Charter (District),04970000,  57.1,  32.1,   0.0,   7.1,   0.0,   0.0,   0.0,   0.0,   0.0,   3.6,      28
Pioneer Valley Performing Arts Charter Public (District),04790000,  35.1,  24.6,   0.0,  26.3,   0.0,   0.0,   8.8,   1.8,   0.0,   3.5,      57
Pittsfield,02360000,  20.6,  14.0,   0.3,  29.3,   3.8,   0.0,  16.0,   2.0,   4.8,   9.2,     393
Plymouth,02390000,  24.6,  28.6,   0.4,   8.4,   2.1,   0.7,  32.2,   2.1,   0.4,   0.5,     569
Prospect Hill Academy Charter (District),04870000,  39.1,  37.7,   0.0,  13.0,   0.0,   1.4,   2.9,   0.0,   2.9,   2.9,      69
Quabbin,07530000,  27.6,  35.9,   0.0,  11.7,   0.7,   0.7,  20.0,   2.8,   0.0,   0.7,     145
Quaboag Regional,07780000,  27.6,  34.5,   0.0,  12.6,   2.3,   0.0,  17.2,   1.1,   1.1,   3.4,      87
Quincy,02430000,  26.6,  38.3,   1.1,   9.9,   0.7,   2.5,   4.2,   2.4,   2.1,  12.1,     710
Ralph C Mahar,07550000,   7.4,  25.3,   0.0,  34.7,   1.1,   0.0,  22.1,   2.1,   1.1,   6.3,      95
Randolph,02440000,  19.5,  27.0,   1.3,  18.2,   5.0,   0.0,  11.9,   2.5,   0.0,  14.5,     159
Reading,02460000,  47.0,  32.5,   0.0,   5.7,   2.7,   0.0,   3.9,   1.8,   3.0,   3.3,     332
Revere,02480000,  22.0,  22.8,   0.0,  22.0,   2.2,   2.2,  21.4,   0.6,   3.3,   3.5,     491
Rising Tide Charter Public (District),04830000,  34.3,  37.3,   0.0,   6.0,   3.0,   0.0,   9.0,   0.0,   6.0,   4.5,      67
Rockland,02510000,   0.0,  96.9,   0.0,   0.0,   0.0,   0.0,   3.1,   0.0,   0.0,   0.0,     131
Rockport,02520000,   4.6,  70.8,   0.0,   7.7,   1.5,   0.0,   7.7,   3.1,   4.6,   0.0,      65
Roxbury Preparatory Charter (District),04840000,   6.1,  74.7,   0.0,  13.1,   1.0,   0.0,   1.0,   1.0,   2.0,   1.0,      99
Sabis International Charter (District),04410000,  30.3,  21.2,   0.0,  30.3,  12.1,   0.0,   1.0,   2.0,   0.0,   3.0,      99
Salem,02580000,  17.7,  16.5,   0.4,  16.1,   4.8,   1.6,   1.6,   2.0,  16.9,  22.5,     249
Salem Academy Charter (District),04850000,  19.7,  65.6,   0.0,   4.9,   1.6,   0.0,   8.2,   0.0,   0.0,   0.0,      61
Sandwich,02610000,  31.0,  37.4,   0.0,  12.3,   0.6,   0.0,  11.6,   2.6,   1.9,   2.6,     155
Saugus,02620000,  27.2,  37.7,   0.0,  14.2,   6.2,   0.0,   8.6,   0.6,   2.5,   3.1,     162
Scituate,02640000,  43.9,  41.5,   0.0,   0.4,   0.0,   0.0,   4.5,   0.0,   3.3,   6.5,     246
Seekonk,02650000,  25.7,  37.8,   0.0,  16.2,   5.4,   0.0,   5.4,   2.7,   4.1,   2.7,     148
Sharon,02660000,  47.1,  35.4,   0.0,   2.3,   0.0,   0.0,   0.4,   0.0,   2.7,  12.1,     257
Shawsheen Valley Regional Vocational Technical,08710000,  16.3,  17.6,   0.0,  14.1,   6.1,   0.0,  34.8,   3.8,   0.0,   7.3,     313
Shrewsbury,02710000,  34.9,  45.4,   0.0,   6.8,   0.9,   0.4,   3.7,   0.9,   0.9,   6.1,     458
Silver Lake,07600000,  38.5,  30.4,   0.0,   8.8,   2.3,   0.0,  16.9,   1.9,   0.8,   0.4,     260
Sizer School: A North Central Charter Essential (District),04740000,   8.2,  69.4,   4.1,   8.2,   0.0,   0.0,   8.2,   0.0,   2.0,   0.0,      49
Somerset Berkley Regional School District,07630000,  26.8,  36.4,   0.4,  20.3,   4.3,   0.4,   5.2,   2.2,   2.6,   1.3,     231
Somerville,02740000,  25.0,  27.6,   0.7,  18.8,   4.0,   0.0,  14.3,   1.8,   4.0,   3.7,     272
South Hadley,02780000,  29.7,  19.6,   0.0,  23.6,   0.7,   0.0,   9.5,   1.4,   0.0,  15.5,     148
South Middlesex Regional Vocational Technical,08290000,  11.7,  15.2,   0.0,  12.9,   2.3,   4.7,  49.1,   1.2,   1.8,   1.2,     171
South Shore Charter Public (District),04880000,  39.2,  39.2,   0.0,  13.5,   0.0,   0.0,   4.1,   0.0,   2.7,   1.4,      74
South Shore Regional Vocational Technical,08730000,   6.6,  22.4,   0.0,   8.6,   0.0,   0.0,  55.3,   4.6,   0.7,   2.0,     152
Southborough,02760000,,,,,,,,,,,       1
Southbridge,02770000,  10.1,  11.6,   1.4,  11.6,   1.4,   0.0,  31.9,   2.9,   0.0,  29.0,      69
Southeastern Regional Vocational Technical,08720000,  19.1,  24.7,   0.3,  11.6,   3.9,   2.5,  31.9,   2.8,   0.0,   3.3,     361
Southern Berkshire,07650000,  27.7,  29.8,   0.0,  17.0,   0.0,   0.0,  10.6,   8.5,   6.4,   0.0,      47
Southern Worcester County Regional Vocational Technical,08760000,  12.6,  23.3,   0.0,   9.3,   4.4,   1.9,  34.4,   3.3,   0.0,  10.7,     270
Southwick-Tolland-Granville Regional School District,07660000,  24.7,  27.8,   0.0,  18.6,   2.1,   0.0,  16.5,   2.1,   0.0,   8.2,      97
Spencer-E Brookfield,07670000,  12.1,  25.9,   1.7,  20.7,   6.9,   1.7,  20.7,   0.0,   1.7,   8.6,      58
Springfield,02810000,  11.5,  11.6,   0.6,  29.1,   2.8,   0.0,  26.3,   3.7,   3.9,  10.5,"   1,526"
Stoneham,02840000,  41.4,  38.5,   0.6,   6.3,   2.3,   0.0,   6.9,   0.0,   1.7,   2.3,     174
Stoughton,02850000,  26.8,  34.0,   0.8,  19.2,   1.2,   2.0,   9.6,   0.4,   1.2,   4.8,     250
Sturgis Charter Public (District),04890000,  47.7,  29.7,   0.0,  11.8,   0.0,   0.0,   2.1,   1.5,   2.1,   5.1,     195
Sutton,02900000,  41.9,  34.9,   0.0,   3.5,   5.8,   0.0,   8.1,   1.2,   2.3,   2.3,      86
Swampscott,02910000,  38.0,  43.0,   0.0,   5.0,   2.8,   0.0,   6.1,   0.6,   2.8,   1.7,     179
Swansea,02920000,  15.8,  31.6,   0.8,  23.3,   2.3,   0.0,  15.0,   2.3,   0.0,   9.0,     133
TEC Connections Academy Commonwealth Virtual School District,39020000,   0.0,  33.6,   0.0,  16.4,   5.5,   0.0,  10.3,   1.4,  16.8,  16.1,     292
Tantasqua,07700000,  23.2,  28.1,   1.1,  17.9,   2.5,   0.7,  20.7,   2.8,   1.8,   1.4,     285
Taunton,02930000,  19.0,  26.7,   0.6,  15.2,   1.0,   0.2,  29.2,   1.9,   0.0,   6.2,     520
Tewksbury,02950000,  34.6,  42.4,   0.0,   6.5,   2.3,   0.0,   6.9,   2.8,   2.8,   1.8,     217
Tri-County Regional Vocational Technical,08780000,  24.9,  19.0,   0.5,   9.0,   1.4,   0.0,  42.1,   1.8,   0.9,   0.5,     221
Triton,07730000,  36.7,  30.6,   0.0,   9.5,   4.8,   0.0,   8.8,   0.0,   7.5,   2.0,     147
Tyngsborough,03010000,  27.7,  47.3,   0.9,  12.5,   0.9,   0.9,   9.8,   0.0,   0.0,   0.0,     112
Upper Cape Cod Regional Vocational Technical,08790000,  11.0,  20.3,   0.6,   8.7,   2.9,  11.6,  33.7,   5.8,   0.0,   5.2,     172
Uxbridge,03040000,  27.8,  27.1,   0.0,  20.3,   2.3,   0.0,  19.5,   0.8,   0.0,   2.3,     133
Wachusett,07750000,  33.7,  41.1,   0.0,  10.8,   1.6,   0.0,   5.1,   0.8,   2.2,   4.7,     492
Wakefield,03050000,  39.8,  44.3,   0.0,   6.1,   0.0,   0.0,   5.3,   1.6,   2.0,   0.8,     246
Walpole,03070000,  40.1,  36.8,   0.0,   6.7,   1.9,   0.7,   8.6,   0.4,   0.7,   4.1,     269
Waltham,03080000,  23.3,  26.0,   0.5,  13.9,   3.5,   1.1,  23.3,   1.9,   0.5,   5.9,     373
Ware,03090000,  15.8,  36.8,   0.0,   7.0,   3.5,   0.0,  28.1,   0.0,   1.8,   7.0,      57
Wareham,03100000,  19.7,  28.2,   0.0,   8.5,   2.8,   0.0,  35.2,   0.0,   5.6,   0.0,      71
Watertown,03140000,  35.2,  33.0,   0.0,  12.6,   0.5,   1.1,   4.4,   0.5,   3.3,   9.3,     182
Wayland,03150000,  57.0,  32.6,   0.0,   1.7,   1.7,   0.0,   2.2,   0.0,   1.3,   3.5,     230
Webster,03160000,  25.9,  11.1,   0.0,  13.6,   0.0,   0.0,  32.1,   2.5,   7.4,   7.4,      81
Wellesley,03170000,  61.9,  31.2,   0.0,   0.5,   1.0,   0.0,   0.3,   0.0,   0.0,   5.2,     388
West Boylston,03220000,  28.4,  38.8,   0.0,  19.4,   6.0,   0.0,   0.0,   1.5,   6.0,   0.0,      67
West Bridgewater,03230000,  29.1,  45.6,   0.0,   8.7,   1.9,   0.0,  13.6,   1.0,   0.0,   0.0,     103
West Springfield,03320000,  24.0,  15.9,   0.0,  33.6,   2.5,   0.4,  16.3,   1.8,   5.3,   0.4,     283
Westborough,03210000,  45.4,  38.1,   0.0,   4.8,   0.3,   0.3,   1.3,   0.3,   2.2,   7.3,     315
Westfield,03250000,  18.1,  22.7,   0.7,  26.1,   0.5,   0.0,  27.5,   3.1,   0.5,   0.7,     414
Westford,03260000,  47.1,  39.0,   0.0,   8.1,   1.6,   0.2,   1.4,   0.7,   0.9,   1.1,     444
Weston,03300000,  71.1,  24.1,   0.0,   0.6,   1.8,   0.0,   0.6,   0.0,   0.0,   1.8,     166
Westport,03310000,  16.0,  30.9,   0.0,  21.0,   1.2,   0.0,  24.7,   1.2,   1.2,   3.7,      81
Westwood,03350000,  65.6,  33.2,   0.0,   0.4,   0.4,   0.0,   0.0,   0.0,   0.4,   0.0,     241
Weymouth,03360000,  20.6,  32.1,   0.0,  13.1,   5.6,   1.6,  12.2,   2.1,   1.2,  11.5,     427
Whitman-Hanson,07800000,  34.7,  31.7,   0.0,  13.7,   2.2,   0.4,  10.0,   3.3,   0.7,   3.3,     271
Whittier Regional Vocational Technical,08850000,  13.1,  16.9,   0.0,  25.1,   5.6,   0.0,  37.1,   2.2,   0.0,   0.0,     267
Wilmington,03420000,  43.1,  28.2,   0.0,   8.2,   2.6,   0.0,   6.2,   0.5,   5.6,   5.6,     195
Winchendon,03430000,  13.2,  20.6,   0.0,  13.2,   4.4,   0.0,  44.1,   0.0,   4.4,   0.0,      68
Winchester,03440000,  60.0,  32.3,   0.0,   1.6,   0.5,   0.0,   0.3,   0.8,   2.2,   2.2,     365
Winthrop,03460000,  35.7,  28.0,   0.7,  12.6,   4.9,   0.0,  13.3,   2.1,   0.0,   2.8,     143
Woburn,03470000,   0.0,  58.6,   0.0,   9.5,   5.3,   0.0,  13.2,   3.3,   8.2,   2.0,     304
Worcester,03480000,  15.4,  26.4,   0.5,  24.2,   3.3,   0.0,  21.4,   2.5,   0.3,   6.1,"   1,745"
State Totals,00000000,  27.9,  30.4,   0.3,  13.4,   2.3,   0.7,  13.7,   1.6,   2.3,   7.4,"  68,947"
