District Name,District Code,4 Year Private College,4 Year Public College,2 Year Private College,2 Year Public College,Other Post Secondary,Apprenticeship,Work,Military,Other,Unknown,Total Count
Braintree,00400000,  35.2,  40.2,   0.0,  13.1,   2.1,   0.0,   6.7,   2.4,   0.0,   0.2,     420
Bridgewater-Raynham,06250000,  29.7,  42.4,   0.3,   7.0,   1.1,   0.0,   5.7,   1.9,   2.7,   9.2,     370
Bristol County Agricultural,09100000,  12.8,  24.5,   0.0,  25.5,   0.0,   0.0,  23.4,   7.4,   0.0,   6.4,      94
Bristol-Plymouth Regional Vocational Technical,08100000,  10.9,  25.4,   0.0,   9.2,   2.1,  14.8,  29.6,   4.2,   0.4,   3.5,     284
Brockton,00440000,  11.8,  19.1,   0.1,  18.3,   4.0,   0.2,  10.3,   2.5,   2.9,  30.8,     972
Brooke Charter School (District),04280000,  38.2,  35.3,   0.0,  11.8,   0.0,   0.0,  11.8,   0.0,   2.9,   0.0,      34
Brookline,00460000,  55.8,  29.3,   0.0,   4.5,   0.0,   0.0,   2.6,   1.0,   4.3,   2.4,     491
Burlington,00480000,  32.4,  43.9,   0.0,   7.8,   2.5,   0.4,  11.1,   0.8,   1.2,   0.0,     244
Cambridge,00490000,  46.4,  27.9,   0.2,  11.8,   3.9,   0.9,   3.4,   1.1,   3.4,   1.1,     466
Canton,00500000,  43.8,  41.4,   0.4,   7.8,   1.2,   0.0,   2.3,   2.3,   0.4,   0.4,     256
Cape Cod Regional Vocational Technical,08150000,   3.9,  10.9,   0.0,  14.1,   0.8,   0.0,  28.9,   1.6,   6.3,  33.6,     128
Carver,00520000,  29.9,  32.7,   0.0,  18.7,   3.7,   1.9,   6.5,   0.9,   0.9,   4.7,     107
Central Berkshire,06350000,  23.1,  32.3,   0.0,  18.5,   6.2,   0.0,  16.2,   3.1,   0.8,   0.0,     130
Chelmsford,00560000,  31.4,  40.5,   0.0,   3.3,   0.3,   0.0,   0.0,   0.0,   0.0,  24.5,     363
Chelsea,00570000,   8.8,   9.2,   1.1,  30.1,   6.3,   1.5,  32.0,   2.2,   8.5,   0.4,     272
Chicopee,00610000,  16.3,  11.4,   0.0,  15.1,   0.8,   0.6,  10.5,   1.4,   0.2,  43.8,     516
City on a Hill Charter Public School Circuit Street (District),04370000,  28.8,  18.2,   7.6,  15.2,   0.0,   0.0,  27.3,   1.5,   0.0,   1.5,      66
Clinton,00640000,  19.8,  27.0,   0.0,  23.0,   5.6,   0.0,  20.6,   0.0,   0.0,   4.0,     126
Codman Academy Charter Public (District),04380000,  31.8,  36.4,   0.0,  13.6,   4.5,   0.0,   0.0,   0.0,   0.0,  13.6,      22
Cohasset,00650000,  64.1,  25.2,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,  10.7,     131
Community Charter School of Cambridge (District),04360000,  51.6,  29.0,   0.0,  12.9,   3.2,   0.0,   3.2,   0.0,   0.0,   0.0,      31
Concord-Carlisle,06400000,  56.3,  28.3,   0.0,   2.9,   4.2,   0.0,   1.6,   0.3,   4.2,   2.3,     311
Danvers,00710000,   0.4,  96.6,   0.4,   0.4,   0.0,   0.0,   0.8,   0.0,   0.4,   0.8,     238
Dartmouth,00720000,  24.8,  38.4,   0.0,  17.8,   3.1,   0.0,   7.0,   1.2,   1.6,   6.2,     258
Dedham,00730000,  29.9,  35.0,   0.6,   9.6,   5.1,   1.1,  15.8,   1.1,   0.6,   1.1,     177
Dennis-Yarmouth,06450000,  21.8,  24.2,   1.2,  24.2,   1.8,   1.2,  20.6,   3.0,   1.2,   0.6,     165
Dighton-Rehoboth,06500000,  32.4,  35.7,   0.5,   8.0,   1.9,   0.0,  19.2,   2.3,   0.0,   0.0,     213
Douglas,00770000,  24.4,  25.6,   0.0,  16.3,   3.5,   0.0,  12.8,   3.5,   1.2,  12.8,      86
Dover-Sherborn,06550000,  62.4,  25.3,   0.0,   1.1,   2.2,   0.0,   1.7,   0.0,   1.7,   5.6,     178
Dracut,00790000,  17.5,  35.4,   0.4,  23.1,   4.8,   1.7,  12.7,   0.4,   0.4,   3.5,     229
Dudley-Charlton Reg,06580000,  33.5,  33.1,   0.0,  10.2,   2.6,   0.0,   7.9,   1.9,   4.5,   6.4,     266
Duxbury,00820000,  52.4,  35.8,   0.4,   3.3,   2.0,   0.0,   3.3,   0.8,   2.0,   0.0,     246
East Bridgewater,00830000,  26.0,  39.7,   0.0,   8.9,   4.1,   0.0,  16.4,   0.7,   4.1,   0.0,     146
East Longmeadow,00870000,  32.2,  27.7,   0.0,  20.9,   2.8,   1.1,   9.6,   2.3,   1.1,   2.3,     177
Easthampton,00860000,  24.1,  23.1,   0.0,  14.8,   0.9,   0.0,  22.2,   0.0,   0.0,  14.8,     108
Easton,00880000,  40.9,  38.0,   0.0,   8.7,   4.0,   0.0,   5.4,   1.1,   0.4,   1.4,     276
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District),04520000,  18.0,  41.6,   0.0,  37.1,   0.0,   0.0,   1.1,   0.0,   0.0,   2.2,      89
Essex North Shore Agricultural and Technical School District,08170000,  22.7,  37.9,   0.0,   6.4,   0.3,   0.0,  21.6,   2.3,   8.5,   0.3,     343
Everett,00930000,   0.0,  42.5,   0.0,   7.3,   0.0,   4.6,  11.0,   1.2,  24.9,   8.3,     409
Excel Academy Charter (District),04100000,  29.9,  29.3,   2.5,  13.4,   5.1,   3.2,  10.8,   1.3,   0.6,   3.8,     157
Fairhaven,00940000,  20.1,  45.5,   0.0,  16.4,   1.6,   0.0,  13.8,   0.0,   2.6,   0.0,     189
Fall River,00950000,   8.7,  14.4,   0.2,  27.3,   3.1,   0.4,  35.7,   3.1,   3.5,   3.6,     549
Falmouth,00960000,  29.3,  37.0,   0.0,  15.8,   1.6,   0.0,   6.5,   1.6,   2.2,   6.0,     184
Fitchburg,00970000,   8.0,  21.0,   0.3,  26.4,   1.4,   0.0,  34.2,   2.9,   2.3,   3.4,     348
Four Rivers Charter Public (District),04130000,  39.3,  32.1,   0.0,  21.4,   0.0,   0.0,   3.6,   0.0,   0.0,   3.6,      28
Foxborough,00990000,  33.0,  45.4,   0.0,   5.4,   1.1,   2.7,   8.1,   1.1,   1.6,   1.6,     185
Foxborough Regional Charter (District),04460000,  31.7,  46.0,   1.6,  15.9,   1.6,   0.0,   3.2,   0.0,   0.0,   0.0,      63
Framingham,01000000,  20.8,  33.9,   0.2,  17.0,   4.7,   0.0,  19.1,   2.0,   1.6,   0.7,     554
Francis W. Parker Charter Essential (District),04780000,  41.4,  34.5,   0.0,   5.2,   3.4,   0.0,  12.1,   0.0,   1.7,   1.7,      58
Franklin,01010000,  39.9,  44.6,   0.4,   4.7,   1.1,   0.0,   6.5,   1.1,   0.2,   1.3,     446
Franklin County Regional Vocational Technical,08180000,   2.0,   2.9,   0.0,  16.7,   0.0,   0.0,  67.6,   4.9,   4.9,   1.0,     102
Freetown-Lakeville,06650000,  27.0,  30.4,   0.0,  19.1,   6.9,   0.0,  15.2,   1.5,   0.0,   0.0,     204
Frontier,06700000,  38.0,  32.0,   0.0,  18.0,   2.0,   0.0,   6.0,   2.0,   0.0,   2.0,     100
Gardner,01030000,  11.5,  24.7,   1.1,  32.8,   4.6,   0.0,  19.0,   2.9,   1.7,   1.7,     174
Gateway,06720000,  14.3,  32.1,   0.0,  19.6,   0.0,   0.0,  28.6,   1.8,   0.0,   3.6,      56
Georgetown,01050000,  40.0,  41.1,   0.0,  10.0,   3.3,   0.0,   4.4,   0.0,   1.1,   0.0,      90
Gill-Montague,06740000,  13.7,  13.7,   0.0,  33.3,   2.0,   0.0,  27.5,   2.0,   0.0,   7.8,      51
Global Learning Charter Public (District),04960000,   0.0,  50.0,   0.0,  29.2,   0.0,   0.0,  16.7,   4.2,   0.0,   0.0,      24
Gloucester,01070000,  16.6,  19.6,   0.0,  14.1,   8.0,   0.0,  20.9,   2.5,   2.5,  16.0,     163
Grafton,01100000,  30.4,  45.3,   0.6,  10.5,   1.1,   1.1,   6.1,   1.1,   1.7,   2.2,     181
Granby,01110000,  17.0,  18.9,   0.0,  34.0,   0.0,   0.0,  28.3,   0.0,   1.9,   0.0,      53
Greater Fall River Regional Vocational Technical,08210000,   7.5,  18.5,   0.0,  21.7,   4.3,   0.6,  35.5,   4.3,   2.3,   5.2,     346
Greater Lawrence Regional Vocational Technical,08230000,   7.2,  10.4,   0.3,  38.0,   1.1,  21.8,  19.9,   0.8,   0.0,   0.5,     376
Greater Lowell Regional Vocational Technical,08280000,  11.6,  16.0,   0.4,  23.2,   2.9,   0.0,  35.6,   6.3,   0.0,   4.0,     525
Greater New Bedford Regional Vocational Technical,08250000,   3.1,  27.4,   0.0,  25.9,   3.7,   0.0,  36.6,   3.3,   0.0,   0.0,     486
Greenfield,01140000,  19.0,  20.3,   0.0,  22.8,   0.0,   0.0,  32.9,   2.5,   0.0,   2.5,      79
Greenfield Commonwealth Virtual District,39010000,   7.7,  15.4,   0.0,  24.4,   2.6,   0.0,  24.4,   1.3,   1.3,  23.1,      78
Groton-Dunstable,06730000,  32.6,  47.7,   0.5,   8.8,   2.1,   0.0,   4.1,   0.5,   0.0,   3.6,     193
Hadley,01170000,   0.0,  70.5,   0.0,  11.4,   2.3,   0.0,   4.5,   0.0,   2.3,   9.1,      44
Halifax,01180000,,,,,,,,,,,       2
Hamilton-Wenham,06750000,  44.0,  38.3,   0.0,   7.1,   1.4,   0.0,   2.8,   0.0,   1.4,   5.0,     141
Hampden Charter School of Science East (District),04990000,  38.9,  27.8,   0.0,  24.1,   0.0,   3.7,   0.0,   3.7,   1.9,   0.0,      54
Hampden-Wilbraham,06800000,  31.1,  35.3,   0.0,  20.3,   0.4,   0.0,   9.1,   1.2,   0.4,   2.1,     241
Hampshire,06830000,  20.0,  26.0,   0.0,  44.0,   0.0,   0.0,   3.0,   1.0,   4.0,   2.0,     100
Hanover,01220000,  50.2,  31.1,   1.0,   1.0,   0.0,   0.0,   1.0,   1.0,   0.5,  14.4,     209
Harvard,01250000,  66.0,  25.0,   0.0,   3.0,   0.0,   0.0,   1.0,   0.0,   0.0,   5.0,     100
Hatfield,01270000,  16.7,  37.5,   0.0,  33.3,   0.0,   0.0,   4.2,   4.2,   4.2,   0.0,      24
Haverhill,01280000,  15.1,  21.7,   0.2,  26.7,   5.7,   0.0,  26.5,   1.1,   1.8,   1.3,     457
Hingham,01310000,  51.8,  39.7,   0.0,   1.3,   1.6,   0.3,   2.3,   0.0,   0.7,   2.3,     305
Holbrook,01330000,  21.7,  33.3,   0.0,   6.7,   0.0,   0.0,  36.7,   1.7,   0.0,   0.0,      60
Holliston,01360000,  41.8,  40.2,   0.0,   4.1,   3.1,   0.0,   6.7,   1.0,   3.1,   0.0,     194
Holyoke,01370000,   3.8,  14.2,   0.3,  21.9,   3.3,   0.0,  28.5,   4.1,   0.3,  23.6,     365
Hoosac Valley Regional,06030000,  22.7,  31.8,   0.0,   6.8,   2.3,   0.0,  22.7,   0.0,   9.1,   4.5,      44
Hopedale,01380000,  46.5,  38.0,   0.0,   5.6,   2.8,   1.4,   0.0,   1.4,   4.2,   0.0,      71
Hopkinton,01390000,  51.2,  35.4,   0.0,   1.2,   0.0,   0.0,   0.6,   0.0,   0.0,  11.6,     328
Hudson,01410000,  31.5,  33.6,   0.0,   8.2,   0.7,   0.0,  21.9,   2.1,   2.1,   0.0,     146
Hull,01420000,  30.4,  30.4,   0.0,   8.7,   2.9,   1.4,  15.9,   4.3,   1.4,   4.3,      69
Innovation Academy Charter (District),04350000,  38.2,  41.6,   0.0,   6.7,   1.1,   1.1,   7.9,   1.1,   0.0,   2.2,      89
Ipswich,01440000,  24.1,  43.1,   0.0,  13.1,   0.0,   0.7,   2.2,   0.0,   3.6,  13.1,     137
KIPP Academy Lynn Charter (District),04290000,  32.2,  43.2,   0.0,  11.0,   0.0,   0.0,  10.2,   0.8,   0.8,   1.7,     118
King Philip,06900000,  47.8,  37.5,   0.0,   1.0,   2.0,   0.0,   2.3,   0.7,   1.3,   7.4,     299
Kingston,01450000,,,,,,,,,,,       2
Lawrence,01490000,   7.4,  17.2,   0.0,  22.4,   7.8,   0.0,  18.2,   1.4,   0.0,  25.7,     786
Lee,01500000,  26.2,  29.5,   0.0,  19.7,   0.0,   1.6,  18.0,   1.6,   3.3,   0.0,      61
Leicester,01510000,  13.8,  40.4,   2.1,  22.3,   1.1,   0.0,  17.0,   3.2,   0.0,   0.0,      94
Lenox,01520000,  44.1,  22.0,   0.0,  18.6,   1.7,   0.0,   1.7,   0.0,   5.1,   6.8,      59
Leominster,01530000,  13.9,  35.2,   0.9,  14.8,   4.6,   2.0,  22.0,   2.6,   0.0,   4.1,     460
Lexington,01550000,  57.7,  33.1,   0.0,   1.1,   0.0,   0.0,   1.7,   0.4,   1.3,   4.7,     537
Lincoln-Sudbury,06950000,  55.8,  33.2,   0.8,   2.6,   1.3,   0.3,   3.7,   0.5,   1.8,   0.0,     382
Littleton,01580000,  39.6,  47.7,   0.0,  10.8,   0.0,   0.0,   0.9,   0.0,   0.9,   0.0,     111
Longmeadow,01590000,  42.8,  49.5,   0.0,   6.3,   0.0,   0.0,   0.9,   0.0,   0.5,   0.0,     222
Lowell,01600000,  13.7,  26.4,   0.0,  21.9,   2.3,   0.8,   8.4,   2.1,  10.0,  14.4,     730
Lowell Middlesex Academy Charter (District),04580000,   0.0,   0.0,   0.0,  38.5,   7.7,   0.0,  30.8,   7.7,   7.7,   7.7,      13
Ludlow,01610000,  37.0,  17.0,   0.5,  21.0,   6.0,   1.0,   4.5,   2.0,   5.0,   6.0,     200
Lunenburg,01620000,  23.1,  45.4,   0.0,  13.0,   0.9,   0.0,  10.2,   0.9,   0.0,   6.5,     108
Lynn,01630000,   9.6,  18.5,   0.8,  21.1,   1.7,   0.0,  29.7,   2.0,   1.6,  15.1,"   1,064"
Lynnfield,01640000,  48.2,  42.9,   0.6,   0.6,   4.2,   0.0,   0.6,   0.0,   0.6,   2.4,     168
MATCH Charter Public School (District),04690000,  36.1,  43.1,   0.0,  12.5,   0.0,   5.6,   2.8,   0.0,   0.0,   0.0,      72
Ma Academy for Math and Science,04680000,  77.1,  22.9,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,      48
Malden,01650000,  20.4,  28.3,   0.5,  21.4,   3.7,   1.2,  18.7,   1.2,   2.5,   2.0,     406
Manchester Essex Regional,06980000,  52.8,  39.2,   0.0,   0.8,   0.0,   0.0,   1.6,   0.8,   3.2,   1.6,     125
Mansfield,01670000,  38.5,  41.6,   0.3,   4.3,   3.7,   0.0,   4.3,   0.3,   2.5,   4.3,     322
Map Academy Charter School (District),35170000,   0.0,  10.0,   0.0,  45.0,   7.5,   0.0,  30.0,   2.5,   5.0,   0.0,      40
Marblehead,01680000,  42.5,  47.6,   0.0,   0.8,   0.8,   0.0,   0.8,   0.8,   3.2,   3.6,     252
Marlborough,01700000,   0.0,  52.4,   0.0,  16.9,   2.0,   1.2,  23.2,   0.4,   1.6,   2.4,     254
