District Name,District Code,K,1,2,3,4,5,6,7,8,9,10,11,ALL
Boston Renaissance Charter Public (District),04810000,   7.2,  15.6,   3.6,  10.9,  17.2,  27.0,,,,,,,  13.0
Bourne,00360000,  15.0,  10.0,  11.1,   3.8,   8.7,   7.2,   3.0,  11.3,  54.8,   4.1,   8.8,   4.6,  12.8
Boxford,00380000,   3.7,   2.9,   3.7,   2.5,   3.1,   4.5,,,,,,,   3.4
Braintree,00400000,   7.6,   6.5,   6.8,   4.3,   5.1,   4.5,  11.3,   7.5,  19.8,   2.9,   3.2,   2.6,   7.1
Brewster,00410000,   7.6,   6.1,   3.0,   7.5,   7.4,,,,,,,,   6.3
Bridge Boston Charter School (District),04170000,   5.0,   0.0,   8.3,   7.5,   5.0,  14.3,  10.0,  14.8,,,,,   7.7
Bridgewater-Raynham,06250000,   3.6,   4.6,   5.2,   5.8,   6.4,   2.7,   5.2,   4.4,  30.4,   3.6,   4.1,   3.6,   7.1
Brimfield,00430000,   3.8,   2.4,  20.0,   0.0,  10.0,  12.5,,,,,,,   7.4
Bristol County Agricultural,09100000,,,,,,,,,,   9.2,   6.1,   2.9,   6.2
Bristol-Plymouth Regional Vocational Technical,08100000,,,,,,,,,,   4.2,   4.0,   1.5,   3.3
Brockton,00440000,   6.3,   6.9,   6.7,   6.6,   6.2,  12.1,   7.8,   6.7,  24.7,   7.3,   6.4,   5.8,   8.9
Brooke Charter School (District),04280000,   5.2,   7.2,   5.2,   5.7,   8.8,   7.2,  13.7,  11.1,  15.0,   6.3,   6.8,   6.9,   8.4
Brookfield,00450000,   6.5,   2.9,   5.7,   5.4,   0.0,   2.4,,,,,,,   3.8
Brookline,00460000,  10.0,  10.9,  13.2,   8.3,  11.2,  12.0,   8.1,   6.3,  12.7,   5.3,   5.3,   3.0,   8.9
Burlington,00480000,   8.4,   5.9,   6.7,   7.2,   6.6,   5.1,   7.8,   5.4,  22.1,   4.4,   2.2,   2.6,   7.2
Cambridge,00490000,   9.5,   9.4,   8.4,  10.9,   9.1,  20.0,   9.2,   5.7,  10.7,   5.2,   5.1,   3.3,   8.9
Canton,00500000,   5.8,   5.0,   7.1,   3.1,   6.3,   3.2,   5.4,   6.4,  16.5,   3.7,   4.3,   4.6,   6.0
Cape Cod Lighthouse Charter (District),04320000,,,,,,,   6.0,   7.1,,,,,   6.5
Cape Cod Regional Vocational Technical,08150000,,,,,,,,,,   7.5,   2.4,   6.3,   5.4
Carlisle,00510000,   3.6,   5.7,   4.3,   2.9,   0.0,   3.5,   3.1,   0.0,,,,,   2.7
Carver,00520000,   8.2,   4.7,   6.6,   4.7,   2.9,   5.2,   3.5,   7.8,  25.2,   4.7,   7.2,   5.5,   7.3
Central Berkshire,06350000,   7.3,   6.4,   7.4,   6.5,   5.2,   6.5,   4.5,   1.8,  13.5,   4.1,   3.4,   2.5,   5.8
Chelmsford,00560000,   3.8,   3.8,   3.2,   3.1,   7.5,   2.5,   3.1,   3.6,  18.4,   3.9,   4.3,   2.0,   4.9
Chelsea,00570000,   7.6,   6.5,   8.2,   8.5,  20.8,   9.1,   8.7,   6.4,  21.8,   6.1,   5.4,   5.1,   9.6
Chesterfield-Goshen,06320000,   0.0,   5.9,   0.0,   6.3,   0.0,   7.1,,,,,,,   3.3
Chicopee,00610000,   8.5,   5.9,   6.4,   6.5,   7.7,  14.7,   9.7,   4.4,   7.2,   5.5,   6.5,   4.3,   7.3
Christa McAuliffe Charter Public (District),04180000,,,,,,,   9.4,  10.7,,,,,  10.1
City on a Hill Charter Public School (District),04370000,,,,,,,,,,  12.5,  14.9,  11.9,  13.2
Clarksburg,00630000,   0.0,   0.0,   0.0,   0.0,   0.0,  12.5,  10.5,   3.3,,,,,   3.6
Clinton,00640000,   4.8,   6.1,   8.9,   7.5,   8.2,  12.0,   8.1,   1.8,  18.9,   4.4,   9.3,   3.0,   7.8
Codman Academy Charter Public (District),04380000,  26.3,  10.0,   9.5,  20.0,  19.0,  14.3,  21.7,   4.5,  22.7,  14.0,  12.8,   0.0,  14.0
Cohasset,00650000,   4.0,   3.8,   3.1,   5.0,   5.4,   4.4,  11.9,  11.0,  11.1,   4.8,   2.5,   2.9,   6.0
Collegiate Charter School of Lowell (District),35030000,   9.2,   2.4,   8.0,   5.0,  17.4,  10.8,  13.4,   9.9,  43.0,  12.9,   5.7,,  12.8
Community Charter School of Cambridge (District),04360000,,,,,,,   3.3,   4.9,  35.9,   3.6,  13.9,   0.0,  12.1
Community Day Charter Public School - Gateway (District),04260000,   0.0,   0.0,   9.3,   2.3,   2.4,   0.0,   0.0,   8.6,,,,,   2.7
Community Day Charter Public School - Prospect (District),04400000,  14.3,   0.0,   6.3,   4.0,  10.0,   4.8,   0.0,   0.0,,,,,   4.6
Community Day Charter Public School - R. Kingman Webster (District),04310000,   2.4,   2.4,   2.3,   8.9,   4.5,   2.5,   7.5,   0.0,,,,,   3.9
Concord,00670000,   2.2,   3.3,   3.1,   3.6,   6.2,   6.4,   4.2,   3.0,,,,,   4.0
Concord-Carlisle,06400000,,,,,,,,,,   3.9,   2.1,   0.9,   2.3
Conservatory Lab Charter (District),04390000,  13.7,  11.5,  11.5,   9.3,  13.2,  21.3,  14.3,  12.9,,,,,  13.3
Conway,00680000,   7.1,   0.0,   0.0,   0.0,   0.0,   0.0,,,,,,,   1.0
Danvers,00710000,   2.7,   4.4,   4.2,   5.1,   6.2,   7.2,   4.0,   5.8,  34.6,   4.1,   5.8,   3.4,   7.4
Dartmouth,00720000,   1.9,   4.4,   3.5,   3.7,   2.8,   4.3,   3.5,   3.2,  39.0,   3.1,   3.3,   2.9,   7.0
Dedham,00730000,   9.4,   5.6,   4.5,   4.1,   9.0,   7.7,   6.9,   3.9,  27.3,   4.9,   3.6,   3.1,   8.1
Deerfield,00740000,  12.0,   5.8,  10.0,   5.7,   4.2,   2.6,,,,,,,   6.3
Dennis-Yarmouth,06450000,  11.5,   5.1,   8.3,   7.6,   5.6,  13.9,   8.0,  12.6,  25.4,  12.8,   8.1,   2.5,  10.3
Dighton-Rehoboth,06500000,   7.7,   5.8,   4.4,   6.7,   7.4,   5.5,   6.0,   3.0,  32.8,   2.8,   4.1,   2.3,   7.8
Douglas,00770000,   7.8,   6.4,   4.7,   2.6,   2.0,   6.3,   6.7,   1.2,  38.8,   3.4,   2.6,   5.3,   7.6
Dover,00780000,   3.2,   2.5,   2.6,   5.3,   4.5,,,,,,,,   3.6
Dover-Sherborn,06550000,,,,,,,   8.1,   3.8,   6.7,   2.8,   3.8,   1.8,   4.5
Dracut,00790000,   5.5,   6.3,   4.6,   5.4,  10.4,   8.2,   3.8,   5.3,  43.3,   7.0,   4.8,   2.6,   9.4
Dudley Street Neighborhood Charter School (District),04070000,  22.0,  17.1,   4.8,  18.9,  27.5,,,,,,,,  17.9
Dudley-Charlton Reg,06580000,   5.5,   3.0,   6.0,   3.6,   3.7,   4.5,   5.6,   3.3,  35.6,   8.5,   5.7,   1.2,   7.4
Duxbury,00820000,   4.3,   1.7,   1.7,   1.5,   3.1,   0.9,   6.3,   0.9,   6.5,   2.1,   3.7,   0.4,   2.8
East Bridgewater,00830000,   7.1,   0.0,   3.6,   4.8,   6.4,   1.8,   2.6,   4.0,  27.5,   3.0,   1.3,   5.0,   5.8
East Longmeadow,00870000,   3.6,   1.2,   3.9,   5.3,   1.2,   4.2,   2.6,   3.4,  10.6,   2.4,   1.8,   2.4,   3.6
Eastham,00850000,  16.7,   7.1,  10.7,   6.7,   2.9,,,,,,,,   8.3
Easthampton,00860000,   6.4,   7.2,   7.6,   6.5,   5.4,   6.5,   7.2,   6.7,  17.7,   3.2,   5.3,   1.8,   6.9
Easton,00880000,   2.7,   5.7,   4.7,   3.6,   2.0,   4.7,   5.0,   3.3,  14.4,   3.4,   2.5,   2.8,   4.8
Edgartown,00890000,   7.3,  15.2,  13.6,  10.3,   6.4,   0.0,   9.1,   2.7,,,,,   8.4
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District),04520000,,,,,,,,,,   2.9,  10.4,   5.2,   6.2
Erving,00910000,   0.0,   0.0,   6.7,   0.0,   0.0,   0.0,,,,,,,   1.1
Essex North Shore Agricultural and Technical School District,08170000,,,,,,,,,,   3.6,   1.5,   1.3,   2.2
Everett,00930000,  11.6,  10.4,  10.5,   7.9,  11.1,  10.0,  10.2,   8.2,   8.9,   7.2,   7.5,   4.9,   9.0
Excel Academy Charter (District),04100000,,,,,,   9.0,   9.5,   4.5,  10.5,   7.5,   1.7,   1.2,   6.4
Fairhaven,00940000,   5.6,   4.6,   5.7,   3.1,   6.6,   6.3,   4.5,   6.1,  37.4,   4.1,   7.4,   3.2,   7.9
Fall River,00950000,   7.7,   6.3,   8.4,   6.2,   5.5,  17.5,   6.9,   4.9,  28.5,   4.9,   7.7,   5.2,   9.4
Falmouth,00960000,   6.7,   4.1,   7.1,   3.2,   4.8,   2.9,   6.5,   6.0,  33.0,   5.7,   7.1,   5.0,   8.0
Farmington River Reg,06620000,   5.0,  25.0,   0.0,   0.0,   7.1,  10.0,,,,,,,   9.2
Fitchburg,00970000,   8.0,   9.2,   7.5,  10.7,   8.8,   7.5,  14.5,   9.9,  29.8,   9.8,   5.2,   6.2,  10.6
Florida,00980000,   0.0,  14.3,   0.0,,   0.0,   0.0,,   0.0,,,,,   1.4
Four Rivers Charter Public (District),04130000,,,,,,,,   0.0,  27.0,  14.3,   0.0,   0.0,   8.1
Foxborough,00990000,   6.6,   7.3,   5.6,   4.7,   3.7,   5.4,   2.3,   5.1,  15.6,   3.6,   5.4,   3.7,   5.9
Foxborough Regional Charter (District),04460000,   4.1,   6.2,   7.9,  10.7,  11.4,  11.5,  13.9,   9.9,  22.3,  11.4,   5.4,   3.6,  10.2
Framingham,01000000,   6.1,   6.1,   5.1,   6.0,   6.6,  20.7,   7.0,   5.2,  29.2,   6.8,   5.9,   4.4,   9.1
Francis W. Parker Charter Essential (District),04780000,,,,,,,,   5.9,  20.3,   7.9,   4.5,   4.9,   9.0
Franklin,01010000,   4.7,   3.3,   5.5,   6.2,   2.3,   4.3,   4.1,   3.7,  15.8,   3.6,   2.5,   1.4,   4.8
Franklin County Regional Vocational Technical,08180000,,,,,,,,,,   6.6,   7.7,   4.0,   6.2
Freetown-Lakeville,06650000,   4.3,   2.7,   3.4,   1.9,   2.4,   6.4,   2.8,   4.0,  34.3,   4.5,   4.2,   3.3,   6.6
Frontier,06700000,,,,,,,,   9.6,  25.0,  12.6,   5.3,   3.0,  11.8
Gardner,01030000,   8.5,  12.5,  13.0,   7.6,   7.0,   8.0,   9.1,  11.9,  29.7,  14.8,   6.5,   6.9,  11.8
Gateway,06720000,  12.2,   6.4,   7.7,   2.9,   3.8,   8.6,   5.4,  10.3,  40.4,   7.8,   4.0,   0.0,   9.4
Georgetown,01050000,   4.8,   2.9,   3.9,   2.0,   1.1,   5.2,   1.2,   2.6,  33.3,   0.0,   2.4,   2.2,   5.0
Gill-Montague,06740000,   8.8,  12.3,   8.6,   5.3,   4.6,   2.7,  33.8,  11.9,  45.9,   3.7,  10.0,   8.6,  13.8
Global Learning Charter Public (District),04960000,,,,,,   6.9,   3.3,   4.4,  53.3,  15.4,   6.5,   0.0,  14.7
Gloucester,01070000,   7.4,   3.3,   4.9,   3.5,   4.4,   5.8,   2.4,   2.9,  18.3,   3.6,   4.2,   0.0,   5.1
Grafton,01100000,   4.4,   4.9,   3.1,   4.3,   5.0,   4.4,   3.8,   3.7,  18.1,   4.7,   4.7,   0.4,   5.3
Granby,01110000,  12.5,   5.9,   3.1,   6.0,   4.5,   7.0,   6.5,  10.0,  26.0,   8.5,   3.5,   6.1,   8.1
Greater Commonwealth Virtual District,39010000,  39.4,  38.5,  34.1,  36.4,  28.6,  30.5,  41.0,  26.8,  45.8,  29.8,  20.4,  23.1,  31.9
Greater Fall River Regional Vocational Technical,08210000,,,,,,,,,,   4.6,   6.6,   1.1,   4.2
Greater Lawrence Regional Vocational Technical,08230000,,,,,,,,,,   4.5,   4.2,   1.8,   3.5
Greater Lowell Regional Vocational Technical,08280000,,,,,,,,,,   4.3,   2.9,   3.6,   3.6
Greater New Bedford Regional Vocational Technical,08250000,,,,,,,,,,   2.3,   4.3,   2.0,   2.9
Greenfield,01140000,   8.8,   3.6,   7.7,   9.1,  14.2,   9.2,  14.3,   6.7,  28.2,   8.7,  14.9,   4.9,  10.8
Groton-Dunstable,06730000,   6.0,   1.3,   3.0,   4.1,   2.8,   3.2,   3.6,   4.1,  14.0,   2.9,   0.6,   0.5,   3.8
Hadley,01170000,   5.4,   3.2,  11.1,   3.7,   0.0,   5.3,  11.8,   7.1,  12.5,   8.2,   2.6,   5.7,   6.7
Halifax,01180000,   5.7,   6.6,   6.0,   4.2,   5.0,   3.8,,,,,,,   5.1
Hamilton-Wenham,06750000,   4.0,   7.6,   7.3,   6.0,  11.3,   6.9,   5.3,   5.0,  21.9,   5.8,   3.1,   2.3,   7.2
Hampden Charter School of Science East (District),04990000,,,,,,,   5.9,   7.1,  16.1,  16.0,   9.3,   0.0,   9.6
Hampden Charter School of Science West (District),35160000,,,,,,,  12.5,   8.3,  23.9,  12.1,  20.5,   0.0,  13.8
Hampden-Wilbraham,06800000,   5.2,   2.6,   4.9,   8.2,   4.0,   8.8,   4.0,   4.7,   5.9,   5.4,   4.1,   2.5,   5.0
Hampshire,06830000,,,,,,,,   3.2,  37.3,   6.0,   1.0,   1.5,   9.9
Hancock,01210000,  16.7,  11.1,,,  25.0,   0.0,,,,,,,  13.2
Hanover,01220000,   3.0,   0.5,   2.0,   1.1,   1.0,   1.0,   2.3,   6.6,  22.7,   3.3,   4.0,   2.7,   4.3
Harvard,01250000,   6.4,   0.0,   5.2,   5.4,   0.0,   3.8,   8.9,   4.6,  13.1,   3.5,   4.1,   1.1,   4.7
Hatfield,01270000,   5.6,   7.4,   0.0,   4.3,   0.0,   3.7,   8.3,   5.9,  34.3,  20.0,  12.0,   2.4,   8.5
Haverhill,01280000,   8.0,   9.3,   7.2,   7.4,   7.3,   6.6,   5.8,   3.5,  32.3,   8.5,   6.5,   7.2,   9.4
Hawlemont,06850000,  15.4,   0.0,   7.1,   8.3,  13.0,  12.5,,,,,,,  10.0
Helen Y. Davis Leadership Academy Charter Public (District),04190000,,,,,,,  24.2,  19.2,,,,,  20.7
Hill View Montessori Charter Public (District),04550000,   8.3,   3.1,   0.0,   0.0,   7.5,   2.9,   6.5,   3.0,,,,,   4.0
Hilltown Cooperative Charter Public (District),04500000,   0.0,   0.0,   0.0,   0.0,   4.5,   4.5,  16.7,   6.5,,,,,   4.8
Hingham,01310000,   6.8,   3.6,   6.3,   5.4,   7.0,   6.9,  14.1,  10.0,  14.0,   4.6,   5.1,   2.5,   7.2
Holbrook,01330000,   3.4,   4.7,   6.2,   5.6,   5.3,   2.8,   6.5,   5.0,  31.9,  10.2,   7.9,   9.8,   8.0
Holland,01350000,   4.8,   9.5,  14.8,   5.9,  10.0,   0.0,,,,,,,   7.5
Holliston,01360000,   4.4,   1.0,   3.4,   4.7,   3.6,   3.9,   4.9,   1.3,  17.6,   4.1,   3.0,   0.9,   4.5
Holyoke,01370000,   9.0,  11.2,   7.6,  11.1,   6.7,  10.6,   9.6,   5.8,  11.3,   8.6,   5.4,   4.2,   8.5
Holyoke Community Charter (District),04530000,  12.5,   9.6,  10.3,   2.5,  15.1,  10.6,   6.0,   5.7,,,,,   9.0
Hoosac Valley Regional,06030000,   7.0,   8.4,  11.8,  14.1,  10.3,  10.8,   8.1,   7.8,  48.4,  11.1,   5.7,   5.7,  13.2
Hopedale,01380000,   3.8,   2.8,   6.2,   4.9,   2.5,   6.5,   4.0,   4.4,  32.6,  11.1,   8.7,   0.0,   7.6
Hopkinton,01390000,   2.9,   2.5,   3.5,   2.9,   2.5,   3.3,   5.7,   2.7,   7.8,   3.4,   2.9,   1.4,   3.5
Hudson,01410000,   7.6,  11.7,   3.7,   8.4,   4.6,  22.7,   5.9,   5.0,  25.9,   9.0,   6.9,   5.0,  10.1
Hull,01420000,  17.8,   7.4,   9.3,   3.7,   6.9,   5.5,   1.7,   4.9,  10.9,   8.6,   4.8,   4.4,   6.9
Innovation Academy Charter (District),04350000,,,,,,   8.0,   7.0,   6.9,  34.0,   9.9,   8.4,   2.4,  11.1
Ipswich,01440000,   2.2,   2.1,   4.8,   3.8,   5.1,   7.4,   0.9,   3.3,  13.2,   4.7,   1.7,   4.3,   4.6
KIPP Academy Boston Charter School (District),04630000,   8.3,   8.7,   7.1,  11.1,  15.3,  20.0,  15.9,   3.3,,,,,  11.4
KIPP Academy Lynn Charter (District),04290000,   5.7,   5.6,   4.1,   7.3,   6.5,   4.0,   4.0,   4.9,   7.3,   4.7,   4.8,   2.6,   5.1
King Philip,06900000,,,,,,,,   3.6,  30.0,   3.6,   4.1,   2.2,   9.1
Kingston,01450000,   3.0,   3.5,   3.4,   5.4,   7.0,   5.6,,,,,,,   4.7
Lawrence,01490000,   7.7,  11.2,   8.8,   7.8,  10.2,   7.5,   7.5,   7.7,  35.1,   7.2,   7.4,   4.7,  10.6
Lawrence Family Development Charter (District),04540000,   3.8,   1.2,   1.2,   3.6,   3.7,   3.8,   2.6,   0.0,,,,,   2.5
Learning First Charter Public School (District),04860000,   6.8,   9.3,   4.1,   6.8,   5.3,   6.3,   9.5,   4.3,,,,,   6.6
Lee,01500000,  10.8,   2.3,   0.0,   3.7,   6.3,   2.2,   4.0,   4.8,   5.8,   1.7,   6.6,   1.8,   4.0
