District Name,District Code,# Enrolled,# Retained,% Retained,1,2,3,4,5,6,7,8,9,10,11,12
Northern Berkshire Regional Vocational Technical,8510000,506,5,1,,,,,,,,,0,2,2,1
Norton,2180000,"2,110",8,0.4,1,1,0,0,0,0,0,1,1,3,0,1
Norwell,2190000,"1,992",2,0.1,0,0,0,2,0,0,0,0,0,0,0,0
Norwood,2200000,"3,032",6,0.2,1,0,0,0,0,1,0,0,3,0,1,0
Oak Bluffs,2210000,361,2,0.6,0,1,0,1,0,0,0,0,,,,
Old Colony Regional Vocational Technical,8550000,563,0,0,,,,,,,,,0,0,0,0
Old Rochester,7400000,"1,124",4,0.4,,,,,,,1,0,1,0,2,0
Old Sturbridge Academy Charter Public School (District),35150000,240,0,0,0,0,0,0,0,0,,,,,,
Orange,2230000,400,3,0.8,0,2,0,0,1,0,,,,,,
Orleans,2240000,158,1,0.6,1,0,0,0,0,,,,,,,
Oxford,2260000,"1,345",11,0.8,2,1,1,0,1,0,0,0,0,4,1,1
Palmer,2270000,"1,075",4,0.4,1,0,0,0,0,0,0,0,0,1,0,2
Pathfinder Regional Vocational Technical,8600000,610,5,0.8,,,,,,,,,2,2,1,0
Paulo Freire Social Justice Charter School (District),35010000,263,34,12.9,,,,,,,,,24,5,2,3
Peabody,2290000,"5,212",24,0.5,6,2,2,0,0,1,0,0,0,0,0,13
Pelham,2300000,91,0,0,0,0,0,0,0,0,,,,,,
Pembroke,2310000,"2,381",1,0,0,0,0,0,0,0,0,0,0,0,0,1
Pentucket,7450000,"2,009",5,0.2,1,2,1,0,0,0,0,0,0,0,0,1
Petersham,2340000,108,0,0,0,0,0,0,0,0,,,,,,
Phoenix Academy Public Charter High School Lawrence (District),35180000,159,86,54.1,,,,,,,,,68,,16,
Phoenix Academy Public Charter High School Springfield (District),35080000,208,131,63,,,,,,,,,109,,21,1
Phoenix Charter Academy (District),4930000,221,131,59.3,,,,,,,,,115,,13,3
Pioneer Charter School of Science (District),4940000,731,3,0.4,0,0,0,0,1,0,1,0,0,1,0,0
Pioneer Charter School of Science II (PCSS-II) (District),35060000,370,0,0,,,,,,,0,0,0,0,0,0
Pioneer Valley,7500000,565,1,0.2,0,0,0,0,0,0,0,0,1,0,0,0
Pioneer Valley Chinese Immersion Charter (District),4970000,516,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pioneer Valley Performing Arts Charter Public (District),4790000,391,2,0.5,,,,,,,0,0,1,0,0,1
Pittsfield,2360000,"4,593",35,0.8,2,7,0,1,2,0,0,0,14,4,1,4
Plainville,2380000,517,1,0.2,0,0,1,0,0,0,,,,,,
Plymouth,2390000,"6,484",21,0.3,2,0,2,1,0,0,0,1,6,5,4,0
Plympton,2400000,179,1,0.6,0,1,0,0,0,0,,,,,,
Prospect Hill Academy Charter (District),4870000,"1,047",12,1.1,1,0,2,0,0,0,0,0,3,4,1,1
Provincetown,2420000,98,0,0,0,0,0,0,0,0,0,0,,,,
Quabbin,7530000,"1,885",32,1.7,0,0,0,0,0,0,0,0,21,7,2,2
Quaboag Regional,7780000,"1,060",8,0.8,0,0,0,0,0,0,1,1,5,0,1,0
Quincy,2430000,"8,491",24,0.3,2,3,0,4,0,0,0,0,1,3,9,2
Ralph C Mahar,7550000,619,27,4.4,,,,,,,0,0,12,4,7,4
Randolph,2440000,"2,435",27,1.1,1,2,2,3,1,1,8,0,0,5,2,2
Reading,2460000,"3,616",4,0.1,0,0,0,0,0,0,0,0,0,0,1,3
Revere,2480000,"6,591",191,2.9,29,5,4,1,1,0,0,0,66,60,21,4
Richmond,2490000,124,0,0,0,0,0,0,0,0,0,0,,,,
Rising Tide Charter Public (District),4830000,666,2,0.3,,,,,0,0,0,0,2,0,0,0
River Valley Charter (District),4820000,258,1,0.4,0,0,1,0,0,0,0,0,,,,
Rochester,2500000,405,0,0,0,0,0,0,0,0,,,,,,
Rockland,2510000,"2,004",15,0.7,0,0,0,1,0,0,0,0,7,5,2,0
Rockport,2520000,713,1,0.1,0,0,0,0,0,0,0,0,0,0,0,1
Rowe,2530000,58,0,0,0,0,0,0,,0,,,,,,
Roxbury Preparatory Charter (District),4840000,"1,596",32,2,,,,,1,7,1,1,19,2,1,0
Sabis International Charter (District),4410000,"1,452",5,0.3,1,0,1,1,1,0,0,0,0,1,0,0
Salem,2580000,"3,385",117,3.5,3,1,2,0,1,0,0,0,44,30,19,17
Salem Academy Charter (District),4850000,495,5,1,,,,,,0,0,0,2,1,1,1
Sandwich,2610000,"2,119",4,0.2,2,0,0,0,0,0,0,1,0,1,0,0
Saugus,2620000,"2,199",14,0.6,5,0,0,0,0,0,0,0,2,2,5,0
Savoy,2630000,36,0,0,,,0,0,,0,,,,,,
Scituate,2640000,"2,616",9,0.3,1,0,0,1,1,0,1,1,0,0,0,4
Seekonk,2650000,"1,851",4,0.2,1,0,0,0,0,0,0,0,0,2,0,1
Sharon,2660000,"3,270",10,0.3,1,1,1,0,0,0,0,0,0,0,0,7
