DISTRICT,Org Code,PK-2 (# ),3-5 (# ),6-8 (# ),9-12 (# ),Multiple Grades (# ),All Grades (# ),FTE Count
Carlisle,00510000,18.9,17.8,19.8,0,1,0,57.4
Carver,00520000,26.6,29.2,34.3,37.7,1,0,128.8
Central Berkshire,06350000,21.1,19.2,25.2,33,7.5,9.1,115
Chelmsford,00560000,75.2,75.9,91.5,103.2,30,1.1,376.9
Chelsea,00570000,109.5,96.8,89.4,105.5,11,5,417.2
Chesterfield-Goshen,06320000,3.8,4,1.3,0,4,0,13
Chicopee,00610000,112.9,107.9,135,127.2,98.7,4.9,586.6
Christa McAuliffe Charter Public (District),04180000,0,0,36.8,0,0.5,1,38.3
City on a Hill Charter Public School Circuit Street (District),04370000,0,0,0,12.2,10.8,0,23
Clarksburg,00630000,2.4,6.5,4.5,0,1,0,14.4
Clinton,00640000,38.5,32.7,32.6,40.8,3.9,1.1,149.6
Codman Academy Charter Public (District),04380000,7,4.5,3.1,10.2,20.8,0,45.5
Cohasset,00650000,23.5,25,29.6,40.7,0,0.5,119.2
Collegiate Charter School of Lowell (District),35030000,12.6,15.3,13.2,6,0,0,47.1
Community Charter School of Cambridge (District),04360000,0,0,8.3,9.8,14.9,0,33
Community Day Charter Public School - Gateway (District),04260000,18,12.7,10.3,0,2,0,43
Community Day Charter Public School - Prospect (District),04400000,16.7,13.5,11.7,0,1,0,43
Community Day Charter Public School - R. Kingman Webster (District),04310000,20.1,9.4,9.9,0,1,0,40.5
Concord,00670000,47.3,42.2,50.2,0,31.1,0,170.8
Concord-Carlisle,06400000,0,0,0,89.4,10.6,0.4,100.4
Conservatory Lab Charter (District),04390000,13.5,8.8,6.7,0,0,0,29
Conway,00680000,5.8,4.2,1.6,0,1.1,1,13.7
Danvers,00710000,52.7,43.4,62.4,41.8,47.7,4.3,252.4
Dartmouth,00720000,60.9,54.4,72,73.6,8.1,0.4,269.5
Dedham,00730000,48.3,40.1,47.5,37.6,56.2,0,229.6
Deerfield,00740000,13,10.3,4,0,9.4,0.3,37
Dennis-Yarmouth,06450000,75.2,68.8,62.5,61.2,3.5,0,271.1
Dighton-Rehoboth,06500000,49.5,48,52.8,61.2,0,1.3,212.8
Douglas,00770000,19.2,17.8,20,33.8,4,2.5,97.3
Dover,00780000,17.3,17.1,0,0,4.7,0,39.1
Dover-Sherborn,06550000,0,0,44.2,50.4,8.5,2,105.1
Dracut,00790000,51.2,44.9,56.4,61.6,15,3.7,232.7
Dudley Street Neighborhood Charter School (District),04070000,4,1.5,0,0,3.8,1,10.3
Dudley-Charlton Reg,06580000,51.8,56.9,75.1,47.8,39.2,0,270.8
Duxbury,00820000,39.3,41.8,51,76.8,8,3.4,220.3
East Bridgewater,00830000,40.5,32.8,37,32.9,9.6,0,152.7
East Longmeadow,00870000,31,38,52.4,64.1,12.3,8.2,206
Eastham,00850000,9.8,8.8,0,0,4,0,22.6
Easthampton,00860000,23.5,23.1,23.9,20.1,22.2,2.9,115.7
Easton,00880000,41.5,39.5,64.2,78.2,22.8,1.2,247.3
Edgartown,00890000,14.4,9.3,12.1,0,7.9,0,43.6
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District),04520000,0,0,0,36.3,0,0,36.3
Erving,00910000,4.4,6.9,1.3,0,4.7,0,17.2
Essex North Shore Agricultural and Technical School District,08170000,0,0,0,129.1,0,2.2,131.3
Everett,00930000,134.5,121.5,111.1,164.8,29.1,0.7,561.7
Excel Academy Charter (District),04100000,0,13.7,41,26.2,34.3,0,115.2
Fairhaven,00940000,29.8,22.3,29.6,43.8,4,0.3,129.9
Fall River,00950000,160.5,168.4,186.4,188.2,53.8,12.3,769.6
Falmouth,00960000,63,54.5,66.9,32.9,63.9,11.4,292.7
Farmington River Reg,06620000,5.2,4.2,1.4,0,0,2,12.8
Fitchburg,00970000,91,91.6,91.2,90.3,1.8,7.2,373.2
Florida,00980000,4.9,1.7,4.1,0,0,0,10.8
Four Rivers Charter Public (District),04130000,0,0,6.7,14.1,0.5,0,21.3
Foxborough,00990000,33.5,35.1,37.8,44.6,48.3,1,200.2
Foxborough Regional Charter (District),04460000,32.4,29.3,27.6,14.2,29.4,0,132.9
Framingham,01000000,191.4,187.2,187.3,162.9,0,4.4,733.2
Francis W. Parker Charter Essential (District),04780000,0,0,0.2,1,44.7,0,46
Franklin,01010000,68.8,66.2,104.6,114,34.5,0.5,388.7
Franklin County Regional Vocational Technical,08180000,0,0,0,53.6,0,0,53.6
Freetown-Lakeville,06650000,40.6,39.1,49.2,58.2,8.6,3.1,198.8
Frontier,06700000,0,0,17.9,28.2,6.2,0.4,52.6
Gardner,01030000,40.5,42.1,44.2,46.5,3.4,1,177.7
Gateway,06720000,15.5,11.8,16.2,6.7,15.9,9.2,75.2
Georgetown,01050000,17.8,15.6,22.6,32.9,13.4,0,102.4
Gill-Montague,06740000,12.8,11.8,21.4,20.1,14,0,80.1
Global Learning Charter Public (District),04960000,0,6.4,20.2,8.7,9.2,0,44.4
Gloucester,01070000,48.3,41.3,52,50.7,62.5,12.6,267.4
Gosnold,01090000,0.2,0.2,0.3,0,0,0.1,0.7
Grafton,01100000,56.2,55.6,62,51.4,17.1,9.7,251.9
Granby,01110000,15.5,12.8,12.3,19.2,3,0,62.8
Greater Fall River Regional Vocational Technical,08210000,0,0,0,116.4,0,8.8,125.2
