District Name,District Code,High School Graduates (#),Attending Coll./Univ. (#),Attending Coll./Univ. (%),Private Two-Year (%),Private Four-Year (%),Public Two-Year (%),Public Four-Year (%),MA Community College (%),MA State University (%),Univ.of Mass. (%)
West Bridgewater,03230000,108,84,77.8,0,39.3,10.7,50,10.7,23.8,17.9
West Springfield,03320000,279,167,59.9,0,28.1,42.5,29.3,41.9,13.8,10.8
Westborough,03210000,261,212,81.2,0,45.3,9.9,44.8,9.9,7.5,19.3
Westfield,03250000,444,236,53.2,0,37.3,36.4,26.3,34.7,16.1,3.4
Westford,03260000,423,373,88.2,0,45.3,4.6,50.1,4.6,3.2,21.4
Weston,03300000,169,134,79.3,0,70.9,2.2,26.9,1.5,1.5,6
Westport,03310000,49,26,53.1,0,30.8,30.8,38.5,26.9,3.8,26.9
Westwood,03350000,238,207,87,0,56.5,2.4,41.1,2.4,3.9,17.9
Weymouth,03360000,464,275,59.3,0,31.6,18.5,49.5,18.2,17.8,19.6
Whitman-Hanson,07800000,268,201,75,0,34.3,17.4,48.3,16.9,17.4,18.4
Whittier Regional Vocational Technical,08850000,314,148,47.1,0,25.7,52.7,21.6,48,8.1,10.1
Wilmington,03420000,213,168,78.9,0,41.1,8.9,50,8.3,17.9,20.2
Winchendon,03430000,60,31,51.7,3.2,25.8,35.5,35.5,35.5,25.8,6.5
Winchester,03440000,339,280,82.6,0,60.7,6.4,32.9,5.7,1.4,14.3
Winthrop,03460000,125,97,77.6,0,36.1,15.5,48.5,15.5,20.6,17.5
Woburn,03470000,291,189,64.9,0,35.4,23.3,41.3,23.3,10.1,24.9
Worcester,03480000,1739,893,51.4,0,23.3,33.8,42.9,32.7,24.4,15.2
State Totals,00000000,68405,43773,64,0.1,40,18.6,41.3,17.8,11,17.3
