District Name,District Code,General Education (#),Special Education (#),Career Vocational Technical (#),English Language Learner (#),FTE Count
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District),04520000,30.9,2.3,2.8,0.3,36.3
Erving,00910000,13.2,4,0,0,17.2
Essex North Shore Agricultural and Technical School District,08170000,50.1,16.3,64.9,0,131.3
Everett,00930000,495.4,33,19,14.3,561.7
Excel Academy Charter (District),04100000,115.2,0,0,0,115.2
Fairhaven,00940000,119.9,7.9,0,2,129.9
Fall River,00950000,619.7,93,21.1,35.8,769.6
Falmouth,00960000,235.4,49.2,1.9,6.1,292.7
Farmington River Reg,06620000,12.8,0,0,0,12.8
Fitchburg,00970000,297.8,59.5,0,16,373.2
Florida,00980000,10.8,0,0,0,10.8
Four Rivers Charter Public (District),04130000,19.8,1.5,0,0,21.3
Foxborough,00990000,186.2,12,0,2,200.2
Foxborough Regional Charter (District),04460000,108.4,17.5,0,7,132.9
Framingham,01000000,611.2,93.5,0,28.5,733.2
Francis W. Parker Charter Essential (District),04780000,42.1,3.8,0,0,46
Franklin,01010000,296,88.7,0,4,388.7
Franklin County Regional Vocational Technical,08180000,28,0,25.6,0,53.6
Freetown-Lakeville,06650000,168.3,30.5,0,0,198.8
Frontier,06700000,43.3,9.2,0,0.1,52.6
Gardner,01030000,148.3,29.4,0,0,177.6
Gateway,06720000,67,6.2,0,2,75.2
Georgetown,01050000,94.6,7.8,0,0,102.4
Gill-Montague,06740000,64,14.1,0,2,80.1
Global Learning Charter Public (District),04960000,34.9,6.5,0,3,44.4
Gloucester,01070000,195.4,52.1,11.5,8.4,267.4
Gosnold,01090000,0.7,0,0,0,0.7
Grafton,01100000,242.1,9,0,0.8,251.9
Granby,01110000,52.4,8.6,0,1.8,62.7
Greater Fall River Regional Vocational Technical,08210000,49.2,10.2,64.8,1,125.2
Greater Lawrence Regional Vocational Technical,08230000,49.6,14,50.5,3.4,117.5
Greater Lowell Regional Vocational Technical,08280000,88.6,20.8,83.7,0,193.1
Greater New Bedford Regional Vocational Technical,08250000,80.6,11,78.6,0.5,170.7
Greenfield,01140000,118.9,18.9,0,2.8,140.6
Greenfield Commonwealth Virtual District,39010000,47,10.1,0,1.8,58.8
Groton-Dunstable,06730000,161.7,27.4,0,2,191.1
Hadley,01170000,38.1,4.9,0,1,44
Halifax,01180000,32,4,0,0,36
Hamilton-Wenham,06750000,111.4,24.5,0,0,135.8
Hampden Charter School of Science East (District),04990000,43,1.5,0,1,45.5
Hampden Charter School of Science West (District),35160000,30.3,0.7,0,1,32
Hampden-Wilbraham,06800000,186.9,33,0,1.7,221.7
Hampshire,06830000,71,1.6,0,0,72.6
Hancock,01210000,7.4,0,0,0,7.4
Hanover,01220000,158.8,37.9,0,2,198.7
Harvard,01250000,89,3,0,0,92
Hatfield,01270000,35.7,4.6,0,0,40.3
Haverhill,01280000,410.2,146.6,6.3,31.1,594.2
Hawlemont,06850000,10.3,0,0,0,10.3
Helen Y. Davis Leadership Academy Charter Public (District),04190000,14.5,4.5,0,0,19
Hill View Montessori Charter Public (District),04550000,24,0,0,0,24
Hilltown Cooperative Charter Public (District),04500000,17,3,0,0,20
Hingham,01310000,255.8,43.6,0,0,299.3
Holbrook,01330000,78.1,16.6,0,2,96.7
Holland,01350000,16.9,1,0,0,17.9
Holliston,01360000,175.9,30.1,0,2.5,208.6
Holyoke,01370000,299.4,63,14,30.9,407.3
Holyoke Community Charter (District),04530000,38.5,0,0,4,42.5
Hoosac Valley Regional,06030000,91.4,0,0,0,91.4
Hopedale,01380000,76.8,14.8,0,1,92.6
Hopkinton,01390000,227.2,42.4,0,9,278.6
Hudson,01410000,202.7,22,0,8.3,233
Hull,01420000,66.5,12,0.8,0.2,79.5
Innovation Academy Charter (District),04350000,54.8,10.5,0,0,65.3
Ipswich,01440000,124.4,27.6,0,2.2,154.1
KIPP Academy Boston Charter School (District),04630000,44.7,0,0,0,44.7
KIPP Academy Lynn Charter (District),04290000,107,0,0,0,107
King Philip,06900000,106.7,25.1,0,1,132.9
Kingston,01450000,52,11,0,1,64
Lawrence,01490000,937.2,138.1,0,48,1123.3
Lawrence Family Development Charter (District),04540000,52,5,0,5,62
Learning First Charter Public School (District),04860000,39,0,0,0,39
Lee,01500000,60.6,10.1,0.8,2,73.5
Leicester,01510000,99.3,0,0,1.6,100.9
Lenox,01520000,71.2,3.4,2,1.9,78.4
Leominster,01530000,306.3,30.5,23.8,17.7,378.3
Leverett,01540000,11.9,3,0,0,14.9
Lexington,01550000,489.9,111.6,0,19.9,621.4
Libertas Academy Charter School (District),35140000,21,4,0,3,28
Lincoln,01570000,106.5,15.7,0,4,126.2
Lincoln-Sudbury,06950000,110.3,15.4,0,0,125.8
Littleton,01580000,91.8,23.9,0,1.5,117.3
Longmeadow,01590000,203.7,41.2,0,2,246.9
Lowell,01600000,886.3,196.7,0,9,1092
Lowell Community Charter Public (District),04560000,54.1,6,0,4.6,64.7
Lowell Middlesex Academy Charter (District),04580000,7,0,0,0,7
Ludlow,01610000,180,37.9,0,2,219.9
Lunenburg,01620000,103.7,5,0,0,108.7
Lynn,01630000,787.6,245.7,32.4,86.4,1152.1
Lynnfield,01640000,139.6,18,0,1,158.6
MATCH Charter Public School (District),04690000,84.5,21,0,8,113.5
Ma Academy for Math and Science,04680000,6,0,0,0,6
Malden,01650000,313.1,125.6,0,34.9,473.5
Manchester Essex Regional,06980000,129.6,0,0,0,129.6
Mansfield,01670000,239.7,53.7,0,2.6,296
Map Academy Charter School (District),35170000,12.2,6.8,0,0,19
Marblehead,01680000,223.7,28.6,0,4.4,256.7
Marblehead Community Charter Public (District),04640000,16.5,4.8,0,0,21.3
Marion,01690000,25.7,7,0,0,32.7
Marlborough,01700000,309.1,55.7,0,31.3,396.1
Marshfield,01710000,274.3,51.8,3.8,3.5,333.4
Martha's Vineyard,07000000,70.9,1.6,1.2,0.8,74.6
Martha's Vineyard Charter (District),04660000,18.5,0,0,0,18.5
Martin Luther King Jr. Charter School of Excellence (District),04920000,36.5,1,0,3,40.5
Masconomet,07050000,128.5,0.1,0,0,128.6
Mashpee,01720000,142,0.2,0,1.2,143.3
